Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
HighBaseline;24;24;24;TillJIT;1.431118;1118;57870;1
HighBaseline;24;24;24;TillJIT;1.431118;1118;57870;1
HighBaseline;24;24;24;TillJIT;1.432399;1117;57870;1
HighBaseline;24;24;24;TillJIT;1.431118;1118;57870;1
HighBaseline;24;24;24;TillJIT;1.431118;1118;57870;1
NoImmSkip;24;24;24;TillJIT;1.360536;1176;57870;1
NoImmSkip;24;24;24;TillJIT;1.360536;1176;57870;1
NoImmSkip;24;24;24;TillJIT;1.361693;1175;57870;1
NoImmSkip;24;24;24;TillJIT;1.360536;1176;57870;1
NoImmSkip;24;24;24;TillJIT;1.360536;1176;57870;1
BadLoopPeeling;24;24;24;TillJIT;1.208451;1324;57870;1
BadLoopPeeling;24;24;24;TillJIT;1.208451;1324;57870;1
BadLoopPeeling;24;24;24;TillJIT;1.208451;1324;57870;1
BadLoopPeeling;24;24;24;TillJIT;1.207539;1325;57870;1
BadLoopPeeling;24;24;24;TillJIT;1.208451;1324;57870;1
NoLoopPeeling;24;24;24;TillJIT;1.165324;1373;57870;1
NoLoopPeeling;24;24;24;TillJIT;1.165324;1373;57870;1
NoLoopPeeling;24;24;24;TillJIT;1.166173;1372;57870;1
NoLoopPeeling;24;24;24;TillJIT;1.165324;1373;57870;1
NoLoopPeeling;24;24;24;TillJIT;1.166173;1372;57870;1
NoInterleaving;24;24;24;TillJIT;0.982191;1629;57870;1
NoInterleaving;24;24;24;TillJIT;0.982191;1629;57870;1
NoInterleaving;24;24;24;TillJIT;0.982191;1629;57870;1
NoInterleaving;24;24;24;TillJIT;0.982191;1629;57870;1
NoInterleaving;24;24;24;TillJIT;0.982191;1629;57870;1
4x6;24;24;24;TillJIT;0.936762;1708;57870;1
4x6;24;24;24;TillJIT;0.936214;1709;57870;1
4x6;24;24;24;TillJIT;0.936762;1708;57870;1
4x6;24;24;24;TillJIT;0.936762;1708;57870;1
4x6;24;24;24;TillJIT;0.936762;1708;57870;1
4x4;24;24;24;TillJIT;0.903439;1771;57870;1
4x4;24;24;24;TillJIT;0.903439;1771;57870;1
4x4;24;24;24;TillJIT;0.903949;1770;57870;1
4x4;24;24;24;TillJIT;0.903949;1770;57870;1
4x4;24;24;24;TillJIT;0.903949;1770;57870;1
4x3;24;24;24;TillJIT;0.872880;1833;57870;1
4x3;24;24;24;TillJIT;0.873357;1832;57870;1
4x3;24;24;24;TillJIT;0.872880;1833;57870;1
4x3;24;24;24;TillJIT;0.872880;1833;57870;1
4x3;24;24;24;TillJIT;0.872880;1833;57870;1
NoAlign;24;24;24;TillJIT;0.866733;1846;57870;1
NoAlign;24;24;24;TillJIT;0.866264;1847;57870;1
NoAlign;24;24;24;TillJIT;0.866264;1847;57870;1
NoAlign;24;24;24;TillJIT;0.866264;1847;57870;1
NoAlign;24;24;24;TillJIT;0.866264;1847;57870;1
NoAlign+NoITCM;24;24;24;TillJIT;0.753291;2124;57870;1
NoAlign+NoITCM;24;24;24;TillJIT;0.753291;2124;57870;1
NoAlign+NoITCM;24;24;24;TillJIT;0.753291;2124;57870;1
NoAlign+NoITCM;24;24;24;TillJIT;0.753291;2124;57870;1
NoAlign+NoITCM;24;24;24;TillJIT;0.753291;2124;57870;1
8x3-Baseline;24;24;24;TillJIT;1.429839;1119;57870;1
8x3-Baseline;24;24;24;TillJIT;1.428562;1120;57870;1
8x3-Baseline;24;24;24;TillJIT;1.429839;1119;57870;1
8x3-Baseline;24;24;24;TillJIT;1.429839;1119;57870;1
8x3-Baseline;24;24;24;TillJIT;1.429839;1119;57870;1
4x3-Baseline;24;24;24;TillJIT;1.045062;1531;57870;1
4x3-Baseline;24;24;24;TillJIT;1.044380;1532;57870;1
4x3-Baseline;24;24;24;TillJIT;1.044380;1532;57870;1
4x3-Baseline;24;24;24;TillJIT;1.044380;1532;57870;1
4x3-Baseline;24;24;24;TillJIT;1.044380;1532;57870;1
4x4-Baseline;24;24;24;TillJIT;0.975604;1640;57870;1
4x4-Baseline;24;24;24;TillJIT;0.976199;1639;57870;1
4x4-Baseline;24;24;24;TillJIT;0.976199;1639;57870;1
4x4-Baseline;24;24;24;TillJIT;0.976199;1639;57870;1
4x4-Baseline;24;24;24;TillJIT;0.976199;1639;57870;1
4x6-Baseline;24;24;24;TillJIT;1.245128;1285;57870;1
4x6-Baseline;24;24;24;TillJIT;1.245128;1285;57870;1
4x6-Baseline;24;24;24;TillJIT;1.245128;1285;57870;1
4x6-Baseline;24;24;24;TillJIT;1.244160;1286;57870;1
4x6-Baseline;24;24;24;TillJIT;1.245128;1285;57870;1
