Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
Baseline;24;24;24;TillJIT;1.431118;1118;57870;1
Baseline;24;24;24;TillJIT;1.431118;1118;57870;1
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
OnlyVFMA;24;24;24;TillJIT;-4.166640;-384;57870;1
OnlyVFMA;24;24;24;TillJIT;-4.166640;-384;57870;1
OnlyVFMA;24;24;24;TillJIT;-4.166640;-384;57870;1
OnlyVFMA;24;24;24;TillJIT;-4.155818;-385;57870;1
OnlyVFMA;24;24;24;TillJIT;-4.155818;-385;57870;1
OnlyVFMA;24;24;24;TillJIT;-3.874067;-413;57870;1
OnlyVFMA;24;24;24;TillJIT;-3.883470;-412;57870;1
OnlyVFMA;24;24;24;TillJIT;-3.883470;-412;57870;1
OnlyVFMA;24;24;24;TillJIT;-3.883470;-412;57870;1
OnlyVFMA;24;24;24;TillJIT;-3.883470;-412;57870;1
OnlyALoad;24;24;24;TillJIT;-9.696907;-165;57870;1
OnlyALoad;24;24;24;TillJIT;-9.756035;-164;57870;1
OnlyALoad;24;24;24;TillJIT;-9.696907;-165;57870;1
OnlyALoad;24;24;24;TillJIT;-9.696907;-165;57870;1
OnlyALoad;24;24;24;TillJIT;-9.696907;-165;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
