Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowK;24;2;24;ARM-CMSIS-DSP;0.165417;3869;277777;1
GrowK;24;2;24;TillJIT-04.06.;0.320159;1999;277777;1
GrowK;24;2;24;Intrinsics;0.188456;3396;277777;1
GrowK;24;2;24;ReferenceCM;0.014568;4393;27777;1
GrowK;24;3;24;ARM-CMSIS-DSP;0.205128;3120;185185;1
GrowK;24;3;24;TillJIT-04.06.;0.384384;1665;185185;1
GrowK;24;3;24;Intrinsics;0.236424;2707;185185;1
GrowK;24;3;24;ReferenceCM;0.018845;3396;18518;1
GrowK;24;4;24;ARM-CMSIS-DSP;0.233065;2746;138888;1
GrowK;24;4;24;TillJIT-04.06.;0.426949;1499;138888;1
GrowK;24;4;24;Intrinsics;0.270840;2363;138888;1
GrowK;24;4;24;ReferenceCM;0.030201;2119;13888;1
GrowK;24;5;24;ARM-CMSIS-DSP;0.253867;2521;111111;1
GrowK;24;5;24;TillJIT-04.06.;0.457469;1399;111111;1
GrowK;24;5;24;Intrinsics;0.296708;2157;111111;1
GrowK;24;5;24;ReferenceCM;0.028144;2274;11111;1
GrowK;24;6;24;ARM-CMSIS-DSP;0.269927;2371;92592;1
GrowK;24;6;24;TillJIT-04.06.;0.480477;1332;92592;1
GrowK;24;6;24;Intrinsics;0.316830;2020;92592;1
GrowK;24;6;24;ReferenceCM;0.029170;2194;9259;1
GrowK;24;7;24;ARM-CMSIS-DSP;0.282560;2265;79365;1
GrowK;24;7;24;TillJIT-04.06.;0.498054;1285;79365;1
GrowK;24;7;24;Intrinsics;0.333159;1921;79365;1
GrowK;24;7;24;ReferenceCM;0.030752;2081;7936;1
GrowK;24;8;24;ARM-CMSIS-DSP;0.293038;2184;69444;1
GrowK;24;8;24;TillJIT-04.06.;0.512817;1248;69444;1
GrowK;24;8;24;Intrinsics;0.346506;1847;69444;1
GrowK;24;8;24;ReferenceCM;0.043153;1483;6944;1
GrowK;24;9;24;ARM-CMSIS-DSP;0.301600;2122;61728;1
GrowK;24;9;24;TillJIT-04.06.;0.524157;1221;61728;1
GrowK;24;9;24;Intrinsics;0.357739;1789;61728;1
GrowK;24;9;24;ReferenceCM;0.039019;1640;6172;1
GrowK;24;10;24;ARM-CMSIS-DSP;0.308877;2072;55555;1
GrowK;24;10;24;TillJIT-04.06.;0.533773;1199;55555;1
GrowK;24;10;24;Intrinsics;0.366969;1744;55555;1
GrowK;24;10;24;ReferenceCM;0.038667;1655;5555;1
GrowK;24;11;24;ARM-CMSIS-DSP;0.315115;2031;50505;1
GrowK;24;11;24;TillJIT-04.06.;0.541913;1181;50505;1
GrowK;24;11;24;Intrinsics;0.374926;1707;50505;1
GrowK;24;11;24;ReferenceCM;0.039212;1632;5050;1
GrowK;24;12;24;ARM-CMSIS-DSP;0.320639;1996;46296;1
GrowK;24;12;24;TillJIT-04.06.;0.532000;1203;46296;1
GrowK;24;12;24;Intrinsics;0.382087;1675;46296;1
GrowK;24;12;24;ReferenceCM;0.050989;1255;4629;1
GrowK;24;13;24;ARM-CMSIS-DSP;0.325203;1968;42735;1
GrowK;24;13;24;TillJIT-04.06.;0.539174;1187;42735;1
GrowK;24;13;24;Intrinsics;0.388114;1649;42735;1
GrowK;24;13;24;ReferenceCM;0.046338;1381;4273;1
GrowK;24;14;24;ARM-CMSIS-DSP;0.329383;1943;39682;1
GrowK;24;14;24;TillJIT-04.06.;0.545602;1173;39682;1
GrowK;24;14;24;Intrinsics;0.393599;1626;39682;1
GrowK;24;14;24;ReferenceCM;0.045355;1411;3968;1
GrowK;24;15;24;ARM-CMSIS-DSP;0.332986;1922;37037;1
GrowK;24;15;24;TillJIT-04.06.;0.550300;1163;37037;1
GrowK;24;15;24;Intrinsics;0.398257;1607;37037;1
GrowK;24;15;24;ReferenceCM;0.045381;1410;3703;1
GrowK;24;16;24;ARM-CMSIS-DSP;0.336132;1904;34722;1
GrowK;24;16;24;TillJIT-04.06.;0.555552;1152;34722;1
GrowK;24;16;24;Intrinsics;0.402766;1589;34722;1
GrowK;24;16;24;ReferenceCM;0.056088;1141;3472;1
GrowK;24;17;24;ARM-CMSIS-DSP;0.339155;1887;32679;1
GrowK;24;17;24;TillJIT-04.06.;0.559917;1143;32679;1
GrowK;24;17;24;Intrinsics;0.406598;1574;32679;1
GrowK;24;17;24;ReferenceCM;0.051432;1244;3267;1
