Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowM;2;24;24;ARM-CMSIS-DSP;0.632661;2529;694444;1
GrowM;2;24;24;TillJIT;0.470450;3401;694444;1
GrowM;2;24;24;ReferenceCM;0.137930;1160;69444;1
GrowM;3;24;24;ARM-CMSIS-DSP;0.642569;2490;462962;1
GrowM;3;24;24;TillJIT;0.705777;2267;462962;1
GrowM;3;24;24;ReferenceCM;0.145851;1097;46296;1
GrowM;4;24;24;ARM-CMSIS-DSP;0.851970;1878;347222;1
GrowM;4;24;24;TillJIT;0.964436;1659;347222;1
GrowM;4;24;24;ReferenceCM;0.146923;1089;34722;1
GrowM;5;24;24;ARM-CMSIS-DSP;0.803211;1992;277777;1
GrowM;5;24;24;TillJIT;0.873837;1831;277777;1
GrowM;5;24;24;ReferenceCM;0.150231;1065;27777;1
GrowM;6;24;24;ARM-CMSIS-DSP;0.777075;2059;231481;1
GrowM;6;24;24;TillJIT;1.048491;1526;231481;1
GrowM;6;24;24;ReferenceCM;0.150516;1063;23148;1
GrowM;7;24;24;ARM-CMSIS-DSP;0.758651;2109;198412;1
GrowM;7;24;24;TillJIT;1.222303;1309;198412;1
GrowM;7;24;24;ReferenceCM;0.152089;1052;19841;1
GrowM;7;24;24;ReferenceCM;0.152234;1051;19841;1
GrowM;8;24;24;ARM-CMSIS-DSP;0.871934;1835;173611;1
GrowM;8;24;24;TillJIT;1.398600;1144;173611;1
GrowM;8;24;24;ReferenceCM;0.151946;1053;17361;1
GrowM;9;24;24;ARM-CMSIS-DSP;0.840331;1904;154320;1
GrowM;9;24;24;TillJIT;0.917952;1743;154320;1
GrowM;9;24;24;ReferenceCM;0.153403;1043;15432;1
GrowM;10;24;24;ARM-CMSIS-DSP;0.819667;1952;138888;1
GrowM;10;24;24;TillJIT;1.019751;1569;138888;1
GrowM;10;24;24;ReferenceCM;0.153100;1045;13888;1
GrowM;11;24;24;ARM-CMSIS-DSP;0.802403;1994;126262;1
