Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowM;2;24;24;ARM-CMSIS-DSP;0.632911;2528;694444;1
GrowM;2;24;24;TillJIT;0.203873;-7848;694444;0
GrowM;2;24;24;ReferenceCM;0.138049;1159;69444;1
GrowM;3;24;24;ARM-CMSIS-DSP;0.642827;2489;462962;1
GrowM;3;24;24;TillJIT;0.294876;-5426;462962;0
GrowM;3;24;24;ReferenceCM;0.145719;1098;46296;1
GrowM;4;24;24;ARM-CMSIS-DSP;0.845665;1892;347222;1
GrowM;4;24;24;TillJIT;0.409626;-3906;347222;0
GrowM;4;24;24;ReferenceCM;0.147329;1086;34722;1
GrowM;5;24;24;ARM-CMSIS-DSP;0.798401;2004;277777;1
GrowM;5;24;24;TillJIT;0.423952;-3774;277777;0
GrowM;5;24;24;ReferenceCM;0.150372;1064;27777;1
GrowM;6;24;24;ARM-CMSIS-DSP;0.773693;2068;231481;1
GrowM;6;24;24;TillJIT;0.527008;-3036;231481;0
GrowM;6;24;24;ReferenceCM;0.150658;1062;23148;1
GrowM;7;24;24;ARM-CMSIS-DSP;0.755427;2118;198412;1
GrowM;7;24;24;TillJIT;0.588883;-2717;198412;0
GrowM;7;24;24;ReferenceCM;0.152234;1051;19841;1
GrowM;8;24;24;ARM-CMSIS-DSP;0.864864;1850;173611;1
GrowM;8;24;24;TillJIT;1.380500;1159;173611;1
GrowM;8;24;24;Intrinsics;1.027617;-1557;173611;0
GrowM;8;24;24;ReferenceCM;0.152235;1051;17361;1
GrowM;9;24;24;ARM-CMSIS-DSP;0.834632;1917;154320;1
GrowM;9;24;24;TillJIT;0.875747;1827;154320;1
GrowM;9;24;24;ReferenceCM;0.153550;1042;15432;1
GrowM;10;24;24;ARM-CMSIS-DSP;0.814659;1964;138888;1
GrowM;10;24;24;TillJIT;1.004388;1593;138888;1
GrowM;10;24;24;ReferenceCM;0.153247;1044;13888;1
GrowM;11;24;24;ARM-CMSIS-DSP;0.798001;2005;126262;1
GrowM;11;24;24;TillJIT;1.065951;1501;126262;1
GrowM;11;24;24;ReferenceCM;0.154288;1037;12626;1
GrowM;12;24;24;ARM-CMSIS-DSP;0.871929;1835;115740;1
GrowM;12;24;24;TillJIT;1.213032;1319;115740;1
GrowM;12;24;24;ReferenceCM;0.153993;1039;11574;1
GrowM;13;24;24;ARM-CMSIS-DSP;0.849252;1884;106837;1
GrowM;13;24;24;TillJIT;1.090655;1467;106837;1
GrowM;13;24;24;ReferenceCM;0.154578;1035;10683;1
GrowM;14;24;24;ARM-CMSIS-DSP;0.833330;1920;99206;1
GrowM;14;24;24;TillJIT;1.221370;1310;99206;1
GrowM;14;24;24;ReferenceCM;0.154579;1035;9920;1
GrowM;15;24;24;ARM-CMSIS-DSP;0.819247;1953;92592;1
GrowM;15;24;24;TillJIT;1.247069;1283;92592;1
GrowM;15;24;24;ReferenceCM;0.155185;1031;9259;1
GrowM;16;24;24;ARM-CMSIS-DSP;0.874789;1829;86805;1
GrowM;16;24;24;TillJIT;1.405966;1138;86805;1
GrowM;16;24;24;Intrinsics;1.054012;-1518;86805;0
GrowM;16;24;24;ReferenceCM;0.154879;1033;8680;1
GrowM;17;24;24;ARM-CMSIS-DSP;0.857445;1866;81699;1
GrowM;17;24;24;TillJIT;1.047802;1527;81699;1
GrowM;17;24;24;ReferenceCM;0.155624;1028;8169;1
GrowM;18;24;24;ARM-CMSIS-DSP;0.844322;1895;77160;1
GrowM;18;24;24;TillJIT;1.153562;1387;77160;1
GrowM;18;24;24;ReferenceCM;0.155188;1031;7716;1
GrowM;19;24;24;ARM-CMSIS-DSP;0.832461;1922;73099;1
GrowM;19;24;24;TillJIT;1.171296;1366;73099;1
GrowM;19;24;24;ReferenceCM;0.155774;1027;7309;1
GrowM;20;24;24;ARM-CMSIS-DSP;0.876707;1825;69444;1
GrowM;20;24;24;TillJIT;1.284101;1246;69444;1
GrowM;20;24;24;ReferenceCM;0.155481;1029;6944;1
GrowM;21;24;24;ARM-CMSIS-DSP;0.862526;1855;66137;1
GrowM;21;24;24;TillJIT;1.176461;1360;66137;1
GrowM;21;24;24;ReferenceCM;0.155776;1027;6613;1
GrowM;22;24;24;ARM-CMSIS-DSP;0.851513;1879;63131;1
GrowM;22;24;24;TillJIT;1.286167;1244;63131;1
GrowM;22;24;24;ReferenceCM;0.155790;1027;6313;1
GrowM;23;24;24;ARM-CMSIS-DSP;0.841213;1902;60386;1
GrowM;23;24;24;TillJIT;1.279990;1250;60386;1
GrowM;23;24;24;ReferenceCM;0.155777;1027;6038;1
GrowM;24;24;24;ARM-CMSIS-DSP;0.877669;1823;57870;1
GrowM;24;24;24;TillJIT;1.413419;1132;57870;1
GrowM;24;24;24;Intrinsics;1.063823;-1504;57870;0
GrowM;24;24;24;ReferenceCM;0.155793;1027;5787;1
