Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowN;24;24;2;ARM-CMSIS-DSP;0.385078;4155;694444;1
GrowN;24;24;2;TillJIT;0.513643;3115;694444;1
GrowN;24;24;2;ReferenceCM;0.155641;1028;69444;1
GrowN;24;24;3;ARM-CMSIS-DSP;0.570612;2804;462962;1
GrowN;24;24;3;TillJIT;1.368688;1169;462962;1
GrowN;24;24;3;Intrinsics;1.058199;-1512;462962;0
GrowN;24;24;3;ReferenceCM;0.155641;1028;46296;1
GrowN;24;24;4;ARM-CMSIS-DSP;0.790123;2025;347222;1
GrowN;24;24;4;TillJIT;1.181683;1354;347222;1
GrowN;24;24;4;ReferenceCM;0.155793;1027;34722;1
GrowN;24;24;5;ARM-CMSIS-DSP;0.506809;3157;277777;1
GrowN;24;24;5;TillJIT;1.284106;1246;277777;1
GrowN;24;24;5;ReferenceCM;0.155789;1027;27777;1
GrowN;24;24;6;ARM-CMSIS-DSP;0.616569;2595;231481;1
GrowN;24;24;6;TillJIT;1.393725;1148;231481;1
GrowN;24;24;6;Intrinsics;1.061710;-1507;231481;0
GrowN;24;24;6;ReferenceCM;0.155793;1027;23148;1
GrowN;24;24;7;ARM-CMSIS-DSP;0.702368;2278;198412;1
GrowN;24;24;7;TillJIT;1.273881;1256;198412;1
GrowN;24;24;7;ReferenceCM;0.155791;1027;19841;1
GrowN;24;24;8;ARM-CMSIS-DSP;0.839894;1905;173611;1
GrowN;24;24;8;TillJIT;1.333332;1200;173611;1
GrowN;24;24;8;ReferenceCM;0.155793;1027;17361;1
GrowN;24;24;9;ARM-CMSIS-DSP;0.624264;2563;154320;1
GrowN;24;24;9;TillJIT;1.402270;1141;154320;1
GrowN;24;24;9;Intrinsics;1.062410;-1506;154320;0
GrowN;24;24;9;ReferenceCM;0.155793;1027;15432;1
GrowN;24;24;10;ARM-CMSIS-DSP;0.703601;2274;138888;1
GrowN;24;24;10;TillJIT;1.314700;1217;138888;1
GrowN;24;24;10;ReferenceCM;0.155784;1027;13888;1
GrowN;24;24;11;ARM-CMSIS-DSP;0.754002;2122;126262;1
GrowN;24;24;11;TillJIT;1.354777;1181;126262;1
GrowN;24;24;11;ReferenceCM;0.155790;1027;12626;1
GrowN;24;24;12;ARM-CMSIS-DSP;0.860672;1859;115740;1
GrowN;24;24;12;TillJIT;1.405966;1138;115740;1
GrowN;24;24;12;Intrinsics;1.063116;-1505;115740;0
GrowN;24;24;12;ReferenceCM;0.155793;1027;11574;1
GrowN;24;24;13;ARM-CMSIS-DSP;0.686691;2330;106837;1
GrowN;24;24;13;TillJIT;1.336667;1197;106837;1
GrowN;24;24;13;ReferenceCM;0.155782;1027;10683;1
GrowN;24;24;14;ARM-CMSIS-DSP;0.752231;2127;99206;1
GrowN;24;24;14;TillJIT;1.368686;1169;99206;1
GrowN;24;24;14;ReferenceCM;0.155784;1027;9920;1
GrowN;24;24;15;ARM-CMSIS-DSP;0.788561;2029;92592;1
GrowN;24;24;15;TillJIT;1.409683;1135;92592;1
GrowN;24;24;15;Intrinsics;1.063116;-1505;92592;0
GrowN;24;24;15;ReferenceCM;0.155789;1027;9259;1
GrowN;24;24;16;ARM-CMSIS-DSP;0.868144;1843;86805;1
GrowN;24;24;16;TillJIT;1.352485;1183;86805;1
GrowN;24;24;16;ReferenceCM;0.155784;1027;8680;1
GrowN;24;24;17;ARM-CMSIS-DSP;0.717808;2229;81699;1
GrowN;24;24;17;TillJIT;1.376931;1162;81699;1
GrowN;24;24;17;ReferenceCM;0.155776;1027;8169;1
GrowN;24;24;18;ARM-CMSIS-DSP;0.778205;2056;77160;1
GrowN;24;24;18;TillJIT;1.412171;1133;77160;1
GrowN;24;24;18;Intrinsics;1.063116;-1505;77160;0
GrowN;24;24;18;ReferenceCM;0.155793;1027;7716;1
GrowN;24;24;19;ARM-CMSIS-DSP;0.799196;2002;73099;1
GrowN;24;24;19;TillJIT;1.362854;1174;73099;1
GrowN;24;24;19;ReferenceCM;0.155774;1027;7309;1
GrowN;24;24;20;ARM-CMSIS-DSP;0.876227;1826;69444;1
GrowN;24;24;20;TillJIT;1.382878;1157;69444;1
GrowN;24;24;20;ReferenceCM;0.155784;1027;6944;1
GrowN;24;24;21;ARM-CMSIS-DSP;0.750815;2131;66137;1
GrowN;24;24;21;TillJIT;1.413416;1132;66137;1
GrowN;24;24;21;Intrinsics;1.063114;-1505;66137;0
GrowN;24;24;21;ReferenceCM;0.155776;1027;6613;1
GrowN;24;24;22;ARM-CMSIS-DSP;0.800396;1999;63131;1
GrowN;24;24;22;TillJIT;1.371030;1167;63131;1
GrowN;24;24;22;ReferenceCM;0.155790;1027;6313;1
GrowN;24;24;23;ARM-CMSIS-DSP;0.819246;1953;60386;1
GrowN;24;24;23;TillJIT;1.388878;1152;60386;1
GrowN;24;24;23;ReferenceCM;0.155777;1027;6038;1
GrowN;24;24;24;ARM-CMSIS-DSP;0.877669;1823;57870;1
GrowN;24;24;24;TillJIT;1.413419;1132;57870;1
GrowN;24;24;24;Intrinsics;1.063823;-1504;57870;0
GrowN;24;24;24;ReferenceCM;0.155793;1027;5787;1
GrowN;24;24;25;ARM-CMSIS-DSP;0.761172;2102;55555;1
GrowN;24;24;25;TillJIT;1.375739;1163;55555;1
GrowN;24;24;25;ReferenceCM;0.155778;1027;5555;1
GrowN;24;24;26;ARM-CMSIS-DSP;0.811347;1972;53418;1
GrowN;24;24;26;TillJIT;1.381672;1158;53418;1
GrowN;24;24;26;ReferenceCM;0.155768;1027;5341;1
GrowN;24;24;27;ARM-CMSIS-DSP;0.819247;1953;51440;1
GrowN;24;24;27;TillJIT;1.404732;1139;51440;1
GrowN;24;24;27;Intrinsics;1.063823;-1504;51440;0
GrowN;24;24;27;ReferenceCM;0.155641;1028;5144;1
GrowN;24;24;28;ARM-CMSIS-DSP;0.883487;1811;49603;1
GrowN;24;24;28;TillJIT;1.369858;1168;49603;1
GrowN;24;24;28;ReferenceCM;0.155784;1027;4960;1
