Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;ARM-CMSIS-DSP;0.078286;20438;100000000;1
Square;2;2;2;TillJIT;0.103540;15453;100000000;1
Square;2;2;2;ReferenceCM;0.025312;6321;10000000;1
Square;3;3;3;ARM-CMSIS-DSP;0.228083;7015;29629629;1
Square;3;3;3;TillJIT;0.277778;5760;29629629;1
Square;3;3;3;ReferenceCM;0.040060;3994;2962962;1
Square;4;4;4;ARM-CMSIS-DSP;0.446553;3583;12500000;1
Square;4;4;4;TillJIT;0.450450;3552;12500000;1
Square;4;4;4;ReferenceCM;0.063796;2508;1250000;1
Square;5;5;5;ARM-CMSIS-DSP;0.241109;6636;6400000;1
Square;5;5;5;TillJIT;0.506489;3159;6400000;1
Square;5;5;5;ReferenceCM;0.065708;2435;640000;1
Square;6;6;6;ARM-CMSIS-DSP;0.316832;5050;3703703;1
Square;6;6;6;TillJIT;0.701754;2280;3703703;1
Square;6;6;6;ReferenceCM;0.068230;2345;370370;1
Square;7;7;7;ARM-CMSIS-DSP;0.397121;4029;2332361;1
Square;7;7;7;TillJIT;0.829015;1930;2332361;1
Square;7;7;7;ReferenceCM;0.074315;2153;233236;1
Square;8;8;8;ARM-CMSIS-DSP;0.591935;2703;1562500;1
Square;8;8;8;TillJIT;1.095140;1461;1562500;1
Square;8;8;8;ReferenceCM;0.102433;1562;156250;1
Square;9;9;9;ARM-CMSIS-DSP;0.474777;3370;1097393;1
Square;9;9;9;TillJIT;0.771456;2074;1097393;1
Square;9;9;9;ReferenceCM;0.095693;1672;109739;1
Square;10;10;10;ARM-CMSIS-DSP;0.530328;3017;800000;1
Square;10;10;10;TillJIT;0.832466;1922;800000;1
Square;10;10;10;ReferenceCM;0.094173;1699;80000;1
Square;11;11;11;ARM-CMSIS-DSP;0.587155;2725;601051;1
Square;11;11;11;TillJIT;0.960383;1666;601051;1
Square;11;11;11;ReferenceCM;0.096911;1651;60105;1
Square;12;12;12;ARM-CMSIS-DSP;0.747662;2140;462962;1
Square;12;12;12;TillJIT;1.121231;1427;462962;1
Square;12;12;12;ReferenceCM;0.124804;1282;46296;1
Square;13;13;13;ARM-CMSIS-DSP;0.608363;2630;364132;1
Square;13;13;13;TillJIT;0.997504;1604;364132;1
Square;13;13;13;ReferenceCM;0.115190;1389;36413;1
Square;14;14;14;ARM-CMSIS-DSP;0.649878;2462;291545;1
Square;14;14;14;TillJIT;1.114205;1436;291545;1
Square;14;14;14;ReferenceCM;0.112043;1428;29154;1
Square;15;15;15;ARM-CMSIS-DSP;0.692341;2311;237037;1
Square;15;15;15;TillJIT;1.244168;1286;237037;1
Square;15;15;15;ReferenceCM;0.113071;1415;23703;1
Square;16;16;16;ARM-CMSIS-DSP;0.820511;1950;195312;1
Square;16;16;16;TillJIT;1.294495;1236;195312;1
Square;16;16;16;ReferenceCM;0.139008;1151;19531;1
Square;17;17;17;ARM-CMSIS-DSP;0.688467;2324;162833;1
Square;17;17;17;TillJIT;1.039634;1539;162833;1
Square;17;17;17;ReferenceCM;0.128305;1247;16283;1
Square;18;18;18;ARM-CMSIS-DSP;0.722021;2216;137174;1
Square;18;18;18;TillJIT;1.134750;1410;137174;1
Square;18;18;18;ReferenceCM;0.124704;1283;13717;1
Square;19;19;19;ARM-CMSIS-DSP;0.755786;2117;116635;1
Square;19;19;19;TillJIT;1.165331;1373;116635;1
Square;19;19;19;ReferenceCM;0.124897;1281;11663;1
Square;20;20;20;ARM-CMSIS-DSP;0.860678;1859;100000;1
Square;20;20;20;TillJIT;1.260835;1269;100000;1
Square;20;20;20;ReferenceCM;0.148561;1077;10000;1
Square;21;21;21;ARM-CMSIS-DSP;0.741077;2159;86383;1
Square;21;21;21;TillJIT;1.231706;1299;86383;1
Square;21;21;21;ReferenceCM;0.138163;1158;8638;1
Square;22;22;22;ARM-CMSIS-DSP;0.769596;2079;75131;1
Square;22;22;22;TillJIT;1.255879;1274;75131;1
Square;22;22;22;ReferenceCM;0.134226;1192;7513;1
Square;23;23;23;ARM-CMSIS-DSP;0.797600;2006;65751;1
Square;23;23;23;TillJIT;1.333321;1200;65751;1
Square;23;23;23;ReferenceCM;0.133888;1195;6575;1
Square;24;24;24;ARM-CMSIS-DSP;0.884950;1808;57870;1
Square;24;24;24;TillJIT;1.431118;1118;57870;1
Square;24;24;24;Intrinsics;1.057495;1513;57870;1
Square;24;24;24;ReferenceCM;0.155944;1026;5787;1
Square;25;25;25;ARM-CMSIS-DSP;0.778210;2056;51200;1
Square;25;25;25;TillJIT;1.170446;1367;51200;1
Square;25;25;25;ReferenceCM;0.145587;1099;5120;1
Square;26;26;26;ARM-CMSIS-DSP;0.802396;1994;45516;1
Square;26;26;26;TillJIT;1.232649;1298;45516;1
Square;26;26;26;ReferenceCM;0.141823;1128;4551;1
Square;27;27;27;ARM-CMSIS-DSP;0.826869;1935;40644;1
Square;27;27;27;TillJIT;1.305050;1226;40644;1
Square;27;27;27;ReferenceCM;0.140830;1136;4064;1
Square;28;28;28;ARM-CMSIS-DSP;0.901913;1774;36443;1
Square;28;28;28;TillJIT;1.331109;1202;36443;1
Square;28;28;28;ReferenceCM;0.160790;995;3644;1
Square;29;29;29;ARM-CMSIS-DSP;0.805218;1987;32801;1
Square;29;29;29;TillJIT;1.293425;1237;32801;1
Square;29;29;29;ReferenceCM;0.151364;1057;3280;1
Square;30;30;30;ARM-CMSIS-DSP;0.826429;1936;29629;1
Square;30;30;30;TillJIT;1.361673;1175;29629;1
Square;30;30;30;ReferenceCM;0.146642;109;296;1
Square;31;31;31;ARM-CMSIS-DSP;0.847434;1888;26853;1
Square;31;31;31;TillJIT;1.375714;1163;26853;1
Square;31;31;31;ReferenceCM;0.146495;109;268;1
Square;32;32;32;ARM-CMSIS-DSP;0.913240;1752;24414;1
Square;32;32;32;TillJIT;1.438845;1112;24414;1
Square;32;32;32;ReferenceCM;0.164853;97;244;1
Square;33;33;33;ARM-CMSIS-DSP;0.826013;1937;22261;1
Square;33;33;33;TillJIT;1.271850;1258;22261;1
Square;33;33;33;ReferenceCM;0.154913;103;222;1
Square;34;34;34;ARM-CMSIS-DSP;0.845212;1893;20354;1
Square;34;34;34;TillJIT;1.288235;1242;20354;1
Square;34;34;34;ReferenceCM;0.151975;105;203;1
