Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;ARM-CMSIS-DSP;0.031281;51150;100000000;1
Square;2;2;2;TillJIT-04.06.;0.043474;36804;100000000;1
Square;2;2;2;ReferenceCM;0.010138;15782;10000000;1
Square;3;3;3;ARM-CMSIS-DSP;0.091137;17556;29629629;1
Square;3;3;3;TillJIT-04.06.;0.115423;13862;29629629;1
Square;3;3;3;ReferenceCM;0.016063;9961;2962962;1
Square;4;4;4;ARM-CMSIS-DSP;0.178432;8967;12500000;1
Square;4;4;4;TillJIT-04.06.;0.220659;7251;12500000;1
Square;4;4;4;ReferenceCM;0.025559;6260;1250000;1
Square;5;5;5;ARM-CMSIS-DSP;0.096362;16604;6400000;1
Square;5;5;5;TillJIT-04.06.;0.214362;7464;6400000;1
Square;5;5;5;ReferenceCM;0.026355;6071;640000;1
Square;6;6;6;ARM-CMSIS-DSP;0.126632;12635;3703703;1
Square;6;6;6;TillJIT-04.06.;0.295967;5406;3703703;1
Square;6;6;6;ReferenceCM;0.027304;5860;370370;1
Square;7;7;7;ARM-CMSIS-DSP;0.158699;10082;2332361;1
Square;7;7;7;TillJIT-04.06.;0.358262;4466;2332361;1
Square;7;7;7;ReferenceCM;0.029784;5372;233236;1
Square;8;8;8;ARM-CMSIS-DSP;0.236581;6763;1562500;1
Square;8;8;8;TillJIT-04.06.;0.454804;3518;1562500;1
Square;8;8;8;ReferenceCM;0.041099;3893;156250;1
Square;9;9;9;ARM-CMSIS-DSP;0.189753;8432;1097393;1
Square;9;9;9;TillJIT-04.06.;0.334448;4784;1097393;1
Square;9;9;9;ReferenceCM;0.038360;4171;109739;1
Square;10;10;10;ARM-CMSIS-DSP;0.211949;7549;800000;1
Square;10;10;10;TillJIT-04.06.;0.365213;4381;800000;1
Square;10;10;10;ReferenceCM;0.037727;4241;80000;1
Square;11;11;11;ARM-CMSIS-DSP;0.234638;6819;601051;1
Square;11;11;11;TillJIT-04.06.;0.419287;3816;601051;1
Square;11;11;11;ReferenceCM;0.038844;4119;60105;1
Square;12;12;12;ARM-CMSIS-DSP;0.298897;5353;462962;1
Square;12;12;12;TillJIT-04.06.;0.489445;3269;462962;1
Square;12;12;12;ReferenceCM;0.050047;3197;46296;1
Square;13;13;13;ARM-CMSIS-DSP;0.243124;6581;364132;1
Square;13;13;13;TillJIT-04.06.;0.417644;3831;364132;1
Square;13;13;13;ReferenceCM;0.046122;3469;36413;1
Square;14;14;14;ARM-CMSIS-DSP;0.259782;6159;291545;1
