Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
Baseline;24;24;24;TillJIT;1.431118;1118;57870;1
Baseline;24;24;24;TillJIT;1.431118;1118;57870;1
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
NoKLoop;24;24;24;TillJIT;-9.356665;-171;57870;1
NoKLoop;24;24;24;TillJIT;-9.356665;-171;57870;1
NoKLoop;24;24;24;TillJIT;-9.302266;-172;57870;1
NoKLoop;24;24;24;TillJIT;-9.302266;-172;57870;1
NoKLoop;24;24;24;TillJIT;-9.302266;-172;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
ExcludeFirstLastIteration;24;24;24;TillJIT;-1.724127;-928;57870;1
ExcludeFirstLastIteration;24;24;24;TillJIT;-1.725987;-927;57870;1
ExcludeFirstLastIteration;24;24;24;TillJIT;-1.725987;-927;57870;1
ExcludeFirstLastIteration;24;24;24;TillJIT;-1.725987;-927;57870;1
ExcludeFirstLastIteration;24;24;24;TillJIT;-1.724127;-928;57870;1
ExcludeLoadStore;24;24;24;TillJIT;-1.505164;-1063;57870;1
ExcludeLoadStore;24;24;24;TillJIT;-1.505164;-1063;57870;1
ExcludeLoadStore;24;24;24;TillJIT;-1.506582;-1062;57870;1
ExcludeLoadStore;24;24;24;TillJIT;-1.506582;-1062;57870;1
ExcludeLoadStore;24;24;24;TillJIT;-1.506582;-1062;57870;1
ExcludeVectorLoadStore;24;24;24;TillJIT;-1.462514;-1094;57870;1
ExcludeVectorLoadStore;24;24;24;TillJIT;-1.463851;-1093;57870;1
ExcludeVectorLoadStore;24;24;24;TillJIT;-1.463851;-1093;57870;1
ExcludeVectorLoadStore;24;24;24;TillJIT;-1.463851;-1093;57870;1
ExcludeVectorLoadStore;24;24;24;TillJIT;-1.462514;-1094;57870;1
ExcludeALoad;24;24;24;TillJIT;-1.453215;-1101;57870;1
ExcludeALoad;24;24;24;TillJIT;-1.453215;-1101;57870;1
ExcludeALoad;24;24;24;TillJIT;-1.454536;-1100;57870;1
ExcludeALoad;24;24;24;TillJIT;-1.454536;-1100;57870;1
ExcludeALoad;24;24;24;TillJIT;-1.454536;-1100;57870;1
ExcludeBLoad;24;24;24;TillJIT;-1.481472;-1080;57870;1
ExcludeBLoad;24;24;24;TillJIT;-1.481472;-1080;57870;1
ExcludeBLoad;24;24;24;TillJIT;-1.481472;-1080;57870;1
ExcludeBLoad;24;24;24;TillJIT;-1.481472;-1080;57870;1
ExcludeBLoad;24;24;24;TillJIT;-1.482845;-1079;57870;1
ExcludeAAdd;24;24;24;TillJIT;-1.449266;-1104;57870;1
ExcludeAAdd;24;24;24;TillJIT;-1.449266;-1104;57870;1
ExcludeAAdd;24;24;24;TillJIT;-1.449266;-1104;57870;1
ExcludeAAdd;24;24;24;TillJIT;-1.449266;-1104;57870;1
ExcludeAAdd;24;24;24;TillJIT;-1.449266;-1104;57870;1
ExcludeVFMA;24;24;24;TillJIT;-2.212987;-723;57870;1
ExcludeVFMA;24;24;24;TillJIT;-2.212987;-723;57870;1
ExcludeVFMA;24;24;24;TillJIT;-2.212987;-723;57870;1
ExcludeVFMA;24;24;24;TillJIT;-2.212987;-723;57870;1
ExcludeVFMA;24;24;24;TillJIT;-2.212987;-723;57870;1
