Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Baseline;24;24;24;TillJIT;0.982191;1629;57870;1
Baseline;24;24;24;TillJIT;0.982191;1629;57870;1
Baseline;24;24;24;TillJIT;0.982795;1628;57870;1
Baseline;24;24;24;TillJIT;0.982795;1628;57870;1
Baseline;24;24;24;TillJIT;0.982191;1629;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.095509;-314;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.095509;-314;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.111788;-313;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.111788;-313;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.095509;-314;57870;1
OnlyALoad;24;24;24;TillJIT;-4.102538;-390;57870;1
OnlyALoad;24;24;24;TillJIT;-4.102538;-390;57870;1
OnlyALoad;24;24;24;TillJIT;-4.102538;-390;57870;1
OnlyALoad;24;24;24;TillJIT;-4.102538;-390;57870;1
OnlyALoad;24;24;24;TillJIT;-4.102538;-390;57870;1
OnlyAAdd;24;24;24;TillJIT;-10.389544;-154;57870;1
OnlyAAdd;24;24;24;TillJIT;-10.389544;-154;57870;1
OnlyAAdd;24;24;24;TillJIT;-10.389544;-154;57870;1
OnlyAAdd;24;24;24;TillJIT;-10.389544;-154;57870;1
OnlyAAdd;24;24;24;TillJIT;-10.389544;-154;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.523800;-1050;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.523800;-1050;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.523800;-1050;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.523800;-1050;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.523800;-1050;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.307181;-1224;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.307181;-1224;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.307181;-1224;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.308250;-1223;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.307181;-1224;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.032918;-1549;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.032918;-1549;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.032918;-1549;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.032918;-1549;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.032918;-1549;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.030257;-1553;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.030921;-1552;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.030257;-1553;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.030257;-1553;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.030921;-1552;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;0.982191;1629;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;0.982191;1629;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;0.982191;1629;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;0.982191;1629;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;0.982191;1629;57870;1
