Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
8x3-Baseline;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-Baseline;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-Baseline;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-Baseline;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-Baseline;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-extraVCTP;27;24;24;TillJIT;1.337784;1196;51440;1
8x3-extraVCTP;27;24;24;TillJIT;1.337784;1196;51440;1
8x3-extraVCTP;27;24;24;TillJIT;1.338904;1195;51440;1
8x3-extraVCTP;27;24;24;TillJIT;1.338904;1195;51440;1
8x3-extraVCTP;27;24;24;TillJIT;1.338904;1195;51440;1
8x3-earlyMOV;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-earlyMOV;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-earlyMOV;27;24;24;TillJIT;1.342273;1192;51440;1
8x3-earlyMOV;27;24;24;TillJIT;1.343400;1191;51440;1
8x3-earlyMOV;27;24;24;TillJIT;1.342273;1192;51440;1
