Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;1;1;1;TillJIT-04.06.;0.015453;103540;800000011;1
Square;1;2;1;TillJIT-04.06.;0.030323;52766;400000005;1
Square;1;3;1;TillJIT-04.06.;0.041558;38500;266666670;1
Square;1;4;1;TillJIT-04.06.;0.051017;31362;200000002;1
Square;1;5;1;TillJIT-04.06.;0.059075;27084;160000002;1
Square;1;6;1;TillJIT-04.06.;0.066039;24228;133333335;1
Square;1;7;1;TillJIT-04.06.;0.072098;22192;114285715;1
Square;1;8;1;TillJIT-04.06.;0.078385;20412;100000001;1
Square;1;9;1;TillJIT-04.06.;0.083121;19249;88888890;1
Square;1;10;1;TillJIT-04.06.;0.087336;18320;80000001;1
Square;1;11;1;TillJIT-04.06.;0.091106;17562;72727273;1
Square;1;12;1;TillJIT-04.06.;0.089271;17923;66666667;1
Square;1;13;1;TillJIT-04.06.;0.093256;17157;61538462;1
Square;1;14;1;TillJIT-04.06.;0.096142;16642;57142857;1
Square;1;15;1;TillJIT-04.06.;0.098796;16195;53333334;1
Square;1;16;1;TillJIT-04.06.;0.101234;15805;50000000;1
Square;1;1;2;TillJIT-04.06.;0.027708;57746;400000005;1
Square;1;2;2;TillJIT-04.06.;0.054477;29370;200000002;1
Square;1;3;2;TillJIT-04.06.;0.071959;22235;133333335;1
Square;1;4;2;TillJIT-04.06.;0.089281;17921;100000001;1
Square;1;5;2;TillJIT-04.06.;0.105736;15132;80000001;1
Square;1;6;2;TillJIT-04.06.;0.119056;13439;66666667;1
Square;1;7;2;TillJIT-04.06.;0.129314;12373;57142857;1
Square;1;8;2;TillJIT-04.06.;0.138265;11572;50000000;1
Square;1;9;2;TillJIT-04.06.;0.147615;10839;44444445;1
Square;1;10;2;TillJIT-04.06.;0.154545;10353;40000000;1
Square;1;11;2;TillJIT-04.06.;0.159283;10045;36363636;1
Square;1;12;2;TillJIT-04.06.;0.164846;9706;33333333;1
Square;1;13;2;TillJIT-04.06.;0.171306;9340;30769231;1
Square;1;14;2;TillJIT-04.06.;0.175805;9101;28571428;1
Square;1;15;2;TillJIT-04.06.;0.178591;8959;26666667;1
Square;1;16;2;TillJIT-04.06.;0.182378;8773;25000000;1
Square;1;1;3;TillJIT-04.06.;0.037667;42477;266666670;1
Square;1;2;3;TillJIT-04.06.;0.074177;21570;133333335;1
Square;1;3;3;TillJIT-04.06.;0.096426;16593;88888890;1
Square;1;4;3;TillJIT-04.06.;0.117578;13608;66666667;1
Square;1;5;3;TillJIT-04.06.;0.136963;11682;53333334;1
Square;1;6;3;TillJIT-04.06.;0.152236;10510;44444445;1
Square;1;7;3;TillJIT-04.06.;0.163850;9765;38095238;1
Square;1;8;3;TillJIT-04.06.;0.172210;9291;33333333;1
Square;1;9;3;TillJIT-04.06.;0.182315;8776;29629630;1
Square;1;10;3;TillJIT-04.06.;0.189776;8431;26666667;1
Square;1;11;3;TillJIT-04.06.;0.194956;8207;24242424;1
Square;1;12;3;TillJIT-04.06.;0.199501;8020;22222222;1
Square;1;13;3;TillJIT-04.06.;0.204761;7814;20512820;1
Square;1;14;3;TillJIT-04.06.;0.209589;7634;19047619;1
Square;1;15;3;TillJIT-04.06.;0.212681;7523;17777778;1
Square;1;16;3;TillJIT-04.06.;0.216685;7384;16666666;1
