Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowK;24;1;24;ARM-CMSIS-DSP;0.270407;5917;1388888;1
GrowK;24;1;24;TillJIT;0.450831;3549;1388888;1
GrowK;24;1;24;ReferenceCM;0.024154;6624;138888;1
GrowK;24;2;24;ARM-CMSIS-DSP;0.414722;3858;694444;1
GrowK;24;2;24;TillJIT;0.861140;1858;694444;1
GrowK;24;2;24;ReferenceCM;0.039024;4100;69444;1
GrowK;24;3;24;ARM-CMSIS-DSP;0.514138;3112;462962;1
GrowK;24;3;24;TillJIT;1.019106;1570;462962;1
GrowK;24;3;24;ReferenceCM;0.050000;3200;46296;1
GrowK;24;4;24;ARM-CMSIS-DSP;0.584368;2738;347222;1
GrowK;24;4;24;TillJIT;1.122019;1426;347222;1
GrowK;24;4;24;ReferenceCM;0.072137;2218;34722;1
GrowK;24;5;24;ARM-CMSIS-DSP;0.636434;2514;277777;1
GrowK;24;5;24;TillJIT;1.194026;1340;277777;1
GrowK;24;5;24;ReferenceCM;0.070297;2276;27777;1
GrowK;24;6;24;ARM-CMSIS-DSP;0.676818;2364;231481;1
GrowK;24;6;24;TillJIT;1.246103;1284;231481;1
GrowK;24;6;24;ReferenceCM;0.074074;2160;23148;1
GrowK;24;7;24;ARM-CMSIS-DSP;0.708589;2258;198412;1
GrowK;24;7;24;TillJIT;1.288240;1242;198412;1
GrowK;24;7;24;ReferenceCM;0.078048;2050;19841;1
GrowK;24;8;24;ARM-CMSIS-DSP;0.734618;2178;173611;1
GrowK;24;8;24;TillJIT;1.331114;1202;173611;1
GrowK;24;8;24;ReferenceCM;0.102695;1558;17361;1
GrowK;24;9;24;ARM-CMSIS-DSP;0.756854;2114;154320;1
GrowK;24;9;24;TillJIT;1.358226;1178;154320;1
GrowK;24;9;24;ReferenceCM;0.096269;1662;15432;1
GrowK;24;10;24;ARM-CMSIS-DSP;0.774438;2066;138888;1
GrowK;24;10;24;TillJIT;1.379302;1160;138888;1
GrowK;24;10;24;ReferenceCM;0.096729;1654;13888;1
GrowK;24;11;24;ARM-CMSIS-DSP;0.789730;2026;126262;1
GrowK;24;11;24;TillJIT;1.398594;1144;126262;1
GrowK;24;11;24;ReferenceCM;0.098037;1632;12626;1
GrowK;24;12;24;ARM-CMSIS-DSP;0.803208;1992;115740;1
GrowK;24;12;24;TillJIT;1.358226;1178;115740;1
GrowK;24;12;24;ReferenceCM;0.121211;1320;11574;1
GrowK;24;13;24;ARM-CMSIS-DSP;0.814659;1964;106837;1
GrowK;24;13;24;TillJIT;1.384075;1156;106837;1
GrowK;24;13;24;ReferenceCM;0.113467;1410;10683;1
GrowK;24;14;24;ARM-CMSIS-DSP;0.824739;1940;99206;1
GrowK;24;14;24;TillJIT;1.398596;1144;99206;1
GrowK;24;14;24;ReferenceCM;0.112352;1424;9920;1
GrowK;24;15;24;ARM-CMSIS-DSP;0.834197;1918;92592;1
GrowK;24;15;24;TillJIT;1.408442;1136;92592;1
GrowK;24;15;24;ReferenceCM;0.112356;1424;9259;1
GrowK;24;16;24;ARM-CMSIS-DSP;0.842100;1900;86805;1
GrowK;24;16;24;TillJIT;1.420950;1126;86805;1
GrowK;24;16;24;ReferenceCM;0.132882;1204;8680;1
GrowK;24;17;24;ARM-CMSIS-DSP;0.850156;1882;81699;1
GrowK;24;17;24;TillJIT;1.423482;1124;81699;1
GrowK;24;17;24;ReferenceCM;0.125378;1276;8169;1
GrowK;24;18;24;ARM-CMSIS-DSP;0.856526;1868;77160;1
GrowK;24;18;24;TillJIT;1.436257;1114;77160;1
GrowK;24;18;24;ReferenceCM;0.123647;1294;7716;1
GrowK;24;19;24;ARM-CMSIS-DSP;0.862064;1856;73099;1
GrowK;24;19;24;TillJIT;1.446646;1106;73099;1
GrowK;24;19;24;ReferenceCM;0.123061;1300;7309;1
