Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowK;24;1;24;ARM-CMSIS-DSP;0.108017;5925;555555;1
GrowK;24;1;24;TillJIT;0.180129;3553;555555;1
GrowK;24;1;24;Intrinsics;0.111208;5755;555555;1
GrowK;24;1;24;ReferenceCM;0.009636;6642;55555;1
GrowK;24;2;24;ARM-CMSIS-DSP;0.165588;3865;277777;1
GrowK;24;2;24;TillJIT;0.344085;1860;277777;1
GrowK;24;2;24;Intrinsics;0.179523;3565;277777;1
GrowK;24;2;24;ReferenceCM;0.015537;4119;27777;1
GrowK;24;3;24;ARM-CMSIS-DSP;0.205325;3117;185185;1
GrowK;24;3;24;TillJIT;0.406865;1573;185185;1
GrowK;24;3;24;Intrinsics;0.226950;2820;185185;1
GrowK;24;3;24;ReferenceCM;0.019894;3217;18518;1
GrowK;24;4;24;ARM-CMSIS-DSP;0.233320;2743;138888;1
GrowK;24;4;24;TillJIT;0.447863;1429;138888;1
GrowK;24;4;24;Intrinsics;0.261329;2449;138888;1
GrowK;24;4;24;ReferenceCM;0.028711;2229;13888;1
GrowK;24;5;24;ARM-CMSIS-DSP;0.254069;2519;111111;1
GrowK;24;5;24;TillJIT;0.476900;1342;111111;1
GrowK;24;5;24;Intrinsics;0.287769;2224;111111;1
GrowK;24;5;24;ReferenceCM;0.027996;2286;11111;1
GrowK;24;6;24;ARM-CMSIS-DSP;0.270040;2370;92592;1
GrowK;24;6;24;TillJIT;0.497664;1286;92592;1
GrowK;24;6;24;Intrinsics;0.308135;2077;92592;1
GrowK;24;6;24;ReferenceCM;0.029479;2171;9259;1
GrowK;24;7;24;ARM-CMSIS-DSP;0.282810;2263;79365;1
GrowK;24;7;24;TillJIT;0.514469;1244;79365;1
GrowK;24;7;24;Intrinsics;0.325038;1969;79365;1
GrowK;24;7;24;ReferenceCM;0.031051;2061;7936;1
GrowK;24;8;24;ARM-CMSIS-DSP;0.293173;2183;69444;1
GrowK;24;8;24;TillJIT;0.531558;1204;69444;1
GrowK;24;8;24;Intrinsics;0.338622;1890;69444;1
GrowK;24;8;24;ReferenceCM;0.040866;1566;6944;1
GrowK;24;9;24;ARM-CMSIS-DSP;0.301743;2121;61728;1
GrowK;24;9;24;TillJIT;0.542369;1180;61728;1
GrowK;24;9;24;Intrinsics;0.350299;1827;61728;1
GrowK;24;9;24;ReferenceCM;0.038318;1670;6172;1
GrowK;24;10;24;ARM-CMSIS-DSP;0.309026;2071;55555;1
GrowK;24;10;24;TillJIT;0.550769;1162;55555;1
GrowK;24;10;24;Intrinsics;0.360154;1777;55555;1
GrowK;24;10;24;ReferenceCM;0.038481;1663;5555;1
GrowK;24;11;24;ARM-CMSIS-DSP;0.315271;2030;50505;1
GrowK;24;11;24;TillJIT;0.557491;1148;50505;1
GrowK;24;11;24;Intrinsics;0.368239;1738;50505;1
GrowK;24;11;24;ReferenceCM;0.039044;1639;5050;1
GrowK;24;12;24;ARM-CMSIS-DSP;0.320639;1996;46296;1
GrowK;24;12;24;TillJIT;0.542369;1180;46296;1
GrowK;24;12;24;Intrinsics;0.375805;1703;46296;1
GrowK;24;12;24;ReferenceCM;0.048186;1328;4629;1
GrowK;24;13;24;ARM-CMSIS-DSP;0.325368;1967;42735;1
GrowK;24;13;24;TillJIT;0.552200;1159;42735;1
GrowK;24;13;24;Intrinsics;0.382089;1675;42735;1
GrowK;24;13;24;ReferenceCM;0.045065;1420;4273;1
GrowK;24;14;24;ARM-CMSIS-DSP;0.329383;1943;39682;1
GrowK;24;14;24;TillJIT;0.557484;1148;39682;1
GrowK;24;14;24;Intrinsics;0.387874;1650;39682;1
GrowK;24;14;24;ReferenceCM;0.044690;1432;3968;1
GrowK;24;15;24;ARM-CMSIS-DSP;0.332986;1922;37037;1
GrowK;24;15;24;TillJIT;0.562390;1138;37037;1
GrowK;24;15;24;Intrinsics;0.393120;1628;37037;1
GrowK;24;15;24;ReferenceCM;0.044809;1428;3703;1
GrowK;24;16;24;ARM-CMSIS-DSP;0.336486;1902;34722;1
GrowK;24;16;24;TillJIT;0.566870;1129;34722;1
GrowK;24;16;24;Intrinsics;0.397513;1610;34722;1
GrowK;24;16;24;ReferenceCM;0.053021;1207;3472;1
GrowK;24;17;24;ARM-CMSIS-DSP;0.339335;1886;32679;1
GrowK;24;17;24;TillJIT;0.568371;1126;32679;1
GrowK;24;17;24;Intrinsics;0.401497;1594;32679;1
GrowK;24;17;24;ReferenceCM;0.049791;1285;3267;1
GrowK;24;18;24;ARM-CMSIS-DSP;0.342061;1871;30864;1
GrowK;24;18;24;TillJIT;0.574503;1114;30864;1
GrowK;24;18;24;Intrinsics;0.405317;1579;30864;1
GrowK;24;18;24;ReferenceCM;0.049111;1303;3086;1
GrowK;24;19;24;ARM-CMSIS-DSP;0.344262;1859;29239;1
GrowK;24;19;24;TillJIT;0.577602;1108;29239;1
GrowK;24;19;24;Intrinsics;0.408674;1566;29239;1
GrowK;24;19;24;ReferenceCM;0.048876;1309;2923;1
GrowK;24;20;24;ARM-CMSIS-DSP;0.346686;1846;27777;1
GrowK;24;20;24;TillJIT;0.580219;1103;27777;1
GrowK;24;20;24;Intrinsics;0.411829;1554;27777;1
GrowK;24;20;24;ReferenceCM;0.056273;1137;2777;1
GrowK;24;21;24;ARM-CMSIS-DSP;0.348584;1836;26455;1
GrowK;24;21;24;TillJIT;0.582877;1098;26455;1
GrowK;24;21;24;Intrinsics;0.414507;1544;26455;1
GrowK;24;21;24;ReferenceCM;0.053279;1201;2645;1
GrowK;24;22;24;ARM-CMSIS-DSP;0.350486;1826;25252;1
GrowK;24;22;24;TillJIT;0.583397;1097;25252;1
GrowK;24;22;24;Intrinsics;0.417201;1534;25252;1
GrowK;24;22;24;ReferenceCM;0.052454;1220;2525;1
GrowK;24;23;24;ARM-CMSIS-DSP;0.352220;1817;24154;1
GrowK;24;23;24;TillJIT;0.587142;1090;24154;1
GrowK;24;23;24;Intrinsics;0.419662;1525;24154;1
GrowK;24;23;24;ReferenceCM;0.052023;1230;2415;1
GrowK;24;24;24;ARM-CMSIS-DSP;0.353589;1810;23148;1
GrowK;24;24;24;TillJIT;0.589315;1086;23148;1
GrowK;24;24;24;Intrinsics;0.421883;1517;23148;1
GrowK;24;24;24;ReferenceCM;0.058749;1089;2314;1
GrowK;24;25;24;ARM-CMSIS-DSP;0.355355;1801;22222;1
GrowK;24;25;24;TillJIT;0.591491;1082;22222;1
GrowK;24;25;24;Intrinsics;0.424118;1509;22222;1
GrowK;24;25;24;ReferenceCM;0.055890;1145;2222;1
GrowK;24;26;24;ARM-CMSIS-DSP;0.356537;1795;21367;1
GrowK;24;26;24;TillJIT;0.593127;1079;21367;1
GrowK;24;26;24;Intrinsics;0.425805;1503;21367;1
GrowK;24;26;24;ReferenceCM;0.054963;1164;2136;1
GrowK;24;27;24;ARM-CMSIS-DSP;0.357940;1788;20576;1
GrowK;24;27;24;TillJIT;0.593138;1079;20576;1
GrowK;24;27;24;Intrinsics;0.427805;1496;20576;1
GrowK;24;27;24;ReferenceCM;0.054545;1173;2057;1
GrowK;24;28;24;ARM-CMSIS-DSP;0.359142;1782;19841;1
GrowK;24;28;24;TillJIT;0.596450;1073;19841;1
GrowK;24;28;24;Intrinsics;0.429524;1490;19841;1
GrowK;24;28;24;ReferenceCM;0.060660;1055;1984;1
GrowK;24;29;24;ARM-CMSIS-DSP;0.360156;1777;19157;1
GrowK;24;29;24;TillJIT;0.597570;1071;19157;1
GrowK;24;29;24;Intrinsics;0.430974;1485;19157;1
GrowK;24;29;24;ReferenceCM;0.057897;1105;1915;1
GrowK;24;30;24;ARM-CMSIS-DSP;0.361368;1771;18518;1
GrowK;24;30;24;TillJIT;0.599234;1068;18518;1
GrowK;24;30;24;Intrinsics;0.432420;1480;18518;1
GrowK;24;30;24;ReferenceCM;0.057015;1122;1851;1
GrowK;24;31;24;ARM-CMSIS-DSP;0.362193;1767;17921;1
GrowK;24;31;24;TillJIT;0.600370;1066;17921;1
GrowK;24;31;24;Intrinsics;0.433895;1475;17921;1
GrowK;24;31;24;ReferenceCM;0.056533;1132;1792;1
GrowK;24;32;24;ARM-CMSIS-DSP;0.363221;1762;17361;1
GrowK;24;32;24;TillJIT;0.599809;1067;17361;1
GrowK;24;32;24;Intrinsics;0.435075;1471;17361;1
GrowK;24;32;24;ReferenceCM;0.062132;1030;1736;1
GrowK;24;33;24;ARM-CMSIS-DSP;0.364050;1758;16835;1
GrowK;24;33;24;TillJIT;0.602636;1062;16835;1
GrowK;24;33;24;Intrinsics;0.436562;1466;16835;1
GrowK;24;33;24;ReferenceCM;0.059573;1074;1683;1
GrowK;24;34;24;ARM-CMSIS-DSP;0.365069;1753;16339;1
GrowK;24;34;24;TillJIT;0.603741;1060;16339;1
GrowK;24;34;24;Intrinsics;0.437434;1463;16339;1
GrowK;24;34;24;ReferenceCM;0.058680;1090;1633;1
GrowK;24;35;24;ARM-CMSIS-DSP;0.365714;1750;15873;1
GrowK;24;35;24;TillJIT;0.604914;1058;15873;1
GrowK;24;35;24;Intrinsics;0.438656;1459;15873;1
GrowK;24;35;24;ReferenceCM;0.058171;1100;1587;1
GrowK;24;36;24;ARM-CMSIS-DSP;0.366550;1746;15432;1
GrowK;24;36;24;TillJIT;0.606057;1056;15432;1
GrowK;24;36;24;Intrinsics;0.439860;1455;15432;1
GrowK;24;36;24;ReferenceCM;0.063295;1011;1543;1
GrowK;24;37;24;ARM-CMSIS-DSP;0.367183;1743;15015;1
GrowK;24;37;24;TillJIT;0.605487;1057;15015;1
GrowK;24;37;24;Intrinsics;0.441075;1451;15015;1
GrowK;24;37;24;ReferenceCM;0.060874;1051;1501;1
GrowK;24;38;24;ARM-CMSIS-DSP;0.367794;1740;14619;1
GrowK;24;38;24;TillJIT;0.607751;1053;14619;1
GrowK;24;38;24;Intrinsics;0.441657;1449;14619;1
GrowK;24;38;24;ReferenceCM;0.060053;1065;1461;1
GrowK;24;39;24;ARM-CMSIS-DSP;0.368451;1737;14245;1
GrowK;24;39;24;TillJIT;0.608364;1052;14245;1
GrowK;24;39;24;Intrinsics;0.442906;1445;14245;1
GrowK;24;39;24;ReferenceCM;0.059569;1074;1424;1
GrowK;24;40;24;ARM-CMSIS-DSP;0.369278;1733;13888;1
GrowK;24;40;24;TillJIT;0.608905;1051;13888;1
GrowK;24;40;24;Intrinsics;0.443492;1443;13888;1
GrowK;24;40;24;ReferenceCM;0.064345;994;1388;1
GrowK;24;41;24;ARM-CMSIS-DSP;0.369725;1731;13550;1
GrowK;24;41;24;TillJIT;0.610099;1049;13550;1
GrowK;24;41;24;Intrinsics;0.444440;1440;13550;1
GrowK;24;41;24;ReferenceCM;0.062075;1031;1355;1
GrowK;24;42;24;ARM-CMSIS-DSP;0.370142;1729;13227;1
GrowK;24;42;24;TillJIT;0.609500;1050;13227;1
GrowK;24;42;24;Intrinsics;0.445045;1438;13227;1
GrowK;24;42;24;ReferenceCM;0.061209;1045;1322;1
GrowK;24;43;24;ARM-CMSIS-DSP;0.370774;1726;12919;1
GrowK;24;43;24;TillJIT;0.611228;1047;12919;1
GrowK;24;43;24;Intrinsics;0.446273;1434;12919;1
GrowK;24;43;24;ReferenceCM;0.060732;1053;1291;1
GrowK;24;44;24;ARM-CMSIS-DSP;0.371222;1724;12626;1
GrowK;24;44;24;TillJIT;0.611842;1046;12626;1
GrowK;24;44;24;Intrinsics;0.446918;1432;12626;1
GrowK;24;44;24;ReferenceCM;0.065141;982;1262;1
GrowK;24;45;24;ARM-CMSIS-DSP;0.371856;1721;12345;1
GrowK;24;45;24;TillJIT;0.612407;1045;12345;1
GrowK;24;45;24;Intrinsics;0.447528;1430;12345;1
GrowK;24;45;24;ReferenceCM;0.062963;1016;1234;1
GrowK;24;46;24;ARM-CMSIS-DSP;0.372300;1719;12077;1
GrowK;24;46;24;TillJIT;0.613012;1044;12077;1
GrowK;24;46;24;Intrinsics;0.448168;1428;12077;1
GrowK;24;46;24;ReferenceCM;0.062219;1028;1207;1
GrowK;24;47;24;ARM-CMSIS-DSP;0.372516;1718;11820;1
GrowK;24;47;24;TillJIT;0.613010;1044;11820;1
GrowK;24;47;24;Intrinsics;0.448795;1426;11820;1
GrowK;24;47;24;ReferenceCM;0.061715;1037;1182;1
GrowK;24;48;24;ARM-CMSIS-DSP;0.373175;1715;11574;1
GrowK;24;48;24;TillJIT;0.614199;1042;11574;1
GrowK;24;48;24;Intrinsics;0.449435;1424;11574;1
GrowK;24;48;24;ReferenceCM;0.065820;972;1157;1
GrowK;24;49;24;ARM-CMSIS-DSP;0.373585;1713;11337;1
GrowK;24;49;24;TillJIT;0.614746;1041;11337;1
GrowK;24;49;24;Intrinsics;0.450036;1422;11337;1
GrowK;24;49;24;ReferenceCM;0.063828;1002;1133;1
GrowK;24;50;24;ARM-CMSIS-DSP;0.373828;1712;11111;1
GrowK;24;50;24;TillJIT;0.615378;1040;11111;1
GrowK;24;50;24;Intrinsics;0.450700;1420;11111;1
GrowK;24;50;24;ReferenceCM;0.063110;1014;1111;1
GrowK;24;51;24;ARM-CMSIS-DSP;0.374261;1710;10893;1
GrowK;24;51;24;TillJIT;0.615963;1039;10893;1
GrowK;24;51;24;Intrinsics;0.451012;1419;10893;1
GrowK;24;51;24;ReferenceCM;0.062604;1022;1089;1
GrowK;24;52;24;ARM-CMSIS-DSP;0.374681;1708;10683;1
GrowK;24;52;24;TillJIT;0.615341;1040;10683;1
GrowK;24;52;24;Intrinsics;0.451626;1417;10683;1
GrowK;24;52;24;ReferenceCM;0.066574;961;1068;1
GrowK;24;53;24;ARM-CMSIS-DSP;0.374920;1707;10482;1
GrowK;24;53;24;TillJIT;0.616560;1038;10482;1
GrowK;24;53;24;Intrinsics;0.452289;1415;10482;1
GrowK;24;53;24;ReferenceCM;0.064568;991;1048;1
GrowK;24;54;24;ARM-CMSIS-DSP;0.375364;1705;10288;1
GrowK;24;54;24;TillJIT;0.617161;1037;10288;1
GrowK;24;54;24;Intrinsics;0.452614;1414;10288;1
GrowK;24;54;24;ReferenceCM;0.063822;1002;1028;1
GrowK;24;55;24;ARM-CMSIS-DSP;0.375586;1704;10101;1
GrowK;24;55;24;TillJIT;0.617164;1037;10101;1
GrowK;24;55;24;Intrinsics;0.453257;1412;10101;1
GrowK;24;55;24;ReferenceCM;0.063360;1010;1010;1
GrowK;24;56;24;ARM-CMSIS-DSP;0.376004;1702;9920;1
GrowK;24;56;24;TillJIT;0.618318;1035;9920;1
GrowK;24;56;24;Intrinsics;0.453550;1411;9920;1
GrowK;24;56;24;ReferenceCM;0.067082;954;992;1
GrowK;24;57;24;ARM-CMSIS-DSP;0.376448;1700;9746;1
GrowK;24;57;24;TillJIT;0.617723;1036;9746;1
GrowK;24;57;24;Intrinsics;0.454195;1409;9746;1
GrowK;24;57;24;ReferenceCM;0.065195;981;974;1
GrowK;24;58;24;ARM-CMSIS-DSP;0.376671;1699;9578;1
GrowK;24;58;24;TillJIT;0.618920;1034;9578;1
GrowK;24;58;24;Intrinsics;0.454520;1408;9578;1
GrowK;24;58;24;ReferenceCM;0.064524;991;957;1
GrowK;24;59;24;ARM-CMSIS-DSP;0.376906;1698;9416;1
GrowK;24;59;24;TillJIT;0.618943;1034;9416;1
GrowK;24;59;24;Intrinsics;0.454859;1407;9416;1
GrowK;24;59;24;ReferenceCM;0.064086;998;941;1
GrowK;24;60;24;ARM-CMSIS-DSP;0.377126;1697;9259;1
GrowK;24;60;24;TillJIT;0.619537;1033;9259;1
GrowK;24;60;24;Intrinsics;0.455179;1406;9259;1
GrowK;24;60;24;ReferenceCM;0.067586;946;925;1
GrowK;24;61;24;ARM-CMSIS-DSP;0.377339;1696;9107;1
GrowK;24;61;24;TillJIT;0.620123;1032;9107;1
GrowK;24;61;24;Intrinsics;0.455817;1404;9107;1
GrowK;24;61;24;ReferenceCM;0.065790;972;910;1
GrowK;24;62;24;ARM-CMSIS-DSP;0.377780;1694;8960;1
GrowK;24;62;24;TillJIT;0.619515;1033;8960;1
GrowK;24;62;24;Intrinsics;0.456462;1402;8960;1
GrowK;24;62;24;ReferenceCM;0.065235;981;896;1
GrowK;24;63;24;ARM-CMSIS-DSP;0.378013;1693;8818;1
GrowK;24;63;24;TillJIT;0.620131;1032;8818;1
GrowK;24;63;24;Intrinsics;0.456473;1402;8818;1
GrowK;24;63;24;ReferenceCM;0.064716;988;881;1
GrowK;24;64;24;ARM-CMSIS-DSP;0.378226;1692;8680;1
GrowK;24;64;24;TillJIT;0.620717;1031;8680;1
GrowK;24;64;24;Intrinsics;0.456787;1401;8680;1
GrowK;24;64;24;ReferenceCM;0.067936;942;868;1
GrowK;24;65;24;ARM-CMSIS-DSP;0.378474;1691;8547;1
GrowK;24;65;24;TillJIT;0.621359;1030;8547;1
GrowK;24;65;24;Intrinsics;0.457142;1400;8547;1
GrowK;24;65;24;ReferenceCM;0.066336;964;854;1
GrowK;24;66;24;ARM-CMSIS-DSP;0.378675;1690;8417;1
GrowK;24;66;24;TillJIT;0.621322;1030;8417;1
GrowK;24;66;24;Intrinsics;0.457769;1398;8417;1
GrowK;24;66;24;ReferenceCM;0.065650;974;841;1
GrowK;24;67;24;ARM-CMSIS-DSP;0.378882;1689;8291;1
GrowK;24;67;24;TillJIT;0.621294;1030;8291;1
GrowK;24;67;24;Intrinsics;0.457749;1398;8291;1
GrowK;24;67;24;ReferenceCM;0.065358;979;829;1
GrowK;24;68;24;ARM-CMSIS-DSP;0.379328;1687;8169;1
GrowK;24;68;24;TillJIT;0.621892;1029;8169;1
GrowK;24;68;24;Intrinsics;0.458400;1396;8169;1
GrowK;24;68;24;ReferenceCM;0.068366;935;816;1
GrowK;24;69;24;ARM-CMSIS-DSP;0.379347;1687;8051;1
GrowK;24;69;24;TillJIT;0.622527;1028;8051;1
GrowK;24;69;24;Intrinsics;0.458423;1396;8051;1
GrowK;24;69;24;ReferenceCM;0.066793;958;805;1
GrowK;24;70;24;ARM-CMSIS-DSP;0.379798;1685;7936;1
GrowK;24;70;24;TillJIT;0.622528;1028;7936;1
GrowK;24;70;24;Intrinsics;0.459081;1394;7936;1
GrowK;24;70;24;ReferenceCM;0.066198;966;793;1
GrowK;24;71;24;ARM-CMSIS-DSP;0.379787;1685;7824;1
GrowK;24;71;24;TillJIT;0.622510;1028;7824;1
GrowK;24;71;24;Intrinsics;0.459068;1394;7824;1
GrowK;24;71;24;ReferenceCM;0.065804;972;782;1
GrowK;24;72;24;ARM-CMSIS-DSP;0.380045;1684;7716;1
GrowK;24;72;24;TillJIT;0.622564;1028;7716;1
GrowK;24;72;24;Intrinsics;0.459437;1393;7716;1
GrowK;24;72;24;ReferenceCM;0.068763;930;771;1
GrowK;24;73;24;ARM-CMSIS-DSP;0.380482;1682;7610;1
GrowK;24;73;24;TillJIT;0.623146;1027;7610;1
GrowK;24;73;24;Intrinsics;0.459749;1392;7610;1
GrowK;24;73;24;ReferenceCM;0.067224;952;761;1
GrowK;24;74;24;ARM-CMSIS-DSP;0.380474;1682;7507;1
GrowK;24;74;24;TillJIT;0.623739;1026;7507;1
GrowK;24;74;24;Intrinsics;0.460070;1391;7507;1
GrowK;24;74;24;ReferenceCM;0.066669;959;750;1
GrowK;24;75;24;ARM-CMSIS-DSP;0.380478;1682;7407;1
GrowK;24;75;24;TillJIT;0.623747;1026;7407;1
GrowK;24;75;24;Intrinsics;0.460075;1391;7407;1
GrowK;24;75;24;ReferenceCM;0.066186;966;740;1
GrowK;24;76;24;ARM-CMSIS-DSP;0.380903;1680;7309;1
GrowK;24;76;24;TillJIT;0.623701;1026;7309;1
GrowK;24;76;24;Intrinsics;0.460372;1390;7309;1
GrowK;24;76;24;ReferenceCM;0.069095;925;730;1
GrowK;24;77;24;ARM-CMSIS-DSP;0.380952;1680;7215;1
GrowK;24;77;24;TillJIT;0.623781;1026;7215;1
GrowK;24;77;24;Intrinsics;0.460763;1389;7215;1
GrowK;24;77;24;ReferenceCM;0.067606;946;721;1
GrowK;24;78;24;ARM-CMSIS-DSP;0.381152;1679;7122;1
GrowK;24;78;24;TillJIT;0.624346;1025;7122;1
GrowK;24;78;24;Intrinsics;0.461062;1388;7122;1
GrowK;24;78;24;ReferenceCM;0.067062;954;712;1
GrowK;24;79;24;ARM-CMSIS-DSP;0.381160;1679;7032;1
GrowK;24;79;24;TillJIT;0.624359;1025;7032;1
GrowK;24;79;24;Intrinsics;0.461405;1387;7032;1
GrowK;24;79;24;ReferenceCM;0.066575;961;703;1
GrowK;24;80;24;ARM-CMSIS-DSP;0.381609;1677;6944;1
GrowK;24;80;24;TillJIT;0.624350;1025;6944;1
GrowK;24;80;24;Intrinsics;0.461398;1387;6944;1
GrowK;24;80;24;ReferenceCM;0.069370;922;694;1
