Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowK;24;1;24;ARM-CMSIS-DSP;0.253847;6303;1388888;1
GrowK;24;1;24;TillJIT;0.508906;3144;1388888;1
GrowK;24;1;24;Intrinsics;0.278454;5746;1388888;1
GrowK;24;1;24;ReferenceCM;0.024133;6630;138888;1
GrowK;24;2;24;ARM-CMSIS-DSP;0.394672;4054;694444;1
GrowK;24;2;24;TillJIT;0.788177;2030;694444;1
GrowK;24;2;24;Intrinsics;0.449186;3562;694444;1
GrowK;24;2;24;ReferenceCM;0.038882;4115;69444;1
GrowK;24;3;24;ARM-CMSIS-DSP;0.493369;3243;462962;1
GrowK;24;3;24;TillJIT;0.948990;1686;462962;1
GrowK;24;3;24;Intrinsics;0.567979;2817;462962;1
GrowK;24;3;24;ReferenceCM;0.049859;3209;46296;1
GrowK;24;4;24;ARM-CMSIS-DSP;0.564175;2836;347222;1
GrowK;24;4;24;TillJIT;1.056802;1514;347222;1
GrowK;24;4;24;Intrinsics;0.654129;2446;347222;1
GrowK;24;4;24;ReferenceCM;0.071813;2228;34722;1
GrowK;24;5;24;ARM-CMSIS-DSP;0.616569;2595;277777;1
GrowK;24;5;24;TillJIT;1.133944;1411;277777;1
GrowK;24;5;24;Intrinsics;0.720394;2221;277777;1
GrowK;24;5;24;ReferenceCM;0.070081;2283;27777;1
GrowK;24;6;24;ARM-CMSIS-DSP;0.658164;2431;231481;1
GrowK;24;6;24;TillJIT;1.192248;1342;231481;1
GrowK;24;6;24;Intrinsics;0.771455;2074;231481;1
GrowK;24;6;24;ReferenceCM;0.073868;2166;23148;1
GrowK;24;7;24;ARM-CMSIS-DSP;0.691142;2315;198412;1
GrowK;24;7;24;TillJIT;1.238386;1292;198412;1
GrowK;24;7;24;Intrinsics;0.813419;1967;198412;1
GrowK;24;7;24;ReferenceCM;0.077820;2056;19841;1
GrowK;24;8;24;ARM-CMSIS-DSP;0.717810;2229;173611;1
GrowK;24;8;24;TillJIT;1.286173;1244;173611;1
GrowK;24;8;24;Intrinsics;0.847906;1887;173611;1
GrowK;24;8;24;ReferenceCM;0.102367;1563;17361;1
GrowK;24;9;24;ARM-CMSIS-DSP;0.740393;2161;154320;1
GrowK;24;9;24;TillJIT;1.314700;1217;154320;1
GrowK;24;9;24;Intrinsics;0.877187;1824;154320;1
GrowK;24;9;24;ReferenceCM;0.096038;1666;15432;1
GrowK;24;10;24;ARM-CMSIS-DSP;0.759369;2107;138888;1
GrowK;24;10;24;TillJIT;1.337784;1196;138888;1
GrowK;24;10;24;Intrinsics;0.901403;1775;138888;1
GrowK;24;10;24;ReferenceCM;0.096437;1659;13888;1
GrowK;24;11;24;ARM-CMSIS-DSP;0.775942;2062;126262;1
GrowK;24;11;24;TillJIT;1.357076;1179;126262;1
GrowK;24;11;24;Intrinsics;0.922186;1735;126262;1
GrowK;24;11;24;ReferenceCM;0.097797;1636;12626;1
GrowK;24;12;24;ARM-CMSIS-DSP;0.790118;2025;115740;1
GrowK;24;12;24;TillJIT;1.323399;1209;115740;1
GrowK;24;12;24;Intrinsics;0.940617;1701;115740;1
GrowK;24;12;24;ReferenceCM;0.120754;1325;11574;1
GrowK;24;13;24;ARM-CMSIS-DSP;0.802000;1995;106837;1
GrowK;24;13;24;TillJIT;1.350203;1185;106837;1
GrowK;24;13;24;Intrinsics;0.956360;1673;106837;1
GrowK;24;13;24;ReferenceCM;0.113146;1414;10683;1
GrowK;24;14;24;ARM-CMSIS-DSP;0.813005;1968;99206;1
GrowK;24;14;24;TillJIT;1.366349;1171;99206;1
GrowK;24;14;24;Intrinsics;0.970870;1648;99206;1
GrowK;24;14;24;ReferenceCM;0.111881;1430;9920;1
GrowK;24;15;24;ARM-CMSIS-DSP;0.822617;1945;92592;1
GrowK;24;15;24;TillJIT;1.380492;1159;92592;1
GrowK;24;15;24;Intrinsics;0.983399;1627;92592;1
GrowK;24;15;24;ReferenceCM;0.112278;1425;9259;1
GrowK;24;16;24;ARM-CMSIS-DSP;0.831595;1924;86805;1
GrowK;24;16;24;TillJIT;1.390087;1151;86805;1
GrowK;24;16;24;Intrinsics;0.995018;1608;86805;1
GrowK;24;16;24;ReferenceCM;0.132661;1206;8680;1
GrowK;24;17;24;ARM-CMSIS-DSP;0.839891;1905;81699;1
GrowK;24;17;24;TillJIT;1.397374;1145;81699;1
GrowK;24;17;24;Intrinsics;1.004390;1593;81699;1
GrowK;24;17;24;ReferenceCM;0.124888;1281;8169;1
GrowK;24;18;24;ARM-CMSIS-DSP;0.846108;1891;77160;1
GrowK;24;18;24;TillJIT;1.412171;1133;77160;1
GrowK;24;18;24;Intrinsics;1.014578;1577;77160;1
GrowK;24;18;24;ReferenceCM;0.123076;1300;7716;1
GrowK;24;19;24;ARM-CMSIS-DSP;0.853328;1875;73099;1
GrowK;24;19;24;TillJIT;1.422214;1125;73099;1
GrowK;24;19;24;Intrinsics;1.023012;1564;73099;1
GrowK;24;19;24;ReferenceCM;0.122684;1304;7309;1
GrowK;24;20;24;ARM-CMSIS-DSP;0.858364;1864;69444;1
GrowK;24;20;24;TillJIT;1.429839;1119;69444;1
GrowK;24;20;24;Intrinsics;1.030921;1552;69444;1
GrowK;24;20;24;ReferenceCM;0.141084;1134;6944;1
GrowK;24;21;24;ARM-CMSIS-DSP;0.863923;1852;66137;1
GrowK;24;21;24;TillJIT;1.437544;1113;66137;1
GrowK;24;21;24;Intrinsics;1.037605;1542;66137;1
GrowK;24;21;24;ReferenceCM;0.133318;1200;6613;1
GrowK;24;22;24;ARM-CMSIS-DSP;0.869089;1841;63131;1
GrowK;24;22;24;TillJIT;1.440137;1111;63131;1
GrowK;24;22;24;Intrinsics;1.044381;1532;63131;1
GrowK;24;22;24;ReferenceCM;0.131468;1217;6313;1
GrowK;24;23;24;ARM-CMSIS-DSP;0.873833;1831;60386;1
GrowK;24;23;24;TillJIT;1.451894;1102;60386;1
GrowK;24;23;24;Intrinsics;1.050550;1523;60386;1
GrowK;24;23;24;ReferenceCM;0.130492;1226;6038;1
GrowK;24;24;24;ARM-CMSIS-DSP;0.877669;1823;57870;1
GrowK;24;24;24;TillJIT;1.457186;1098;57870;1
GrowK;24;24;24;Intrinsics;1.056099;1515;57870;1
GrowK;24;24;24;ReferenceCM;0.147193;1087;5787;1
GrowK;24;25;24;ARM-CMSIS-DSP;0.881534;1815;55555;1
GrowK;24;25;24;TillJIT;1.461173;1095;55555;1
GrowK;24;25;24;Intrinsics;1.061701;1507;55555;1
GrowK;24;25;24;ReferenceCM;0.139846;1144;5555;1
GrowK;24;26;24;ARM-CMSIS-DSP;0.884942;1808;53418;1
GrowK;24;26;24;TillJIT;1.466522;1091;53418;1
GrowK;24;26;24;Intrinsics;1.065940;1501;53418;1
GrowK;24;26;24;ReferenceCM;0.137790;1161;5341;1
GrowK;24;27;24;ARM-CMSIS-DSP;0.888883;1800;51440;1
GrowK;24;27;24;TillJIT;1.466535;1091;51440;1
GrowK;24;27;24;Intrinsics;1.070944;1494;51440;1
GrowK;24;27;24;ReferenceCM;0.136751;1170;5144;1
GrowK;24;28;24;ARM-CMSIS-DSP;0.892356;1793;49603;1
GrowK;24;28;24;TillJIT;1.474649;1085;49603;1
GrowK;24;28;24;Intrinsics;1.074543;1489;49603;1
GrowK;24;28;24;ReferenceCM;0.151937;1053;4960;1
GrowK;24;29;24;ARM-CMSIS-DSP;0.894841;1788;47892;1
GrowK;24;29;24;TillJIT;1.480089;1081;47892;1
GrowK;24;29;24;Intrinsics;1.078878;1483;47892;1
GrowK;24;29;24;ReferenceCM;0.145051;1103;4789;1
GrowK;24;30;24;ARM-CMSIS-DSP;0.897862;1782;46296;1
GrowK;24;30;24;TillJIT;1.484221;1078;46296;1
GrowK;24;30;24;Intrinsics;1.082537;1478;46296;1
GrowK;24;30;24;ReferenceCM;0.142838;1120;4629;1
GrowK;24;31;24;ARM-CMSIS-DSP;0.900377;1777;44802;1
GrowK;24;31;24;TillJIT;1.486960;1076;44802;1
GrowK;24;31;24;Intrinsics;1.085461;1474;44802;1
GrowK;24;31;24;ReferenceCM;0.141709;1129;4480;1
GrowK;24;32;24;ARM-CMSIS-DSP;0.902918;1772;43402;1
GrowK;24;32;24;TillJIT;1.486962;1076;43402;1
GrowK;24;32;24;Intrinsics;1.089899;1468;43402;1
GrowK;24;32;24;ReferenceCM;0.155632;1028;4340;1
GrowK;24;33;24;ARM-CMSIS-DSP;0.905478;1767;42087;1
GrowK;24;33;24;TillJIT;1.492518;1072;42087;1
GrowK;24;33;24;Intrinsics;1.092882;1464;42087;1
GrowK;24;33;24;ReferenceCM;0.149227;1072;4208;1
GrowK;24;34;24;ARM-CMSIS-DSP;0.908044;1762;40849;1
GrowK;24;34;24;TillJIT;1.496701;1069;40849;1
GrowK;24;34;24;Intrinsics;1.095872;1460;40849;1
GrowK;24;34;24;ReferenceCM;0.147159;1087;4084;1
GrowK;24;35;24;ARM-CMSIS-DSP;0.909595;1759;39682;1
GrowK;24;35;24;TillJIT;1.499511;1067;39682;1
GrowK;24;35;24;Intrinsics;1.098886;1456;39682;1
GrowK;24;35;24;ReferenceCM;0.145843;1097;3968;1
GrowK;24;36;24;ARM-CMSIS-DSP;0.911675;1755;38580;1
GrowK;24;36;24;TillJIT;1.502338;1065;38580;1
GrowK;24;36;24;Intrinsics;1.101163;1453;38580;1
GrowK;24;36;24;ReferenceCM;0.158572;1009;3858;1
GrowK;24;37;24;ARM-CMSIS-DSP;0.913750;1751;37537;1
GrowK;24;37;24;TillJIT;1.502326;1065;37537;1
GrowK;24;37;24;Intrinsics;1.103432;1450;37537;1
GrowK;24;37;24;ReferenceCM;0.152641;1048;3753;1
GrowK;24;38;24;ARM-CMSIS-DSP;0.915838;1747;36549;1
GrowK;24;38;24;TillJIT;1.506562;1062;36549;1
GrowK;24;38;24;Intrinsics;1.105715;1447;36549;1
GrowK;24;38;24;ReferenceCM;0.150619;1062;3654;1
GrowK;24;39;24;ARM-CMSIS-DSP;0.917417;1744;35612;1
GrowK;24;39;24;TillJIT;1.510837;1059;35612;1
GrowK;24;39;24;Intrinsics;1.108017;1444;35612;1
GrowK;24;39;24;ReferenceCM;0.149243;1072;3561;1
GrowK;24;40;24;ARM-CMSIS-DSP;0.919006;1741;34722;1
GrowK;24;40;24;TillJIT;1.512278;1058;34722;1
GrowK;24;40;24;Intrinsics;1.109563;1442;34722;1
GrowK;24;40;24;ReferenceCM;0.161280;992;3472;1
GrowK;24;41;24;ARM-CMSIS-DSP;0.920589;1738;33875;1
GrowK;24;41;24;TillJIT;1.515136;1056;33875;1
GrowK;24;41;24;Intrinsics;1.111872;1439;33875;1
GrowK;24;41;24;ReferenceCM;0.155466;1029;3387;1
GrowK;24;42;24;ARM-CMSIS-DSP;0.921637;1736;33068;1
GrowK;24;42;24;TillJIT;1.513682;1057;33068;1
GrowK;24;42;24;Intrinsics;1.114956;1435;33068;1
GrowK;24;42;24;ReferenceCM;0.153363;1043;3306;1
GrowK;24;43;24;ARM-CMSIS-DSP;0.923766;1732;32299;1
GrowK;24;43;24;TillJIT;1.517992;1054;32299;1
GrowK;24;43;24;Intrinsics;1.116513;1433;32299;1
GrowK;24;43;24;ReferenceCM;0.152335;1050;3229;1
GrowK;24;44;24;ARM-CMSIS-DSP;0.924836;1730;31565;1
GrowK;24;44;24;TillJIT;1.520881;1052;31565;1
GrowK;24;44;24;Intrinsics;1.118076;1431;31565;1
GrowK;24;44;24;ReferenceCM;0.163403;979;3156;1
GrowK;24;45;24;ARM-CMSIS-DSP;0.925920;1728;30864;1
GrowK;24;45;24;TillJIT;1.520903;1052;30864;1
GrowK;24;45;24;Intrinsics;1.120441;1428;30864;1
GrowK;24;45;24;ReferenceCM;0.157925;1013;3086;1
GrowK;24;46;24;ARM-CMSIS-DSP;0.927529;1725;30193;1
GrowK;24;46;24;TillJIT;1.523798;1050;30193;1
GrowK;24;46;24;Intrinsics;1.121225;1427;30193;1
GrowK;24;46;24;ReferenceCM;0.155929;1026;3019;1
GrowK;24;47;24;ARM-CMSIS-DSP;0.928587;1723;29550;1
GrowK;24;47;24;TillJIT;1.523767;1050;29550;1
GrowK;24;47;24;Intrinsics;1.113400;1437;29550;1
GrowK;24;47;24;ReferenceCM;0.154585;1035;2955;1
GrowK;24;48;24;ARM-CMSIS-DSP;0.929686;1721;28935;1
GrowK;24;48;24;TillJIT;1.528166;1047;28935;1
GrowK;24;48;24;Intrinsics;1.112649;1438;28935;1
GrowK;24;48;24;ReferenceCM;0.164580;972;2893;1
GrowK;24;49;24;ARM-CMSIS-DSP;0.930752;1719;28344;1
GrowK;24;49;24;TillJIT;1.529600;1046;28344;1
GrowK;24;49;24;Intrinsics;1.103422;1450;28344;1
GrowK;24;49;24;ReferenceCM;0.159336;1004;2834;1
GrowK;24;50;24;ARM-CMSIS-DSP;0.931832;1717;27777;1
GrowK;24;50;24;TillJIT;1.531058;1045;27777;1
GrowK;24;50;24;Intrinsics;1.093613;1463;27777;1
GrowK;24;50;24;ReferenceCM;0.156973;1019;2777;1
GrowK;24;51;24;ARM-CMSIS-DSP;0.932397;1716;27233;1
GrowK;24;51;24;TillJIT;1.532561;1044;27233;1
GrowK;24;51;24;Intrinsics;1.093639;1463;27233;1
GrowK;24;51;24;ReferenceCM;0.155322;1030;2723;1
GrowK;24;52;24;ARM-CMSIS-DSP;0.934020;1713;26709;1
GrowK;24;52;24;TillJIT;1.531078;1045;26709;1
GrowK;24;52;24;Intrinsics;1.096625;1459;26709;1
GrowK;24;52;24;ReferenceCM;0.163542;978;2670;1
GrowK;24;53;24;ARM-CMSIS-DSP;0.934563;1712;26205;1
GrowK;24;53;24;TillJIT;1.534010;1043;26205;1
GrowK;24;53;24;Intrinsics;1.091386;1466;26205;1
GrowK;24;53;24;ReferenceCM;0.157758;1014;2620;1
GrowK;24;54;24;ARM-CMSIS-DSP;0.936214;1709;25720;1
GrowK;24;54;24;TillJIT;1.535499;1042;25720;1
GrowK;24;54;24;Intrinsics;1.086950;1472;25720;1
GrowK;24;54;24;ReferenceCM;0.155944;1026;2572;1
GrowK;24;55;24;ARM-CMSIS-DSP;0.936749;1708;25252;1
GrowK;24;55;24;TillJIT;1.536952;1041;25252;1
GrowK;24;55;24;Intrinsics;1.089896;1468;25252;1
GrowK;24;55;24;ReferenceCM;0.155324;1030;2525;1
GrowK;24;56;24;ARM-CMSIS-DSP;0.937295;1707;24801;1
GrowK;24;56;24;TillJIT;1.538425;1040;24801;1
GrowK;24;56;24;Intrinsics;1.083985;1476;24801;1
GrowK;24;56;24;ReferenceCM;0.164768;971;2480;1
GrowK;24;57;24;ARM-CMSIS-DSP;0.938398;1705;24366;1
GrowK;24;57;24;TillJIT;1.536954;1041;24366;1
GrowK;24;57;24;Intrinsics;1.084725;1475;24366;1
GrowK;24;57;24;ReferenceCM;0.160118;999;2436;1
GrowK;24;58;24;ARM-CMSIS-DSP;0.939504;1703;23946;1
GrowK;24;58;24;TillJIT;1.539919;1039;23946;1
GrowK;24;58;24;Intrinsics;1.086940;1472;23946;1
GrowK;24;58;24;ReferenceCM;0.158531;1009;2394;1
GrowK;24;59;24;ARM-CMSIS-DSP;0.940604;1701;23540;1
GrowK;24;59;24;TillJIT;1.541394;1038;23540;1
