Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowM;1;24;24;ARM-CMSIS-DSP;0.599925;2667;1388888;1
GrowM;1;24;24;TillJIT;0.314898;5081;1388888;1
GrowM;1;24;24;ReferenceCM;0.125489;1275;138888;1
GrowM;2;24;24;ARM-CMSIS-DSP;0.633914;2524;694444;1
GrowM;2;24;24;TillJIT;0.638467;2506;694444;1
GrowM;2;24;24;ReferenceCM;0.130080;1230;69444;1
GrowM;3;24;24;ARM-CMSIS-DSP;0.643603;2486;462962;1
GrowM;3;24;24;TillJIT;0.955793;1674;462962;1
GrowM;3;24;24;ReferenceCM;0.138647;1154;46296;1
GrowM;4;24;24;ARM-CMSIS-DSP;0.852878;1876;347222;1
GrowM;4;24;24;TillJIT;1.290322;1240;347222;1
GrowM;4;24;24;ReferenceCM;0.139130;1150;34722;1
GrowM;5;24;24;ARM-CMSIS-DSP;0.804018;1990;277777;1
GrowM;5;24;24;TillJIT;0.895854;1786;277777;1
GrowM;5;24;24;ReferenceCM;0.142853;1120;27777;1
GrowM;6;24;24;ARM-CMSIS-DSP;0.778209;2056;231481;1
GrowM;6;24;24;TillJIT;1.076714;1486;231481;1
GrowM;6;24;24;ReferenceCM;0.142348;1124;23148;1
GrowM;7;24;24;ARM-CMSIS-DSP;0.759011;2108;198412;1
GrowM;7;24;24;TillJIT;1.253914;1276;198412;1
GrowM;7;24;24;ReferenceCM;0.144664;1106;19841;1
GrowM;8;24;24;ARM-CMSIS-DSP;0.873362;1832;173611;1
GrowM;8;24;24;TillJIT;1.457194;1098;173611;1
GrowM;8;24;24;Intrinsics;1.015228;1576;173611;1
GrowM;8;24;24;ReferenceCM;0.143884;1112;17361;1
GrowM;9;24;24;ARM-CMSIS-DSP;0.842100;1900;154320;1
GrowM;9;24;24;TillJIT;1.037607;1542;154320;1
GrowM;9;24;24;ReferenceCM;0.145454;1100;15432;1
GrowM;10;24;24;ARM-CMSIS-DSP;0.821350;1948;138888;1
GrowM;10;24;24;TillJIT;1.152730;1388;138888;1
GrowM;10;24;24;ReferenceCM;0.145181;1102;13888;1
