Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowM;1;24;24;ARM-CMSIS-DSP;0.239880;2668;555555;1
GrowM;1;24;24;TillJIT;0.125737;5090;555555;1
GrowM;1;24;24;ReferenceCM;0.050039;1279;55555;1
GrowM;2;24;24;ARM-CMSIS-DSP;0.252764;2532;277777;1
GrowM;2;24;24;TillJIT;0.251473;2545;277777;1
GrowM;2;24;24;ReferenceCM;0.051820;1235;27777;1
GrowM;3;24;24;ARM-CMSIS-DSP;0.257028;2490;185185;1
GrowM;3;24;24;TillJIT;0.376692;1699;185185;1
GrowM;3;24;24;ReferenceCM;0.055123;1161;18518;1
GrowM;4;24;24;ARM-CMSIS-DSP;0.340786;1878;138888;1
GrowM;4;24;24;TillJIT;0.508741;1258;138888;1
GrowM;4;24;24;ReferenceCM;0.055408;1155;13888;1
GrowM;5;24;24;ARM-CMSIS-DSP;0.320963;1994;111111;1
GrowM;5;24;24;TillJIT;0.357741;1789;111111;1
GrowM;5;24;24;ReferenceCM;0.056787;1127;11111;1
GrowM;6;24;24;ARM-CMSIS-DSP;0.310678;2060;92592;1
GrowM;6;24;24;TillJIT;0.429527;1490;92592;1
GrowM;6;24;24;ReferenceCM;0.056686;1129;9259;1
GrowM;7;24;24;ARM-CMSIS-DSP;0.303317;2110;79365;1
GrowM;7;24;24;TillJIT;0.500782;1278;79365;1
GrowM;7;24;24;ReferenceCM;0.057602;1111;7936;1
GrowM;8;24;24;ARM-CMSIS-DSP;0.348582;1836;69444;1
GrowM;8;24;24;TillJIT;0.581814;1100;69444;1
GrowM;8;24;24;Intrinsics;0.402260;1591;69444;1
GrowM;8;24;24;ReferenceCM;0.057395;1115;6944;1
GrowM;9;24;24;ARM-CMSIS-DSP;0.335956;1905;61728;1
GrowM;9;24;24;TillJIT;0.414237;1545;61728;1
GrowM;9;24;24;ReferenceCM;0.057911;1105;6172;1
GrowM;10;24;24;ARM-CMSIS-DSP;0.327530;1954;55555;1
GrowM;10;24;24;TillJIT;0.460096;1391;55555;1
GrowM;10;24;24;ReferenceCM;0.057808;1107;5555;1
GrowM;11;24;24;ARM-CMSIS-DSP;0.320802;1995;50505;1
GrowM;11;24;24;TillJIT;0.505928;1265;50505;1
GrowM;11;24;24;ReferenceCM;0.058176;1100;5050;1
GrowM;12;24;24;ARM-CMSIS-DSP;0.351260;1822;46296;1
GrowM;12;24;24;TillJIT;0.554589;1154;46296;1
GrowM;12;24;24;ReferenceCM;0.057911;1105;4629;1
GrowM;13;24;24;ARM-CMSIS-DSP;0.341880;1872;42735;1
GrowM;13;24;24;TillJIT;0.473723;1351;42735;1
GrowM;13;24;24;ReferenceCM;0.058387;1096;4273;1
GrowM;14;24;24;ARM-CMSIS-DSP;0.335425;1908;39682;1
GrowM;14;24;24;TillJIT;0.509953;1255;39682;1
GrowM;14;24;24;ReferenceCM;0.058178;1100;3968;1
GrowM;15;24;24;ARM-CMSIS-DSP;0.329557;1942;37037;1
GrowM;15;24;24;TillJIT;0.546075;1172;37037;1
GrowM;15;24;24;ReferenceCM;0.058543;1093;3703;1
GrowM;16;24;24;ARM-CMSIS-DSP;0.352421;1816;34722;1
GrowM;16;24;24;TillJIT;0.586077;1092;34722;1
GrowM;16;24;24;Intrinsics;0.416664;1536;34722;1
GrowM;16;24;24;ReferenceCM;0.058337;1097;3472;1
GrowM;17;24;24;ARM-CMSIS-DSP;0.345378;1853;32679;1
GrowM;17;24;24;TillJIT;0.484104;1322;32679;1
GrowM;17;24;24;ReferenceCM;0.058644;1091;3267;1
GrowM;18;24;24;ARM-CMSIS-DSP;0.339881;1883;30864;1
