Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowM;1;24;24;ARM-CMSIS-DSP;0.600375;2665;1388888;1
GrowM;1;24;24;TillJIT;0.311526;5136;1388888;1
GrowM;1;24;24;ReferenceCM;0.125391;1276;138888;1
GrowM;2;24;24;ARM-CMSIS-DSP;0.633412;2526;694444;1
GrowM;2;24;24;TillJIT;0.629673;2541;694444;1
GrowM;2;24;24;ReferenceCM;0.129869;1232;69444;1
GrowM;3;24;24;ARM-CMSIS-DSP;0.643344;2487;462962;1
GrowM;3;24;24;TillJIT;0.927534;1725;462962;1
GrowM;3;24;24;ReferenceCM;0.138049;1159;46296;1
GrowM;4;24;24;ARM-CMSIS-DSP;0.846113;1891;347222;1
GrowM;4;24;24;TillJIT;1.248049;1282;347222;1
GrowM;4;24;24;ReferenceCM;0.138768;1153;34722;1
GrowM;5;24;24;ARM-CMSIS-DSP;0.798401;2004;277777;1
GrowM;5;24;24;TillJIT;0.868619;1842;277777;1
GrowM;5;24;24;ReferenceCM;0.142345;1124;27777;1
GrowM;6;24;24;ARM-CMSIS-DSP;0.773693;2068;231481;1
GrowM;6;24;24;TillJIT;1.073823;1490;231481;1
GrowM;6;24;24;ReferenceCM;0.141969;1127;23148;1
GrowM;7;24;24;ARM-CMSIS-DSP;0.755784;2117;198412;1
GrowM;7;24;24;TillJIT;1.200296;1333;198412;1
GrowM;7;24;24;ReferenceCM;0.144272;1109;19841;1
GrowM;8;24;24;ARM-CMSIS-DSP;0.865332;1849;173611;1
GrowM;8;24;24;TillJIT;1.436265;1114;173611;1
GrowM;8;24;24;Intrinsics;1.007556;1588;173611;1
GrowM;8;24;24;ReferenceCM;0.143884;1112;17361;1
GrowM;9;24;24;ARM-CMSIS-DSP;0.835068;1916;154320;1
GrowM;9;24;24;TillJIT;0.987039;1621;154320;1
GrowM;9;24;24;ReferenceCM;0.145322;1101;15432;1
GrowM;10;24;24;ARM-CMSIS-DSP;0.815074;1963;138888;1
GrowM;10;24;24;TillJIT;1.133137;1412;138888;1
GrowM;10;24;24;ReferenceCM;0.144787;1105;13888;1
GrowM;11;24;24;ARM-CMSIS-DSP;0.798399;2004;126262;1
GrowM;11;24;24;TillJIT;1.197599;1336;126262;1
GrowM;11;24;24;ReferenceCM;0.145982;1096;12626;1
GrowM;12;24;24;ARM-CMSIS-DSP;0.871929;1835;115740;1
GrowM;12;24;24;TillJIT;1.354775;1181;115740;1
GrowM;12;24;24;ReferenceCM;0.145454;1100;11574;1
GrowM;13;24;24;ARM-CMSIS-DSP;0.849703;1883;106837;1
GrowM;13;24;24;TillJIT;1.124379;1423;106837;1
GrowM;13;24;24;ReferenceCM;0.146376;1093;10683;1
GrowM;14;24;24;ARM-CMSIS-DSP;0.833765;1919;99206;1
GrowM;14;24;24;TillJIT;1.261825;1268;99206;1
GrowM;14;24;24;ReferenceCM;0.145976;1096;9920;1
GrowM;15;24;24;ARM-CMSIS-DSP;0.819667;1952;92592;1
GrowM;15;24;24;TillJIT;1.278969;1251;92592;1
GrowM;15;24;24;ReferenceCM;0.146920;1089;9259;1
GrowM;16;24;24;ARM-CMSIS-DSP;0.875268;1828;86805;1
GrowM;16;24;24;TillJIT;1.447955;1105;86805;1
GrowM;16;24;24;Intrinsics;1.043018;1534;86805;1
GrowM;16;24;24;ReferenceCM;0.146511;1092;8680;1
GrowM;17;24;24;ARM-CMSIS-DSP;0.857905;1865;81699;1
GrowM;17;24;24;TillJIT;1.142037;1401;81699;1
GrowM;17;24;24;ReferenceCM;0.147042;1088;8169;1
GrowM;18;24;24;ARM-CMSIS-DSP;0.844768;1894;77160;1
GrowM;18;24;24;TillJIT;1.258843;1271;77160;1
GrowM;18;24;24;ReferenceCM;0.146654;1091;7716;1
GrowM;19;24;24;ARM-CMSIS-DSP;0.832461;1922;73099;1
GrowM;19;24;24;TillJIT;1.272865;1257;73099;1
GrowM;19;24;24;ReferenceCM;0.147175;1087;7309;1
