Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowN;24;24;1;ARM-CMSIS-DSP;0.192678;8304;1388888;1
GrowN;24;24;1;TillJIT;1.010100;1584;1388888;1
GrowN;24;24;1;ReferenceCM;0.144795;1105;138888;1
GrowN;24;24;2;ARM-CMSIS-DSP;0.384430;4162;694444;1
GrowN;24;24;2;TillJIT;1.166180;1372;694444;1
GrowN;24;24;2;ReferenceCM;0.146251;1094;69444;1
GrowN;24;24;3;ARM-CMSIS-DSP;0.577199;2772;462962;1
GrowN;24;24;3;TillJIT;1.438846;1112;462962;1
GrowN;24;24;3;Intrinsics;1.028275;1556;462962;1
GrowN;24;24;3;ReferenceCM;0.146788;1090;46296;1
GrowN;24;24;4;ARM-CMSIS-DSP;0.794438;2014;347222;1
GrowN;24;24;4;TillJIT;1.322313;1210;347222;1
GrowN;24;24;4;ReferenceCM;0.147058;1088;34722;1
GrowN;24;24;5;ARM-CMSIS-DSP;0.515795;3102;277777;1
GrowN;24;24;5;TillJIT;1.333330;1200;277777;1
GrowN;24;24;5;ReferenceCM;0.147326;1086;27777;1
GrowN;24;24;6;ARM-CMSIS-DSP;0.618237;2588;231481;1
GrowN;24;24;6;TillJIT;1.457192;1098;231481;1
GrowN;24;24;6;Intrinsics;1.048491;1526;231481;1
GrowN;24;24;6;ReferenceCM;0.147329;1086;23148;1
GrowN;24;24;7;ARM-CMSIS-DSP;0.721368;2218;198412;1
GrowN;24;24;7;TillJIT;1.388884;1152;198412;1
GrowN;24;24;7;ReferenceCM;0.147328;1086;19841;1
GrowN;24;24;8;ARM-CMSIS-DSP;0.847457;1888;173611;1
GrowN;24;24;8;TillJIT;1.388888;1152;173611;1
GrowN;24;24;8;ReferenceCM;0.147329;1086;17361;1
GrowN;24;24;9;ARM-CMSIS-DSP;0.637954;2508;154320;1
GrowN;24;24;9;TillJIT;1.467880;1090;154320;1
GrowN;24;24;9;Intrinsics;1.058194;1512;154320;1
GrowN;24;24;9;ReferenceCM;0.147329;1086;15432;1
GrowN;24;24;10;ARM-CMSIS-DSP;0.707960;2260;138888;1
GrowN;24;24;10;TillJIT;1.415920;1130;138888;1
GrowN;24;24;10;ReferenceCM;0.147592;1084;13888;1
GrowN;24;24;11;ARM-CMSIS-DSP;0.779723;2052;126262;1
GrowN;24;24;11;TillJIT;1.413421;1132;126262;1
GrowN;24;24;11;ReferenceCM;0.147598;1084;12626;1
GrowN;24;24;12;ARM-CMSIS-DSP;0.865795;1848;115740;1
GrowN;24;24;12;TillJIT;1.470579;1088;115740;1
GrowN;24;24;12;Intrinsics;1.059596;1510;115740;1
GrowN;24;24;12;ReferenceCM;0.147601;1084;11574;1
GrowN;24;24;13;ARM-CMSIS-DSP;0.701750;2280;106837;1
GrowN;24;24;13;TillJIT;1.431119;1118;106837;1
GrowN;24;24;13;ReferenceCM;0.147319;1086;10683;1
GrowN;24;24;14;ARM-CMSIS-DSP;0.755427;2118;99206;1
GrowN;24;24;14;TillJIT;1.426020;1122;99206;1
GrowN;24;24;14;ReferenceCM;0.147592;1084;9920;1
GrowN;24;24;15;ARM-CMSIS-DSP;0.808893;1978;92592;1
GrowN;24;24;15;TillJIT;1.473287;1086;92592;1
GrowN;24;24;15;Intrinsics;1.062410;1506;92592;1
GrowN;24;24;15;ReferenceCM;0.147597;1084;9259;1
GrowN;24;24;16;ARM-CMSIS-DSP;0.877187;1824;86805;1
GrowN;24;24;16;TillJIT;1.441432;1110;86805;1
GrowN;24;24;16;ReferenceCM;0.147865;1082;8680;1
GrowN;24;24;17;ARM-CMSIS-DSP;0.742112;2156;81699;1
GrowN;24;24;17;TillJIT;1.433686;1116;81699;1
GrowN;24;24;17;ReferenceCM;0.147585;1084;8169;1
GrowN;24;24;18;ARM-CMSIS-DSP;0.785078;2038;77160;1
GrowN;24;24;18;TillJIT;1.476005;1084;77160;1
GrowN;24;24;18;Intrinsics;1.065240;1502;77160;1
GrowN;24;24;18;ReferenceCM;0.147601;1084;7716;1
GrowN;24;24;19;ARM-CMSIS-DSP;0.828153;1932;73099;1
GrowN;24;24;19;TillJIT;1.444035;1108;73099;1
GrowN;24;24;19;ReferenceCM;0.147582;1084;7309;1
GrowN;24;24;20;ARM-CMSIS-DSP;0.882997;1812;69444;1
GrowN;24;24;20;TillJIT;1.441432;1110;69444;1
GrowN;24;24;20;ReferenceCM;0.147592;1084;6944;1
GrowN;24;24;21;ARM-CMSIS-DSP;0.768485;2082;66137;1
GrowN;24;24;21;TillJIT;1.476002;1084;66137;1
GrowN;24;24;21;Intrinsics;1.065237;1502;66137;1
GrowN;24;24;21;ReferenceCM;0.147585;1084;6613;1
GrowN;24;24;22;ARM-CMSIS-DSP;0.804825;1988;63131;1
GrowN;24;24;22;TillJIT;1.449268;1104;63131;1
GrowN;24;24;22;ReferenceCM;0.147598;1084;6313;1
GrowN;24;24;23;ARM-CMSIS-DSP;0.841213;1902;60386;1
GrowN;24;24;23;TillJIT;1.446643;1106;60386;1
GrowN;24;24;23;ReferenceCM;0.147586;1084;6038;1
GrowN;24;24;24;ARM-CMSIS-DSP;0.886912;1804;57870;1
GrowN;24;24;24;TillJIT;1.476005;1084;57870;1
GrowN;24;24;24;Intrinsics;1.065240;1502;57870;1
GrowN;24;24;24;ReferenceCM;0.147601;1084;5787;1
GrowN;24;24;25;ARM-CMSIS-DSP;0.787394;2032;55555;1
GrowN;24;24;25;TillJIT;1.457180;1098;55555;1
GrowN;24;24;25;ReferenceCM;0.147587;1084;5555;1
GrowN;24;24;26;ARM-CMSIS-DSP;0.817984;1956;53418;1
GrowN;24;24;26;TillJIT;1.451884;1102;53418;1
GrowN;24;24;26;ReferenceCM;0.147577;1084;5341;1
GrowN;24;24;27;ARM-CMSIS-DSP;0.851058;1880;51440;1
GrowN;24;24;27;TillJIT;1.478734;1082;51440;1
GrowN;24;24;27;Intrinsics;1.066660;1500;51440;1
GrowN;24;24;27;ReferenceCM;0.147873;1082;5144;1
GrowN;24;24;28;ARM-CMSIS-DSP;0.888886;1800;49603;1
GrowN;24;24;28;TillJIT;1.459849;1096;49603;1
GrowN;24;24;28;ReferenceCM;0.147865;1082;4960;1
GrowN;24;24;29;ARM-CMSIS-DSP;0.802395;1994;47892;1
GrowN;24;24;29;TillJIT;1.454524;1100;47892;1
GrowN;24;24;29;ReferenceCM;0.147593;1084;4789;1
GrowN;24;24;30;ARM-CMSIS-DSP;0.829870;1928;46296;1
GrowN;24;24;30;TillJIT;1.478734;1082;46296;1
GrowN;24;24;30;Intrinsics;1.066660;1500;46296;1
GrowN;24;24;30;ReferenceCM;0.147581;1084;4629;1
GrowN;24;24;31;ARM-CMSIS-DSP;0.857432;1866;44802;1
GrowN;24;24;31;TillJIT;1.462495;1094;44802;1
GrowN;24;24;31;ReferenceCM;0.147592;1084;4480;1
GrowN;24;24;32;ARM-CMSIS-DSP;0.891846;1794;43402;1
GrowN;24;24;32;TillJIT;1.459828;1096;43402;1
GrowN;24;24;32;ReferenceCM;0.147592;1084;4340;1
