Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowN;24;24;1;ARM-CMSIS-DSP;0.076969;8315;555555;1
GrowN;24;24;1;TillJIT;0.403276;1587;555555;1
GrowN;24;24;1;ReferenceCM;0.057813;1107;55555;1
GrowN;24;24;2;ARM-CMSIS-DSP;0.153514;4169;277777;1
GrowN;24;24;2;TillJIT;0.465453;1375;277777;1
GrowN;24;24;2;ReferenceCM;0.058233;1099;27777;1
GrowN;24;24;3;ARM-CMSIS-DSP;0.230216;2780;185185;1
GrowN;24;24;3;TillJIT;0.573990;1115;185185;1
GrowN;24;24;3;Intrinsics;0.406865;1573;185185;1
GrowN;24;24;3;ReferenceCM;0.058446;1095;18518;1
GrowN;24;24;4;ARM-CMSIS-DSP;0.317301;2017;138888;1
GrowN;24;24;4;TillJIT;0.527179;1214;138888;1
GrowN;24;24;4;ReferenceCM;0.058497;1094;13888;1
GrowN;24;24;5;ARM-CMSIS-DSP;0.205788;3110;111111;1
GrowN;24;24;5;TillJIT;0.531561;1204;111111;1
GrowN;24;24;5;ReferenceCM;0.058554;1093;11111;1
GrowN;24;24;6;ARM-CMSIS-DSP;0.246627;2595;92592;1
GrowN;24;24;6;TillJIT;0.582874;1098;92592;1
GrowN;24;24;6;Intrinsics;0.415312;1541;92592;1
GrowN;24;24;6;ReferenceCM;0.058606;1092;9259;1
GrowN;24;24;7;ARM-CMSIS-DSP;0.287640;2225;79365;1
GrowN;24;24;7;TillJIT;0.554112;1155;79365;1
GrowN;24;24;7;ReferenceCM;0.058658;1091;7936;1
GrowN;24;24;8;ARM-CMSIS-DSP;0.338264;1892;69444;1
GrowN;24;24;8;TillJIT;0.553630;1156;69444;1
GrowN;24;24;8;ReferenceCM;0.058712;1090;6944;1
GrowN;24;24;9;ARM-CMSIS-DSP;0.254674;2513;61728;1
GrowN;24;24;9;TillJIT;0.586614;1091;61728;1
GrowN;24;24;9;Intrinsics;0.418298;1530;61728;1
GrowN;24;24;9;ReferenceCM;0.058654;1091;6172;1
GrowN;24;24;10;ARM-CMSIS-DSP;0.282683;2264;55555;1
GrowN;24;24;10;TillJIT;0.565365;1132;55555;1
GrowN;24;24;10;ReferenceCM;0.058710;1090;5555;1
GrowN;24;24;11;ARM-CMSIS-DSP;0.310981;2058;50505;1
GrowN;24;24;11;TillJIT;0.564373;1134;50505;1
GrowN;24;24;11;ReferenceCM;0.058710;1090;5050;1
GrowN;24;24;12;ARM-CMSIS-DSP;0.345944;1850;46296;1
GrowN;24;24;12;TillJIT;0.586614;1091;46296;1
GrowN;24;24;12;Intrinsics;0.419669;1525;46296;1
GrowN;24;24;12;ReferenceCM;0.058762;1089;4629;1
GrowN;24;24;13;ARM-CMSIS-DSP;0.280210;2284;42735;1
GrowN;24;24;13;TillJIT;0.570918;1121;42735;1
GrowN;24;24;13;ReferenceCM;0.058763;1089;4273;1
GrowN;24;24;14;ARM-CMSIS-DSP;0.301598;2122;39682;1
GrowN;24;24;14;TillJIT;0.568881;1125;39682;1
GrowN;24;24;14;ReferenceCM;0.058712;1090;3968;1
GrowN;24;24;15;ARM-CMSIS-DSP;0.323069;1981;37037;1
GrowN;24;24;15;TillJIT;0.587695;1089;37037;1
GrowN;24;24;15;Intrinsics;0.420775;1521;37037;1
GrowN;24;24;15;ReferenceCM;0.058758;1089;3703;1
GrowN;24;24;16;ARM-CMSIS-DSP;0.349916;1829;34722;1
GrowN;24;24;16;TillJIT;0.574503;1114;34722;1
GrowN;24;24;16;ReferenceCM;0.058712;1090;3472;1
GrowN;24;24;17;ARM-CMSIS-DSP;0.296016;2162;32679;1
GrowN;24;24;17;TillJIT;0.572950;1117;32679;1
GrowN;24;24;17;ReferenceCM;0.058698;1090;3267;1
GrowN;24;24;18;ARM-CMSIS-DSP;0.313263;2043;30864;1
GrowN;24;24;18;TillJIT;0.588773;1087;30864;1
GrowN;24;24;18;Intrinsics;0.421050;1520;30864;1
GrowN;24;24;18;ReferenceCM;0.058708;1090;3086;1
GrowN;24;24;19;ARM-CMSIS-DSP;0.330570;1936;29239;1
GrowN;24;24;19;TillJIT;0.577602;1108;29239;1
GrowN;24;24;19;ReferenceCM;0.058750;1089;2923;1
GrowN;24;24;20;ARM-CMSIS-DSP;0.352413;1816;27777;1
GrowN;24;24;20;TillJIT;0.575523;1112;27777;1
GrowN;24;24;20;ReferenceCM;0.058753;1089;2777;1
GrowN;24;24;21;ARM-CMSIS-DSP;0.306660;2087;26455;1
GrowN;24;24;21;TillJIT;0.589318;1086;26455;1
GrowN;24;24;21;Intrinsics;0.421607;1518;26455;1
GrowN;24;24;21;ReferenceCM;0.058758;1089;2645;1
GrowN;24;24;22;ARM-CMSIS-DSP;0.321117;1993;25252;1
GrowN;24;24;22;TillJIT;0.579698;1104;25252;1
GrowN;24;24;22;ReferenceCM;0.058764;1089;2525;1
