Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowN;24;24;1;ARM-CMSIS-DSP;0.191204;8368;1388888;1
GrowN;24;24;1;TillJIT;1.008827;1586;1388888;1
GrowN;24;24;1;ReferenceCM;0.144665;1106;138888;1
GrowN;24;24;2;ARM-CMSIS-DSP;0.385449;4151;694444;1
GrowN;24;24;2;TillJIT;1.156069;1384;694444;1
GrowN;24;24;2;ReferenceCM;0.146118;1095;69444;1
GrowN;24;24;3;ARM-CMSIS-DSP;0.571020;2802;462962;1
GrowN;24;24;3;TillJIT;1.419695;1127;462962;1
GrowN;24;24;3;Intrinsics;1.019106;1570;462962;1
GrowN;24;24;3;ReferenceCM;0.146519;1092;46296;1
GrowN;24;24;4;ARM-CMSIS-DSP;0.790123;2025;347222;1
GrowN;24;24;4;TillJIT;1.308257;1223;347222;1
GrowN;24;24;4;ReferenceCM;0.146654;1091;34722;1
GrowN;24;24;5;ARM-CMSIS-DSP;0.506488;3159;277777;1
GrowN;24;24;5;TillJIT;1.315786;1216;277777;1
GrowN;24;24;5;ReferenceCM;0.146920;1089;27777;1
GrowN;24;24;6;ARM-CMSIS-DSP;0.616569;2595;231481;1
GrowN;24;24;6;TillJIT;1.440141;1111;231481;1
GrowN;24;24;6;Intrinsics;1.040310;1538;231481;1
GrowN;24;24;6;ReferenceCM;0.146923;1089;23148;1
GrowN;24;24;7;ARM-CMSIS-DSP;0.702060;2279;198412;1
GrowN;24;24;7;TillJIT;1.372208;1166;198412;1
GrowN;24;24;7;ReferenceCM;0.147057;1088;19841;1
GrowN;24;24;8;ARM-CMSIS-DSP;0.840336;1904;173611;1
GrowN;24;24;8;TillJIT;1.369862;1168;173611;1
GrowN;24;24;8;ReferenceCM;0.146923;1089;17361;1
GrowN;24;24;9;ARM-CMSIS-DSP;0.624021;2564;154320;1
GrowN;24;24;9;TillJIT;1.449266;1104;154320;1
GrowN;24;24;9;Intrinsics;1.047114;1528;154320;1
GrowN;24;24;9;ReferenceCM;0.147058;1088;15432;1
GrowN;24;24;10;ARM-CMSIS-DSP;0.703911;2273;138888;1
GrowN;24;24;10;TillJIT;1.399816;1143;138888;1
GrowN;24;24;10;ReferenceCM;0.147185;1087;13888;1
GrowN;24;24;11;ARM-CMSIS-DSP;0.754357;2121;126262;1
GrowN;24;24;11;TillJIT;1.393721;1148;126262;1
GrowN;24;24;11;ReferenceCM;0.147191;1087;12626;1
GrowN;24;24;12;ARM-CMSIS-DSP;0.861599;1857;115740;1
GrowN;24;24;12;TillJIT;1.449266;1104;115740;1
GrowN;24;24;12;Intrinsics;1.051242;1522;115740;1
GrowN;24;24;12;ReferenceCM;0.147058;1088;11574;1
GrowN;24;24;13;ARM-CMSIS-DSP;0.686986;2329;106837;1
GrowN;24;24;13;TillJIT;1.410927;1134;106837;1
GrowN;24;24;13;ReferenceCM;0.147184;1087;10683;1
GrowN;24;24;14;ARM-CMSIS-DSP;0.752584;2126;99206;1
GrowN;24;24;14;TillJIT;1.407207;1137;99206;1
GrowN;24;24;14;ReferenceCM;0.147185;1087;9920;1
GrowN;24;24;15;ARM-CMSIS-DSP;0.788561;2029;92592;1
GrowN;24;24;15;TillJIT;1.453215;1101;92592;1
GrowN;24;24;15;Intrinsics;1.052625;1520;92592;1
GrowN;24;24;15;ReferenceCM;0.147190;1087;9259;1
GrowN;24;24;16;ARM-CMSIS-DSP;0.868616;1842;86805;1
GrowN;24;24;16;TillJIT;1.420950;1126;86805;1
GrowN;24;24;16;ReferenceCM;0.147320;1086;8680;1
GrowN;24;24;17;ARM-CMSIS-DSP;0.717486;2230;81699;1
GrowN;24;24;17;TillJIT;1.415923;1130;81699;1
GrowN;24;24;17;ReferenceCM;0.147449;1085;8169;1
GrowN;24;24;18;ARM-CMSIS-DSP;0.778584;2055;77160;1
GrowN;24;24;18;TillJIT;1.454536;1100;77160;1
GrowN;24;24;18;Intrinsics;1.055402;1516;77160;1
GrowN;24;24;18;ReferenceCM;0.147193;1087;7716;1
GrowN;24;24;19;ARM-CMSIS-DSP;0.798797;2003;73099;1
GrowN;24;24;19;TillJIT;1.427289;1121;73099;1
GrowN;24;24;19;ReferenceCM;0.147175;1087;7309;1
GrowN;24;24;20;ARM-CMSIS-DSP;0.876707;1825;69444;1
GrowN;24;24;20;TillJIT;1.423478;1124;69444;1
GrowN;24;24;20;ReferenceCM;0.147185;1087;6944;1
GrowN;24;24;21;ARM-CMSIS-DSP;0.750815;2131;66137;1
GrowN;24;24;21;TillJIT;1.455857;1099;66137;1
GrowN;24;24;21;Intrinsics;1.056097;1515;66137;1
GrowN;24;24;21;ReferenceCM;0.147313;1086;6613;1
GrowN;24;24;22;ARM-CMSIS-DSP;0.800396;1999;63131;1
GrowN;24;24;22;TillJIT;1.432401;1117;63131;1
GrowN;24;24;22;ReferenceCM;0.147191;1087;6313;1
GrowN;24;24;23;ARM-CMSIS-DSP;0.818827;1954;60386;1
GrowN;24;24;23;TillJIT;1.428560;1120;60386;1
GrowN;24;24;23;ReferenceCM;0.147314;1086;6038;1
GrowN;24;24;24;ARM-CMSIS-DSP;0.878150;1822;57870;1
GrowN;24;24;24;TillJIT;1.458514;1097;57870;1
GrowN;24;24;24;Intrinsics;1.056796;1514;57870;1
GrowN;24;24;24;ReferenceCM;0.147329;1086;5787;1
GrowN;24;24;25;ARM-CMSIS-DSP;0.760810;2103;55555;1
GrowN;24;24;25;TillJIT;1.436251;1114;55555;1
GrowN;24;24;25;ReferenceCM;0.147179;1087;5555;1
GrowN;24;24;26;ARM-CMSIS-DSP;0.811758;1971;53418;1
GrowN;24;24;26;TillJIT;1.432387;1117;53418;1
GrowN;24;24;26;ReferenceCM;0.147305;1086;5341;1
GrowN;24;24;27;ARM-CMSIS-DSP;0.818828;1954;51440;1
GrowN;24;24;27;TillJIT;1.458514;1097;51440;1
GrowN;24;24;27;Intrinsics;1.056796;1514;51440;1
GrowN;24;24;27;ReferenceCM;0.147329;1086;5144;1
GrowN;24;24;28;ARM-CMSIS-DSP;0.883975;1810;49603;1
GrowN;24;24;28;TillJIT;1.438844;1112;49603;1
GrowN;24;24;28;ReferenceCM;0.147320;1086;4960;1
GrowN;24;24;29;ARM-CMSIS-DSP;0.783918;2041;47892;1
GrowN;24;24;29;TillJIT;1.436244;1114;47892;1
GrowN;24;24;29;ReferenceCM;0.147321;1086;4789;1
GrowN;24;24;30;ARM-CMSIS-DSP;0.825162;1939;46296;1
GrowN;24;24;30;TillJIT;1.457186;1098;46296;1
GrowN;24;24;30;Intrinsics;1.057495;1513;46296;1
GrowN;24;24;30;ReferenceCM;0.147445;1085;4629;1
GrowN;24;24;31;ARM-CMSIS-DSP;0.834186;1918;44802;1
GrowN;24;24;31;TillJIT;1.440116;1111;44802;1
GrowN;24;24;31;ReferenceCM;0.147320;1086;4480;1
GrowN;24;24;32;ARM-CMSIS-DSP;0.883962;1810;43402;1
GrowN;24;24;32;TillJIT;1.437530;1113;43402;1
GrowN;24;24;32;ReferenceCM;0.147456;1085;4340;1
GrowN;24;24;33;ARM-CMSIS-DSP;0.785073;2038;42087;1
GrowN;24;24;33;TillJIT;1.459835;1096;42087;1
GrowN;24;24;33;Intrinsics;1.058187;1512;42087;1
GrowN;24;24;33;ReferenceCM;0.147303;1086;4208;1
GrowN;24;24;34;ARM-CMSIS-DSP;0.829862;1928;40849;1
GrowN;24;24;34;TillJIT;1.444019;1108;40849;1
GrowN;24;24;34;ReferenceCM;0.147431;1085;4084;1
GrowN;24;24;35;ARM-CMSIS-DSP;0.830726;1926;39682;1
GrowN;24;24;35;TillJIT;1.441422;1110;39682;1
GrowN;24;24;35;ReferenceCM;0.147320;1086;3968;1
GrowN;24;24;36;ARM-CMSIS-DSP;0.887404;1803;38580;1
GrowN;24;24;36;TillJIT;1.461178;1095;38580;1
GrowN;24;24;36;Intrinsics;1.058194;1512;38580;1
GrowN;24;24;36;ReferenceCM;0.147329;1086;3858;1
GrowN;24;24;37;ARM-CMSIS-DSP;0.803605;1991;37537;1
GrowN;24;24;37;TillJIT;1.444023;1108;37537;1
GrowN;24;24;37;ReferenceCM;0.147436;1085;3753;1
GrowN;24;24;38;ARM-CMSIS-DSP;0.839879;1905;36549;1
GrowN;24;24;38;TillJIT;1.442713;1109;36549;1
GrowN;24;24;38;ReferenceCM;0.147291;1086;3654;1
GrowN;24;24;39;ARM-CMSIS-DSP;0.843424;1897;35612;1
GrowN;24;24;39;TillJIT;1.461165;1095;35612;1
GrowN;24;24;39;Intrinsics;1.058885;1511;35612;1
GrowN;24;24;39;ReferenceCM;0.147319;1086;3561;1
GrowN;24;24;40;ARM-CMSIS-DSP;0.886421;1805;34722;1
GrowN;24;24;40;TillJIT;1.446645;1106;34722;1
GrowN;24;24;40;ReferenceCM;0.147320;1086;3472;1
GrowN;24;24;41;ARM-CMSIS-DSP;0.801595;1996;33875;1
GrowN;24;24;41;TillJIT;1.444029;1108;33875;1
GrowN;24;24;41;ReferenceCM;0.147306;1086;3387;1
GrowN;24;24;42;ARM-CMSIS-DSP;0.842085;1900;33068;1
GrowN;24;24;42;TillJIT;1.461153;1095;33068;1
GrowN;24;24;42;Intrinsics;1.058876;1511;33068;1
GrowN;24;24;42;ReferenceCM;0.147291;1086;3306;1
GrowN;24;24;43;ARM-CMSIS-DSP;0.838555;1908;32299;1
GrowN;24;24;43;TillJIT;1.446621;1106;32299;1
GrowN;24;24;43;ReferenceCM;0.147285;1086;3229;1
GrowN;24;24;44;ARM-CMSIS-DSP;0.890354;1797;31565;1
GrowN;24;24;44;TillJIT;1.445318;1107;31565;1
GrowN;24;24;44;ReferenceCM;0.147439;1085;3156;1
GrowN;24;24;45;ARM-CMSIS-DSP;0.815905;1961;30864;1
GrowN;24;24;45;TillJIT;1.462514;1094;30864;1
GrowN;24;24;45;Intrinsics;1.058895;1511;30864;1
GrowN;24;24;45;ReferenceCM;0.147310;1086;3086;1
GrowN;24;24;46;ARM-CMSIS-DSP;0.850153;1882;30193;1
GrowN;24;24;46;TillJIT;1.449264;1104;30193;1
GrowN;24;24;46;ReferenceCM;0.147314;1086;3019;1
GrowN;24;24;47;ARM-CMSIS-DSP;0.850136;1882;29550;1
GrowN;24;24;47;TillJIT;1.445307;1107;29550;1
GrowN;24;24;47;ReferenceCM;0.147461;1085;2955;1
GrowN;24;24;48;ARM-CMSIS-DSP;0.888390;1801;28935;1
GrowN;24;24;48;TillJIT;1.461178;1095;28935;1
GrowN;24;24;48;Intrinsics;1.055402;1516;28935;1
GrowN;24;24;48;ReferenceCM;0.147439;1085;2893;1
GrowN;24;24;49;ARM-CMSIS-DSP;0.812163;1970;28344;1
GrowN;24;24;49;TillJIT;1.449241;1104;28344;1
GrowN;24;24;49;ReferenceCM;0.147441;1085;2834;1
GrowN;24;24;50;ARM-CMSIS-DSP;0.850588;1881;27777;1
GrowN;24;24;50;TillJIT;1.447923;1105;27777;1
GrowN;24;24;50;ReferenceCM;0.147424;1085;2777;1
GrowN;24;24;51;ARM-CMSIS-DSP;0.844324;1895;27233;1
GrowN;24;24;51;TillJIT;1.461181;1095;27233;1
GrowN;24;24;51;Intrinsics;1.055404;1516;27233;1
GrowN;24;24;51;ReferenceCM;0.147313;1086;2723;1
GrowN;24;24;52;ARM-CMSIS-DSP;0.891848;1794;26709;1
GrowN;24;24;52;TillJIT;1.449254;1104;26709;1
GrowN;24;24;52;ReferenceCM;0.147278;1086;2670;1
GrowN;24;24;53;ARM-CMSIS-DSP;0.826432;1936;26205;1
GrowN;24;24;53;TillJIT;1.447939;1105;26205;1
GrowN;24;24;53;ReferenceCM;0.147435;1085;2620;1
GrowN;24;24;54;ARM-CMSIS-DSP;0.857444;1866;25720;1
GrowN;24;24;54;TillJIT;1.459845;1096;25720;1
GrowN;24;24;54;Intrinsics;1.060298;1509;25720;1
GrowN;24;24;54;ReferenceCM;0.147329;1086;2572;1
GrowN;24;24;55;ARM-CMSIS-DSP;0.853771;1874;25252;1
GrowN;24;24;55;TillJIT;1.450559;1103;25252;1
GrowN;24;24;55;ReferenceCM;0.147315;1086;2525;1
GrowN;24;24;56;ARM-CMSIS-DSP;0.889857;1798;24801;1
GrowN;24;24;56;TillJIT;1.451871;1102;24801;1
GrowN;24;24;56;ReferenceCM;0.147456;1085;2480;1
GrowN;24;24;57;ARM-CMSIS-DSP;0.820076;1951;24366;1
GrowN;24;24;57;TillJIT;1.461159;1095;24366;1
GrowN;24;24;57;Intrinsics;1.059582;1510;24366;1
GrowN;24;24;57;ReferenceCM;0.147291;1086;2436;1
GrowN;24;24;58;ARM-CMSIS-DSP;0.856977;1867;23946;1
GrowN;24;24;58;TillJIT;1.453203;1101;23946;1
GrowN;24;24;58;ReferenceCM;0.147426;1085;2394;1
GrowN;24;24;59;ARM-CMSIS-DSP;0.846543;1890;23540;1
