Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;TillJIT;0.108829;14702;100000001;1
Square;3;3;3;TillJIT;0.288913;5538;29629630;1
Square;4;4;4;TillJIT;0.552295;2897;12500000;1
Square;5;5;5;TillJIT;0.530856;3014;6400000;1
Square;6;6;6;TillJIT;0.740741;2160;3703703;1
Square;7;7;7;TillJIT;0.879604;1819;2332361;1
Square;8;8;8;TillJIT;1.147776;1394;1562500;1
Square;9;9;9;TillJIT;0.829875;1928;1097393;1
Square;10;10;10;TillJIT;0.917431;1744;800000;1
Square;11;11;11;TillJIT;1.040311;1538;601051;1
Square;12;12;12;TillJIT;1.225112;1306;462962;1
Square;13;13;13;TillJIT;1.031590;1551;364132;1
Square;14;14;14;TillJIT;1.150251;1391;291545;1
Square;15;15;15;TillJIT;1.256873;1273;237037;1
Square;16;16;16;TillJIT;1.349069;1186;195312;1
Square;17;17;17;TillJIT;1.080349;1481;162833;1
Square;18;18;18;TillJIT;1.227934;1303;137174;1
Square;19;19;19;TillJIT;1.247076;1283;116635;1
Square;20;20;20;TillJIT;1.361702;1175;100000;1
Square;21;21;21;TillJIT;1.238379;1292;86383;1
Square;22;22;22;TillJIT;1.300805;1230;75131;1
Square;23;23;23;TillJIT;1.340021;1194;65751;1
Square;24;24;24;TillJIT;1.459845;1096;57870;1
Square;25;25;25;TillJIT;1.237432;1293;51200;1
Square;26;26;26;TillJIT;1.311458;1220;45516;1
Square;27;27;27;TillJIT;1.342275;1192;40644;1
Square;28;28;28;TillJIT;1.402273;1141;36443;1
Square;29;29;29;TillJIT;1.302905;1228;32801;1
Square;30;30;30;TillJIT;1.394914;1147;29629;1
Square;31;31;31;TillJIT;1.402240;1141;26853;1
Square;32;32;32;TillJIT;1.473293;1086;24414;1
Square;33;33;33;TillJIT;1.307179;1224;22261;1
Square;34;34;34;TillJIT;1.355921;1180;20354;1
Square;35;35;35;TillJIT;1.372147;1166;18658;1
Square;36;36;36;TillJIT;1.485541;1077;17146;1
Square;37;37;37;TillJIT;1.359325;1177;15793;1
Square;38;38;38;TillJIT;1.419661;1127;14579;1
Square;39;39;39;TillJIT;1.450546;1103;13486;1
Square;40;40;40;TillJIT;1.505174;1063;12500;1
Square;41;41;41;TillJIT;1.338855;1195;11607;1
Square;42;42;42;TillJIT;1.433563;1116;10797;1
Square;43;43;43;TillJIT;1.422221;1125;10062;1
Square;44;44;44;TillJIT;1.485539;1077;9391;1
Square;45;45;45;TillJIT;1.407188;1137;8779;1
Square;46;46;46;TillJIT;1.451737;1102;8218;1
Square;47;47;47;TillJIT;1.457115;1098;7705;1
Square;48;48;48;TillJIT;1.532398;1044;7233;1
Square;49;49;49;TillJIT;1.388708;1152;6799;1
Square;50;50;50;TillJIT;1.442741;1109;6400;1
Square;51;51;51;TillJIT;1.441235;1110;6030;1
Square;52;52;52;TillJIT;1.485458;1077;5689;1
Square;53;53;53;TillJIT;1.417035;1129;5373;1
Square;54;54;54;TillJIT;1.485454;1077;5080;1
Square;55;55;55;TillJIT;1.473169;1086;4808;1
Square;56;56;56;TillJIT;1.528044;1047;4555;1
Square;57;57;57;TillJIT;1.408184;1136;4319;1
Square;58;58;58;TillJIT;1.449201;1104;4100;1
Square;59;59;59;TillJIT;1.446566;1106;3895;1
Square;60;60;60;TillJIT;1.529346;1046;3703;1
Square;61;61;61;TillJIT;1.438635;1112;3524;1
Square;62;62;62;TillJIT;1.485290;1077;3356;1
Square;63;63;63;TillJIT;1.493745;1071;3199;1
Square;64;64;64;TillJIT;1.536602;1041;3051;1
Square;65;65;65;TillJIT;1.402248;1141;2913;1
Square;66;66;66;TillJIT;1.482509;1079;2782;1
Square;67;67;67;TillJIT;1.464705;1092;2659;1
Square;68;68;68;TillJIT;1.519307;1053;2544;1
Square;69;69;69;TillJIT;1.458376;1097;2435;1
Square;70;70;70;TillJIT;1.499299;1067;2332;1
Square;71;71;71;TillJIT;1.491018;1073;2235;1
Square;72;72;72;TillJIT;1.554656;1029;2143;1
Square;73;73;73;TillJIT;1.435941;1114;2056;1
Square;74;74;74;TillJIT;1.485445;1077;1974;1
Square;75;75;75;TillJIT;1.467661;1090;1896;1
Square;76;76;76;TillJIT;1.494980;1070;1822;1
Square;77;77;77;TillJIT;1.448996;1104;1752;1
Square;78;78;78;TillJIT;1.508717;1060;1685;1
Square;79;79;79;TillJIT;1.433171;1116;1622;1
Square;80;80;80;TillJIT;1.462055;1094;1562;1
Square;81;81;81;TillJIT;1.310104;1221;1505;1
Square;82;82;82;TillJIT;1.266007;1263;1450;1
Square;83;83;83;TillJIT;1.308144;1223;1399;1
Square;84;84;84;TillJIT;1.350604;1184;1349;1
Square;85;85;85;TillJIT;1.267180;1262;1302;1
Square;86;86;86;TillJIT;1.282313;1247;1257;1
Square;87;87;87;TillJIT;1.186087;1348;1214;1
Square;88;88;88;TillJIT;1.130646;1414;1173;1
Square;89;89;89;TillJIT;0.884820;1807;1134;1
Square;90;90;90;TillJIT;1.064864;1502;1097;1
Square;91;91;91;TillJIT;0.919010;1740;1061;1
Square;92;92;92;TillJIT;0.960039;1666;1027;1
Square;93;93;93;TillJIT;0.740992;2158;994;1
Square;94;94;94;TillJIT;0.835791;1914;963;1
Square;95;95;95;TillJIT;0.786173;2035;933;1
Square;96;96;96;TillJIT;0.769040;2080;904;1
Square;97;97;97;TillJIT;0.704097;2271;876;1
Square;98;98;98;TillJIT;0.628696;2542;849;1
Square;99;99;99;TillJIT;0.668221;2393;824;1
Square;100;100;100;TillJIT;0.565971;2827;800;1
Square;101;101;101;TillJIT;0.628796;2543;776;1
Square;102;102;102;TillJIT;0.623315;2564;753;1
Square;103;103;103;TillJIT;0.541005;2957;732;1
Square;104;104;104;TillJIT;0.577249;2771;711;1
Square;105;105;105;TillJIT;0.467379;3423;691;1
Square;106;106;106;TillJIT;0.488790;3270;671;1
Square;107;107;107;TillJIT;0.553792;2889;653;1
Square;108;108;108;TillJIT;0.463720;3450;635;1
Square;109;109;109;TillJIT;0.511872;3122;617;1
Square;110;110;110;TillJIT;0.526964;3036;601;1
Square;111;111;111;TillJIT;0.467621;3416;584;1
Square;112;112;112;TillJIT;0.507397;3151;569;1
Square;113;113;113;TillJIT;0.494504;3233;554;1
Square;114;114;114;TillJIT;0.368506;4334;539;1
Square;115;115;115;TillJIT;0.489884;3266;526;1
Square;116;116;116;TillJIT;0.436471;3662;512;1
Square;117;117;117;TillJIT;0.385252;4149;499;1
Square;118;118;118;TillJIT;0.479300;3332;486;1
Square;119;119;119;TillJIT;0.463994;3443;474;1
Square;120;120;120;TillJIT;0.450401;3545;462;1
Square;121;121;121;TillJIT;0.387100;4128;451;1
Square;122;122;122;TillJIT;0.434934;3674;440;1
Square;123;123;123;TillJIT;0.392195;4071;429;1
Square;124;124;124;TillJIT;0.466088;3428;419;1
Square;125;125;125;TillJIT;0.431566;3702;409;1
Square;126;126;126;TillJIT;0.424097;3764;399;1
Square;127;127;127;TillJIT;0.440270;3629;390;1
Square;128;128;128;TillJIT;0.479745;3331;381;1
Square;129;129;129;TillJIT;0.437692;3649;372;1
Square;130;130;130;TillJIT;0.409686;3904;364;1
Square;131;131;131;TillJIT;0.430925;3704;355;1
Square;132;132;132;TillJIT;0.446733;3573;347;1
Square;133;133;133;TillJIT;0.395108;4049;340;1
Square;134;134;134;TillJIT;0.415298;3847;332;1
Square;135;135;135;TillJIT;0.409433;3906;325;1
Square;136;136;136;TillJIT;0.425035;3764;318;1
Square;137;137;137;TillJIT;0.348070;4595;311;1
Square;138;138;138;TillJIT;0.431623;3702;304;1
Square;139;139;139;TillJIT;0.390039;4090;297;1
Square;140;140;140;TillJIT;0.454729;3512;291;1
Square;141;141;141;TillJIT;0.430104;3715;285;1
Square;142;142;142;TillJIT;0.396849;4026;279;1
Square;143;143;143;TillJIT;0.342548;4661;273;1
Square;144;144;144;TillJIT;0.428403;3722;267;1
Square;145;145;145;TillJIT;0.389724;4099;262;1
Square;146;146;146;TillJIT;0.394097;4059;257;1
Square;147;147;147;TillJIT;0.377781;4221;251;1
Square;148;148;148;TillJIT;0.421390;3785;246;1
Square;149;149;149;TillJIT;0.347446;4589;241;1
Square;150;150;150;TillJIT;0.358126;4467;237;1
Square;151;151;151;TillJIT;0.381090;4192;232;1
Square;152;152;152;TillJIT;0.410918;3880;227;1
Square;153;153;153;TillJIT;0.383802;4162;223;1
Square;154;154;154;TillJIT;0.400825;3991;219;1
Square;155;155;155;TillJIT;0.415273;3838;214;1
Square;156;156;156;TillJIT;0.430479;3704;210;1
Square;157;157;157;TillJIT;0.413592;3855;206;1
