Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;TillJIT-04.06.;0.108718;14717;100000001;1
Square;3;3;3;TillJIT-04.06.;0.292558;5469;29629630;1
Square;4;4;4;TillJIT-04.06.;0.557686;2869;12500000;1
Square;5;5;5;TillJIT-04.06.;0.530328;3017;6400000;1
Square;6;6;6;TillJIT-04.06.;0.740055;2162;3703703;1
Square;7;7;7;TillJIT-04.06.;0.878638;1821;2332361;1
Square;8;8;8;TillJIT-04.06.;1.146132;1396;1562500;1
Square;9;9;9;TillJIT-04.06.;0.829015;1930;1097393;1
Square;10;10;10;TillJIT-04.06.;0.916380;1746;800000;1
Square;11;11;11;TillJIT-04.06.;1.038960;1540;601051;1
Square;12;12;12;TillJIT-04.06.;1.223239;1308;462962;1
Square;13;13;13;TillJIT-04.06.;1.030925;1552;364132;1
Square;14;14;14;TillJIT-04.06.;1.149425;1392;291545;1
Square;15;15;15;TillJIT-04.06.;1.254902;1275;237037;1
Square;16;16;16;TillJIT-04.06.;1.346798;1188;195312;1
Square;17;17;17;TillJIT-04.06.;1.079620;1482;162833;1
Square;18;18;18;TillJIT-04.06.;1.228877;1302;137174;1
Square;19;19;19;TillJIT-04.06.;1.248049;1282;116635;1
Square;20;20;20;TillJIT-04.06.;1.360544;1176;100000;1
Square;21;21;21;TillJIT-04.06.;1.237421;1293;86383;1
Square;22;22;22;TillJIT-04.06.;1.299748;1231;75131;1
Square;23;23;23;TillJIT-04.06.;1.340021;1194;65751;1
Square;24;24;24;TillJIT-04.06.;1.459845;1096;57870;1
Square;25;25;25;TillJIT-04.06.;1.236476;1294;51200;1
Square;26;26;26;TillJIT-04.06.;1.311458;1220;45516;1
Square;27;27;27;TillJIT-04.06.;1.341150;1193;40644;1
Square;28;28;28;TillJIT-04.06.;1.401045;1142;36443;1
Square;29;29;29;TillJIT-04.06.;1.301845;1229;32801;1
Square;30;30;30;TillJIT-04.06.;1.393699;1148;29629;1
Square;31;31;31;TillJIT-04.06.;1.399786;1143;26853;1
Square;32;32;32;TillJIT-04.06.;1.471937;1087;24414;1
Square;33;33;33;TillJIT-04.06.;1.307179;1224;22261;1
Square;34;34;34;TillJIT-04.06.;1.354773;1181;20354;1
Square;35;35;35;TillJIT-04.06.;1.370971;1167;18658;1
Square;36;36;36;TillJIT-04.06.;1.484163;1078;17146;1
Square;37;37;37;TillJIT-04.06.;1.358171;1178;15793;1
Square;38;38;38;TillJIT-04.06.;1.418402;1128;14579;1
Square;39;39;39;TillJIT-04.06.;1.449232;1104;13486;1
Square;40;40;40;TillJIT-04.06.;1.505174;1063;12500;1
Square;41;41;41;TillJIT-04.06.;1.337736;1196;11607;1
Square;42;42;42;TillJIT-04.06.;1.433563;1116;10797;1
Square;43;43;43;TillJIT-04.06.;1.422221;1125;10062;1
Square;44;44;44;TillJIT-04.06.;1.484161;1078;9391;1
Square;45;45;45;TillJIT-04.06.;1.405951;1138;8779;1
Square;46;46;46;TillJIT-04.06.;1.451737;1102;8218;1
Square;47;47;47;TillJIT-04.06.;1.454466;1100;7705;1
Square;48;48;48;TillJIT-04.06.;1.530932;1045;7233;1
Square;49;49;49;TillJIT-04.06.;1.377942;1161;6799;1
Square;50;50;50;TillJIT-04.06.;1.413428;1132;6400;1
Square;51;51;51;TillJIT-04.06.;1.414475;1131;6030;1
Square;52;52;52;TillJIT-04.06.;1.455721;1099;5689;1
Square;53;53;53;TillJIT-04.06.;1.389950;1151;5373;1
Square;54;54;54;TillJIT-04.06.;1.442592;1109;5080;1
Square;55;55;55;TillJIT-04.06.;1.419576;1127;4808;1
Square;56;56;56;TillJIT-04.06.;1.447839;1105;4555;1
Square;57;57;57;TillJIT-04.06.;1.298455;1232;4319;1
Square;58;58;58;TillJIT-04.06.;1.309262;1222;4100;1
Square;59;59;59;TillJIT-04.06.;1.290244;1240;3895;1
Square;60;60;60;TillJIT-04.06.;1.337538;1196;3703;1
Square;61;61;61;TillJIT-04.06.;1.241088;1289;3524;1
Square;62;62;62;TillJIT-04.06.;1.259573;1270;3356;1
Square;63;63;63;TillJIT-04.06.;1.255730;1274;3199;1
Square;64;64;64;TillJIT-04.06.;1.298379;1232;3051;1
