Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;TillJIT;0.108895;14693;100000001;1
Square;3;3;3;TillJIT;0.284850;5617;29629630;1
Square;4;4;4;TillJIT;0.541272;2956;12500000;1
Square;5;5;5;TillJIT;0.519312;3081;6400000;1
Square;6;6;6;TillJIT;0.741771;2157;3703703;1
Square;7;7;7;TillJIT;0.846113;1891;2332361;1
Square;8;8;8;TillJIT;1.121233;1427;1562500;1
Square;9;9;9;TillJIT;0.771084;2075;1097393;1
Square;10;10;10;TillJIT;0.894855;1788;800000;1
Square;11;11;11;TillJIT;0.972643;1645;601051;1
Square;12;12;12;TillJIT;1.176468;1360;462962;1
Square;13;13;13;TillJIT;0.983403;1627;364132;1
Square;14;14;14;TillJIT;1.133144;1412;291545;1
Square;15;15;15;TillJIT;1.179941;1356;237037;1
Square;16;16;16;TillJIT;1.328900;1204;195312;1
Square;17;17;17;TillJIT;1.031591;1551;162833;1
Square;18;18;18;TillJIT;1.200298;1333;137174;1
Square;19;19;19;TillJIT;1.194921;1339;116635;1
Square;20;20;20;TillJIT;1.328904;1204;100000;1
Square;21;21;21;TillJIT;1.190466;1344;86383;1
Square;22;22;22;TillJIT;1.285132;1245;75131;1
Square;23;23;23;TillJIT;1.279988;1250;65751;1
Square;24;24;24;TillJIT;1.445339;1107;57870;1
Square;25;25;25;TillJIT;1.188707;1346;51200;1
Square;26;26;26;TillJIT;1.291347;1239;45516;1
Square;27;27;27;TillJIT;1.292400;1238;40644;1
Square;28;28;28;TillJIT;1.374565;1164;36443;1
Square;29;29;29;TillJIT;1.260809;1269;32801;1
Square;30;30;30;TillJIT;1.378093;1161;29629;1
Square;31;31;31;TillJIT;1.352456;1183;26853;1
Square;32;32;32;TillJIT;1.462519;1094;24414;1
Square;33;33;33;TillJIT;1.266815;1263;22261;1
Square;34;34;34;TillJIT;1.338901;1195;20354;1
Square;35;35;35;TillJIT;1.331051;1202;18658;1
Square;36;36;36;TillJIT;1.461121;1095;17146;1
Square;37;37;37;TillJIT;1.322253;1210;15793;1
Square;38;38;38;TillJIT;1.405938;1138;14579;1
Square;39;39;39;TillJIT;1.405933;1138;13486;1
Square;40;40;40;TillJIT;1.498127;1068;12500;1
Square;41;41;41;TillJIT;1.303938;1227;11607;1
Square;42;42;42;TillJIT;1.417056;1129;10797;1
Square;43;43;43;TillJIT;1.382886;1157;10062;1
Square;44;44;44;TillJIT;1.465134;1092;9391;1
Square;45;45;45;TillJIT;1.372189;1166;8779;1
Square;46;46;46;TillJIT;1.438682;1112;8218;1
Square;47;47;47;TillJIT;1.418362;1128;7705;1
Square;48;48;48;TillJIT;1.522192;1051;7233;1
Square;49;49;49;TillJIT;1.348896;1186;6799;1
Square;50;50;50;TillJIT;1.409692;1135;6400;1
Square;51;51;51;TillJIT;1.386283;1154;6030;1
Square;52;52;52;TillJIT;1.451758;1102;5689;1
Square;53;53;53;TillJIT;1.368548;1169;5373;1
Square;54;54;54;TillJIT;1.447814;1105;5080;1
Square;55;55;55;TillJIT;1.419576;1127;4808;1
Square;56;56;56;TillJIT;1.491018;1073;4555;1
Square;57;57;57;TillJIT;1.349955;1185;4319;1
Square;58;58;58;TillJIT;1.400979;1142;4100;1
Square;59;59;59;TillJIT;1.378038;1161;3895;1
Square;60;60;60;TillJIT;1.446380;1106;3703;1
Square;61;61;61;TillJIT;1.335361;1198;3524;1
Square;62;62;62;TillJIT;1.377827;1161;3356;1
Square;63;63;63;TillJIT;1.338745;1195;3199;1
Square;64;64;64;TillJIT;1.404392;1139;3051;1
Square;65;65;65;TillJIT;1.225088;1306;2913;1
Square;66;66;66;TillJIT;1.249709;1280;2782;1
Square;67;67;67;TillJIT;1.236057;1294;2659;1
Square;68;68;68;TillJIT;1.266690;1263;2544;1
Square;69;69;69;TillJIT;1.196588;1337;2435;1
Square;70;70;70;TillJIT;1.214694;1317;2332;1
Square;71;71;71;TillJIT;1.193927;1340;2235;1
Square;72;72;72;TillJIT;1.249798;1280;2143;1
Square;73;73;73;TillJIT;1.126506;1420;2056;1
