Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;1;1;1;CMSIS;0.012165;1644;10000000;1
Square;1;1;1;TillJIT;0.016393;1220;10000000;1
Square;1;1;1;Naive;0.007273;275;1000000;1
Square;2;2;2;CMSIS;0.079326;2017;10000000;1
Square;2;2;2;TillJIT;0.108844;1470;10000000;1
Square;2;2;2;Naive;0.022039;726;1000000;1
Square;3;3;3;CMSIS;0.230671;2341;10000000;1
Square;3;3;3;TillJIT;0.289079;1868;10000000;1
Square;3;3;3;Naive;0.037948;1423;1000000;1
Square;4;4;4;CMSIS;0.450863;2839;10000000;1
Square;4;4;4;TillJIT;0.552677;2316;10000000;1
Square;4;4;4;Naive;0.057762;2216;1000000;1
Square;5;5;5;CMSIS;0.241948;6613;6400000;1
Square;5;5;5;TillJIT;0.548697;2916;6400000;1
Square;5;5;5;Naive;0.063517;2519;640000;1
Square;6;6;6;CMSIS;0.317839;5034;3703703;1
Square;6;6;6;TillJIT;0.774443;2066;3703703;1
Square;6;6;6;Naive;0.067825;2359;370370;1
Square;7;7;7;CMSIS;0.398307;4017;2332361;1
Square;7;7;7;TillJIT;0.928074;1724;2332361;1
Square;7;7;7;Naive;0.074280;2154;233236;1
Square;8;8;8;CMSIS;0.593472;2696;1562500;1
Square;8;8;8;TillJIT;1.182557;1353;1562500;1
Square;8;8;8;Naive;0.096794;1653;156250;1
Square;9;9;9;CMSIS;0.475907;3362;1097393;1
Square;9;9;9;TillJIT;0.861604;1857;1097393;1
Square;9;9;9;Naive;0.093896;1704;109739;1
Square;10;10;10;CMSIS;0.531385;3011;800000;1
Square;10;10;10;TillJIT;0.931858;1717;800000;1
Square;10;10;10;Naive;0.093787;1706;80000;1
Square;11;11;11;CMSIS;0.588018;2721;601051;1
Square;11;11;11;TillJIT;1.075267;1488;601051;1
Square;11;11;11;Naive;0.096676;1655;60105;1
Square;12;12;12;CMSIS;0.749062;2136;462962;1
Square;12;12;12;TillJIT;1.264820;1265;462962;1
Square;12;12;12;Naive;0.118342;1352;46296;1
Square;13;13;13;CMSIS;0.609290;2626;364132;1
Square;13;13;13;TillJIT;1.063827;1504;364132;1
Square;13;13;13;Naive;0.112517;1422;36413;1
Square;14;14;14;CMSIS;0.650935;2458;291545;1
Square;14;14;14;TillJIT;1.164483;1374;291545;1
Square;14;14;14;Naive;0.110955;1442;29154;1
Square;15;15;15;CMSIS;0.693241;2308;237037;1
Square;15;15;15;TillJIT;1.298701;1232;237037;1
Square;15;15;15;Naive;0.111963;1429;23703;1
Square;16;16;16;CMSIS;0.821775;1947;195312;1
Square;16;16;16;TillJIT;1.373387;1165;195312;1
Square;16;16;16;Naive;0.131794;1214;19531;1
Square;17;17;17;CMSIS;0.689654;2320;162833;1
Square;17;17;17;TillJIT;1.114204;1436;162833;1
Square;17;17;17;Naive;0.125095;1279;16283;1
Square;18;18;18;CMSIS;0.722999;2213;137174;1
Square;18;18;18;TillJIT;1.242234;1288;137174;1
Square;18;18;18;Naive;0.122884;1302;13717;1
Square;19;19;19;CMSIS;0.757217;2113;116635;1
Square;19;19;19;TillJIT;1.283079;1247;116635;1
Square;19;19;19;Naive;0.122977;1301;11663;1
Square;20;20;20;CMSIS;0.861605;1857;100000;1
Square;20;20;20;TillJIT;1.373391;1165;100000;1
Square;20;20;20;Naive;0.141093;1134;10000;1
Square;21;21;21;CMSIS;0.741764;2157;86383;1
Square;21;21;21;TillJIT;1.272861;1257;86383;1
Square;21;21;21;Naive;0.133998;1194;8638;1
Square;22;22;22;CMSIS;0.770337;2077;75131;1
Square;22;22;22;TillJIT;1.311467;1220;75131;1
Square;22;22;22;Naive;0.131793;1214;7513;1
Square;23;23;23;CMSIS;0.798794;2003;65751;1
Square;23;23;23;TillJIT;1.379297;1160;65751;1
Square;23;23;23;Naive;0.131252;1219;6575;1
Square;24;24;24;CMSIS;0.886421;1805;57870;1
Square;24;24;24;TillJIT;1.477368;1083;57870;1
Square;24;24;24;Naive;0.147737;1083;5787;1
Square;25;25;25;CMSIS;0.778968;2054;51200;1
Square;25;25;25;TillJIT;1.270850;1259;51200;1
Square;25;25;25;Naive;0.140721;1137;5120;1
Square;26;26;26;CMSIS;0.803605;1991;45516;1
Square;26;26;26;TillJIT;1.324486;1208;45516;1
Square;26;26;26;Naive;0.138508;1155;4551;1
Square;27;27;27;CMSIS;0.827725;1933;40644;1
Square;27;27;27;TillJIT;1.381685;1158;40644;1
Square;27;27;27;Naive;0.137679;1162;4064;1
Square;28;28;28;CMSIS;0.902931;1772;36443;1
Square;28;28;28;TillJIT;1.414671;1131;36443;1
