Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;TillJIT-04.06.;0.108992;14680;100000001;1
Square;3;3;3;TillJIT-04.06.;0.293255;5456;29629630;1
Square;4;4;4;TillJIT-04.06.;0.559245;2861;12500000;1
Square;5;5;5;TillJIT-04.06.;0.537273;2978;6400000;1
Square;6;6;6;TillJIT-04.06.;0.741771;2157;3703703;1
Square;7;7;7;TillJIT-04.06.;0.897867;1782;2332361;1
Square;8;8;8;TillJIT-04.06.;1.149425;1392;1562500;1
Square;9;9;9;TillJIT-04.06.;0.842105;1900;1097393;1
Square;10;10;10;TillJIT-04.06.;0.918485;1742;800000;1
Square;11;11;11;TillJIT-04.06.;1.058200;1512;601051;1
Square;12;12;12;TillJIT-04.06.;1.226991;1304;462962;1
Square;13;13;13;TillJIT-04.06.;1.051937;1521;364132;1
Square;14;14;14;TillJIT-04.06.;1.151907;1389;291545;1
Square;15;15;15;TillJIT-04.06.;1.282051;1248;237037;1
Square;16;16;16;TillJIT-04.06.;1.350208;1185;195312;1
Square;17;17;17;TillJIT-04.06.;1.100411;1454;162833;1
Square;18;18;18;TillJIT-04.06.;1.230767;1300;137174;1
Square;19;19;19;TillJIT-04.06.;1.273884;1256;116635;1
Square;20;20;20;TillJIT-04.06.;1.365188;1172;100000;1
Square;21;21;21;TillJIT-04.06.;1.262815;1267;86383;1
Square;22;22;22;TillJIT-04.06.;1.302923;1228;75131;1
Square;23;23;23;TillJIT-04.06.;1.369850;1168;65751;1
Square;24;24;24;TillJIT-04.06.;1.463851;1093;57870;1
Square;25;25;25;TillJIT-04.06.;1.260835;1269;51200;1
Square;26;26;26;TillJIT-04.06.;1.314691;1217;45516;1
Square;27;27;27;TillJIT-04.06.;1.371030;1167;40644;1
Square;28;28;28;TillJIT-04.06.;1.404735;1139;36443;1
Square;29;29;29;TillJIT-04.06.;1.329981;1203;32801;1
Square;30;30;30;TillJIT-04.06.;1.397350;1145;29629;1
Square;31;31;31;TillJIT-04.06.;1.433652;1116;26853;1
Square;32;32;32;TillJIT-04.06.;1.476011;1084;24414;1
Square;33;33;33;TillJIT-04.06.;1.334435;1199;22261;1
Square;34;34;34;TillJIT-04.06.;1.358223;1178;20354;1
Square;35;35;35;TillJIT-04.06.;1.402212;1141;18658;1
Square;36;36;36;TillJIT-04.06.;1.488305;1075;17146;1
Square;37;37;37;TillJIT-04.06.;1.388824;1152;15793;1
Square;38;38;38;TillJIT-04.06.;1.422185;1125;14579;1
Square;39;39;39;TillJIT-04.06.;1.482810;1079;13486;1
Square;40;40;40;TillJIT-04.06.;1.509434;1060;12500;1
Square;41;41;41;TillJIT-04.06.;1.367463;1170;11607;1
Square;42;42;42;TillJIT-04.06.;1.436137;1114;10797;1
Square;43;43;43;TillJIT-04.06.;1.453223;1101;10062;1
Square;44;44;44;TillJIT-04.06.;1.488303;1075;9391;1
Square;45;45;45;TillJIT-04.06.;1.437532;1113;8779;1
Square;46;46;46;TillJIT-04.06.;1.455700;1099;8218;1
Square;47;47;47;TillJIT-04.06.;1.488291;1075;7705;1
Square;48;48;48;TillJIT-04.06.;1.535340;1042;7233;1
Square;49;49;49;TillJIT-04.06.;1.416998;1129;6799;1
Square;50;50;50;TillJIT-04.06.;1.445348;1107;6400;1
Square;51;51;51;TillJIT-04.06.;1.471730;1087;6030;1
Square;52;52;52;TillJIT-04.06.;1.489607;1074;5689;1
Square;53;53;53;TillJIT-04.06.;1.447812;1105;5373;1
Square;54;54;54;TillJIT-04.06.;1.488218;1075;5080;1
Square;55;55;55;TillJIT-04.06.;1.507881;1061;4808;1
Square;56;56;56;TillJIT-04.06.;1.532435;1044;4555;1
Square;57;57;57;TillJIT-04.06.;1.437284;1113;4319;1
Square;58;58;58;TillJIT-04.06.;1.451832;1102;4100;1
Square;59;59;59;TillJIT-04.06.;1.478653;1082;3895;1
Square;60;60;60;TillJIT-04.06.;1.530810;1045;3703;1
Square;61;61;61;TillJIT-04.06.;1.470369;1088;3524;1
Square;62;62;62;TillJIT-04.06.;1.489439;1074;3356;1
Square;63;63;63;TillJIT-04.06.;1.527985;1047;3199;1
Square;64;64;64;TillJIT-04.06.;1.538080;1040;3051;1
Square;65;65;65;TillJIT-04.06.;1.432377;1117;2913;1
Square;66;66;66;TillJIT-04.06.;1.485262;1077;2782;1
Square;67;67;67;TillJIT-04.06.;1.496219;1069;2659;1
Square;68;68;68;TillJIT-04.06.;1.520751;1052;2544;1
Square;69;69;69;TillJIT-04.06.;1.489608;1074;2435;1
Square;70;70;70;TillJIT-04.06.;1.502114;1065;2332;1
Square;71;71;71;TillJIT-04.06.;1.525131;1049;2235;1
Square;72;72;72;TillJIT-04.06.;1.556168;1028;2143;1
Square;73;73;73;TillJIT-04.06.;1.464870;1092;2056;1
Square;74;74;74;TillJIT-04.06.;1.488209;1075;1974;1
Square;75;75;75;TillJIT-04.06.;1.499297;1067;1896;1
Square;76;76;76;TillJIT-04.06.;1.509084;1060;1822;1
Square;77;77;77;TillJIT-04.06.;1.489471;1074;1752;1
Square;78;78;78;TillJIT-04.06.;1.518747;1053;1685;1
Square;79;79;79;TillJIT-04.06.;1.527620;1047;1622;1
Square;80;80;80;TillJIT-04.06.;1.545399;1035;1562;1
Square;81;81;81;TillJIT-04.06.;1.463529;1093;1505;1
Square;82;82;82;TillJIT-04.06.;1.473702;1085;1450;1
Square;83;83;83;TillJIT-04.06.;1.492407;1072;1399;1
Square;84;84;84;TillJIT-04.06.;1.536134;1041;1349;1
Square;85;85;85;TillJIT-04.06.;1.490384;1073;1302;1
Square;86;86;86;TillJIT-04.06.;1.507111;1061;1257;1
Square;87;87;87;TillJIT-04.06.;1.532929;1043;1214;1
Square;88;88;88;TillJIT-04.06.;1.541691;1037;1173;1
Square;89;89;89;TillJIT-04.06.;1.458823;1096;1134;1
Square;90;90;90;TillJIT-04.06.;1.496189;1069;1097;1
Square;91;91;91;TillJIT-04.06.;1.501481;1065;1061;1
Square;92;92;92;TillJIT-04.06.;1.514607;1056;1027;1
Square;93;93;93;TillJIT-04.06.;1.486117;1076;994;1
Square;94;94;94;TillJIT-04.06.;1.489483;1074;963;1
Square;95;95;95;TillJIT-04.06.;1.503629;1064;933;1
Square;96;96;96;TillJIT-04.06.;1.523431;1050;904;1
Square;97;97;97;TillJIT-04.06.;1.452319;1101;876;1
Square;98;98;98;TillJIT-04.06.;1.464843;1091;849;1
Square;99;99;99;TillJIT-04.06.;1.469718;1088;824;1
Square;100;100;100;TillJIT-04.06.;1.476015;1084;800;1
Square;101;101;101;TillJIT-04.06.;1.457636;1097;776;1
Square;102;102;102;TillJIT-04.06.;1.477060;1082;753;1
Square;103;103;103;TillJIT-04.06.;1.485378;1077;732;1
Square;104;104;104;TillJIT-04.06.;1.500522;1066;711;1
Square;105;105;105;TillJIT-04.06.;1.436120;1114;691;1
Square;106;106;106;TillJIT-04.06.;1.439949;1110;671;1
Square;107;107;107;TillJIT-04.06.;1.451820;1102;653;1
Square;108;108;108;TillJIT-04.06.;1.486835;1076;635;1
Square;109;109;109;TillJIT-04.06.;1.450150;1102;617;1
Square;110;110;110;TillJIT-04.06.;1.463735;1093;601;1
Square;111;111;111;TillJIT-04.06.;1.484566;1076;584;1
Square;112;112;112;TillJIT-04.06.;1.495611;1069;569;1
Square;113;113;113;TillJIT-04.06.;1.429991;1118;554;1
Square;114;114;114;TillJIT-04.06.;1.454558;1098;539;1
Square;115;115;115;TillJIT-04.06.;1.461151;1095;526;1
Square;116;116;116;TillJIT-04.06.;1.477225;1082;512;1
Square;117;117;117;TillJIT-04.06.;1.454422;1099;499;1
Square;118;118;118;TillJIT-04.06.;1.461141;1093;486;1
Square;119;119;119;TillJIT-04.06.;1.477827;1081;474;1
Square;120;120;120;TillJIT-04.06.;1.499222;1065;462;1
Square;121;121;121;TillJIT-04.06.;1.439593;1110;451;1
Square;122;122;122;TillJIT-04.06.;1.450042;1102;440;1
Square;123;123;123;TillJIT-04.06.;1.456774;1096;429;1
Square;124;124;124;TillJIT-04.06.;1.465826;1090;419;1
Square;125;125;125;TillJIT-04.06.;1.451096;1101;409;1
Square;126;126;126;TillJIT-04.06.;1.467187;1088;399;1
Square;127;127;127;TillJIT-04.06.;1.478019;1081;390;1
Square;128;128;128;TillJIT-04.06.;1.494883;1069;381;1
Square;129;129;129;TillJIT-04.06.;1.446682;1104;372;1
Square;130;130;130;TillJIT-04.06.;1.447435;1105;364;1
Square;131;131;131;TillJIT-04.06.;1.460334;1093;355;1
Square;132;132;132;TillJIT-04.06.;1.488972;1072;347;1
Square;133;133;133;TillJIT-04.06.;1.453037;1101;340;1
Square;134;134;134;TillJIT-04.06.;1.467083;1089;332;1
Square;135;135;135;TillJIT-04.06.;1.487669;1075;325;1
Square;136;136;136;TillJIT-04.06.;1.496567;1069;318;1
Square;137;137;137;TillJIT-04.06.;1.447404;1105;311;1
Square;138;138;138;TillJIT-04.06.;1.467280;1089;304;1
Square;139;139;139;TillJIT-04.06.;1.468930;1086;297;1
Square;140;140;140;TillJIT-04.06.;1.486972;1074;291;1
Square;141;141;141;TillJIT-04.06.;1.465905;1090;285;1
Square;142;142;142;TillJIT-04.06.;1.468488;1088;279;1
Square;143;143;143;TillJIT-04.06.;1.486608;1074;273;1
Square;144;144;144;TillJIT-04.06.;1.507104;1058;267;1
Square;145;145;145;TillJIT-04.06.;1.456226;1097;262;1
Square;146;146;146;TillJIT-04.06.;1.466213;1091;257;1
Square;147;147;147;TillJIT-04.06.;1.475129;1081;251;1
Square;148;148;148;TillJIT-04.06.;1.483685;1075;246;1
Square;149;149;149;TillJIT-04.06.;1.465470;1088;241;1
Square;150;150;150;TillJIT-04.06.;1.479880;1081;237;1
Square;151;151;151;TillJIT-04.06.;1.488844;1073;232;1
Square;152;152;152;TillJIT-04.06.;1.506957;1058;227;1
Square;153;153;153;TillJIT-04.06.;1.464146;1091;223;1
Square;154;154;154;TillJIT-04.06.;1.463579;1093;219;1
Square;155;155;155;TillJIT-04.06.;1.474393;1081;214;1
Square;156;156;156;TillJIT-04.06.;1.497178;1065;210;1
Square;157;157;157;TillJIT-04.06.;1.469489;1085;206;1
Square;158;158;158;TillJIT-04.06.;1.480950;1076;202;1
Square;159;159;159;TillJIT-04.06.;1.499374;1067;199;1
Square;160;160;160;TillJIT-04.06.;1.508442;1059;195;1
Square;161;161;161;TillJIT-04.06.;1.463906;1089;191;1
Square;162;162;162;TillJIT-04.06.;1.480162;1080;188;1
Square;163;163;163;TillJIT-04.06.;1.483906;1074;184;1
Square;164;164;164;TillJIT-04.06.;1.500716;1064;181;1
Square;165;165;165;TillJIT-04.06.;1.479368;1081;178;1
Square;166;166;166;TillJIT-04.06.;1.483556;1073;174;1
Square;167;167;167;TillJIT-04.06.;1.499861;1062;171;1
