Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;TillJIT-04.06.;0.108866;14697;100000001;1
Square;3;3;3;TillJIT-04.06.;0.288600;5544;29629630;1
Square;4;4;4;TillJIT-04.06.;0.529451;3022;12500000;1
Square;5;5;5;TillJIT-04.06.;0.524418;3051;6400000;1
Square;6;6;6;TillJIT-04.06.;0.741771;2157;3703703;1
Square;7;7;7;TillJIT-04.06.;0.862069;1856;2332361;1
Square;8;8;8;TillJIT-04.06.;1.121233;1427;1562500;1
Square;9;9;9;TillJIT-04.06.;0.781631;2047;1097393;1
Square;10;10;10;TillJIT-04.06.;0.894855;1788;800000;1
Square;11;11;11;TillJIT-04.06.;0.985827;1623;601051;1
Square;12;12;12;TillJIT-04.06.;1.174741;1362;462962;1
Square;13;13;13;TillJIT-04.06.;0.998126;1603;364132;1
Square;14;14;14;TillJIT-04.06.;1.133144;1412;291545;1
Square;15;15;15;TillJIT-04.06.;1.202104;1331;237037;1
Square;16;16;16;TillJIT-04.06.;1.328900;1204;195312;1
Square;17;17;17;TillJIT-04.06.;1.048491;1526;162833;1
Square;18;18;18;TillJIT-04.06.;1.199398;1334;137174;1
Square;19;19;19;TillJIT-04.06.;1.213960;1318;116635;1
Square;20;20;20;TillJIT-04.06.;1.326700;1206;100000;1
Square;21;21;21;TillJIT-04.06.;1.211193;1321;86383;1
Square;22;22;22;TillJIT-04.06.;1.285132;1245;75131;1
Square;23;23;23;TillJIT-04.06.;1.305045;1226;65751;1
Square;24;24;24;TillJIT-04.06.;1.444034;1108;57870;1
Square;25;25;25;TillJIT-04.06.;1.209373;1323;51200;1
Square;26;26;26;TillJIT-04.06.;1.290305;1240;45516;1
Square;27;27;27;TillJIT-04.06.;1.315783;1216;40644;1
Square;28;28;28;TillJIT-04.06.;1.373385;1165;36443;1
Square;29;29;29;TillJIT-04.06.;1.283053;1247;32801;1
Square;30;30;30;TillJIT-04.06.;1.376907;1162;29629;1
Square;31;31;31;TillJIT-04.06.;1.380462;1159;26853;1
Square;32;32;32;TillJIT-04.06.;1.462519;1094;24414;1
Square;33;33;33;TillJIT-04.06.;1.289272;1241;22261;1
Square;34;34;34;TillJIT-04.06.;1.338901;1195;20354;1
Square;35;35;35;TillJIT-04.06.;1.355867;1180;18658;1
Square;36;36;36;TillJIT-04.06.;1.461121;1095;17146;1
Square;37;37;37;TillJIT-04.06.;1.347873;1187;15793;1
Square;38;38;38;TillJIT-04.06.;1.405938;1138;14579;1
Square;39;39;39;TillJIT-04.06.;1.434935;1115;13486;1
Square;40;40;40;TillJIT-04.06.;1.496726;1069;12500;1
Square;41;41;41;TillJIT-04.06.;1.328847;1204;11607;1
Square;42;42;42;TillJIT-04.06.;1.417056;1129;10797;1
Square;43;43;43;TillJIT-04.06.;1.412179;1133;10062;1
Square;44;44;44;TillJIT-04.06.;1.465134;1092;9391;1
Square;45;45;45;TillJIT-04.06.;1.398578;1144;8779;1
