Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;2;2;2;TillJIT;0.108866;14697;100000001;1
Square;3;3;3;TillJIT;0.284799;5618;29629630;1
Square;4;4;4;TillJIT;0.541089;2957;12500000;1
Square;5;5;5;TillJIT;0.524590;3050;6400000;1
Square;6;6;6;TillJIT;0.741771;2157;3703703;1
Square;7;7;7;TillJIT;0.862069;1856;2332361;1
Square;8;8;8;TillJIT;1.120448;1428;1562500;1
Square;9;9;9;TillJIT;0.781249;2048;1097393;1
Square;10;10;10;TillJIT;0.894855;1788;800000;1
Square;11;11;11;TillJIT;0.985827;1623;601051;1
Square;12;12;12;TillJIT;1.175604;1361;462962;1
Square;13;13;13;TillJIT;0.997504;1604;364132;1
Square;14;14;14;TillJIT;1.133144;1412;291545;1
Square;15;15;15;TillJIT;1.202104;1331;237037;1
Square;16;16;16;TillJIT;1.328900;1204;195312;1
Square;17;17;17;TillJIT;1.048491;1526;162833;1
Square;18;18;18;TillJIT;1.200298;1333;137174;1
Square;19;19;19;TillJIT;1.214881;1317;116635;1
Square;20;20;20;TillJIT;1.327801;1205;100000;1
Square;21;21;21;TillJIT;1.211193;1321;86383;1
Square;22;22;22;TillJIT;1.284101;1246;75131;1
Square;23;23;23;TillJIT;1.303981;1227;65751;1
Square;24;24;24;TillJIT;1.444034;1108;57870;1
Square;25;25;25;TillJIT;1.208459;1324;51200;1
Square;26;26;26;TillJIT;1.290305;1240;45516;1
Square;27;27;27;TillJIT;1.315783;1216;40644;1
Square;28;28;28;TillJIT;1.374565;1164;36443;1
Square;29;29;29;TillJIT;1.284083;1246;32801;1
Square;30;30;30;TillJIT;1.378093;1161;29629;1
Square;31;31;31;TillJIT;1.380462;1159;26853;1
Square;32;32;32;TillJIT;1.461183;1095;24414;1
Square;33;33;33;TillJIT;1.288234;1242;22261;1
Square;34;34;34;TillJIT;1.338901;1195;20354;1
Square;35;35;35;TillJIT;1.355867;1180;18658;1
Square;36;36;36;TillJIT;1.459788;1096;17146;1
Square;37;37;37;TillJIT;1.347873;1187;15793;1
Square;38;38;38;TillJIT;1.405938;1138;14579;1
Square;39;39;39;TillJIT;1.433649;1116;13486;1
Square;40;40;40;TillJIT;1.498127;1068;12500;1
Square;41;41;41;TillJIT;1.328847;1204;11607;1
Square;42;42;42;TillJIT;1.418312;1128;10797;1
Square;43;43;43;TillJIT;1.413427;1132;10062;1
Square;44;44;44;TillJIT;1.466477;1091;9391;1
Square;45;45;45;TillJIT;1.401027;1142;8779;1
Square;46;46;46;TillJIT;1.441274;1110;8218;1
Square;47;47;47;TillJIT;1.447885;1105;7705;1
Square;48;48;48;TillJIT;1.525094;1049;7233;1
Square;49;49;49;TillJIT;1.382706;1157;6799;1
Square;50;50;50;TillJIT;1.428571;1120;6400;1
Square;51;51;51;TillJIT;1.437350;1113;6030;1
Square;52;52;52;TillJIT;1.469089;1089;5689;1
Square;53;53;53;TillJIT;1.415781;1130;5373;1
Square;54;54;54;TillJIT;1.474502;1085;5080;1
Square;55;55;55;TillJIT;1.471814;1087;4808;1
Square;56;56;56;TillJIT;1.523678;1050;4555;1
Square;57;57;57;TillJIT;1.406946;1137;4319;1
Square;58;58;58;TillJIT;1.437483;1113;4100;1
Square;59;59;59;TillJIT;1.449187;1104;3895;1
Square;60;60;60;TillJIT;1.514864;1056;3703;1
Square;61;61;61;TillJIT;1.441227;1110;3524;1
Square;62;62;62;TillJIT;1.477062;1083;3356;1
Square;63;63;63;TillJIT;1.495141;1070;3199;1
Square;64;64;64;TillJIT;1.530720;1045;3051;1
Square;65;65;65;TillJIT;1.404710;1139;2913;1
Square;66;66;66;TillJIT;1.471599;1087;2782;1
Square;67;67;67;TillJIT;1.468740;1089;2659;1
Square;68;68;68;TillJIT;1.506431;1062;2544;1
Square;69;69;69;TillJIT;1.463713;1093;2435;1
Square;70;70;70;TillJIT;1.490915;1073;2332;1
Square;71;71;71;TillJIT;1.495198;1070;2235;1
Square;72;72;72;TillJIT;1.550137;1032;2143;1
Square;73;73;73;TillJIT;1.439818;1111;2056;1
Square;74;74;74;TillJIT;1.475853;1084;1974;1
Square;75;75;75;TillJIT;1.473066;1086;1896;1
Square;76;76;76;TillJIT;1.494980;1070;1822;1
Square;77;77;77;TillJIT;1.462241;1094;1752;1
Square;78;78;78;TillJIT;1.505876;1062;1685;1
Square;79;79;79;TillJIT;1.498986;1067;1622;1
Square;80;80;80;TillJIT;1.540933;1038;1562;1
Square;81;81;81;TillJIT;1.438523;1112;1505;1
Square;82;82;82;TillJIT;1.460244;1095;1450;1
Square;83;83;83;TillJIT;1.469109;1089;1399;1
Square;84;84;84;TillJIT;1.520072;1052;1349;1
Square;85;85;85;TillJIT;1.467139;1090;1302;1
Square;86;86;86;TillJIT;1.491646;1072;1257;1
Square;87;87;87;TillJIT;1.502674;1064;1214;1
Square;88;88;88;TillJIT;1.532822;1043;1173;1
Square;89;89;89;TillJIT;1.427562;1120;1134;1
Square;90;90;90;TillJIT;1.471413;1087;1097;1
Square;91;91;91;TillJIT;1.468391;1089;1061;1
Square;92;92;92;TillJIT;1.490611;1073;1027;1
Square;93;93;93;TillJIT;1.455015;1099;994;1
Square;94;94;94;TillJIT;1.464931;1092;963;1
Square;95;95;95;TillJIT;1.469111;1089;933;1
Square;96;96;96;TillJIT;1.517650;1054;904;1
Square;97;97;97;TillJIT;1.422601;1124;876;1
Square;98;98;98;TillJIT;1.443671;1107;849;1
Square;99;99;99;TillJIT;1.443188;1108;824;1
Square;100;100;100;TillJIT;1.457195;1098;800;1
Square;101;101;101;TillJIT;1.434105;1115;776;1
Square;102;102;102;TillJIT;1.458193;1096;753;1
Square;103;103;103;TillJIT;1.458297;1097;732;1
Square;104;104;104;TillJIT;1.500522;1066;711;1
Square;105;105;105;TillJIT;1.413284;1132;691;1
Square;106;106;106;TillJIT;1.425819;1121;671;1
Square;107;107;107;TillJIT;1.432324;1117;653;1
Square;108;108;108;TillJIT;1.469086;1089;635;1
Square;109;109;109;TillJIT;1.431959;1116;617;1
Square;110;110;110;TillJIT;1.449150;1104;601;1
Square;111;111;111;TillJIT;1.461476;1093;584;1
Square;112;112;112;TillJIT;1.497011;1068;569;1
Square;113;113;113;TillJIT;1.409815;1134;554;1
Square;114;114;114;TillJIT;1.444037;1106;539;1
Square;115;115;115;TillJIT;1.445312;1107;526;1
Square;116;116;116;TillJIT;1.463697;1092;512;1
Square;117;117;117;TillJIT;1.440009;1110;499;1
Square;118;118;118;TillJIT;1.449208;1102;486;1
Square;119;119;119;TillJIT;1.456272;1097;474;1
Square;120;120;120;TillJIT;1.503458;1062;462;1
Square;121;121;121;TillJIT;1.425467;1121;451;1
Square;122;122;122;TillJIT;1.442190;1108;440;1
Square;123;123;123;TillJIT;1.444908;1105;429;1
Square;124;124;124;TillJIT;1.455146;1098;419;1
Square;125;125;125;TillJIT;1.439330;1110;409;1
Square;126;126;126;TillJIT;1.459141;1094;399;1
Square;127;127;127;TillJIT;1.460456;1094;390;1
Square;128;128;128;TillJIT;1.496283;1068;381;1
Square;129;129;129;TillJIT;1.433695;1114;372;1
Square;130;130;130;TillJIT;1.442215;1109;364;1
Square;131;131;131;TillJIT;1.451041;1100;355;1
Square;132;132;132;TillJIT;1.479312;1079;347;1
Square;133;133;133;TillJIT;1.443857;1108;340;1
Square;134;134;134;TillJIT;1.460378;1094;332;1
Square;135;135;135;TillJIT;1.471245;1087;325;1
Square;136;136;136;TillJIT;1.497968;1068;318;1
Square;137;137;137;TillJIT;1.434423;1115;311;1
Square;138;138;138;TillJIT;1.460574;1094;304;1
Square;139;139;139;TillJIT;1.460859;1092;297;1
Square;140;140;140;TillJIT;1.480082;1079;291;1
Square;141;141;141;TillJIT;1.456551;1097;285;1
Square;142;142;142;TillJIT;1.463109;1092;279;1
Square;143;143;143;TillJIT;1.471536;1085;273;1
Square;144;144;144;TillJIT;1.507104;1058;267;1
Square;145;145;145;TillJIT;1.444376;1106;262;1
Square;146;146;146;TillJIT;1.463530;1093;257;1
Square;147;147;147;TillJIT;1.466987;1087;251;1
Square;148;148;148;TillJIT;1.475450;1081;246;1
Square;149;149;149;TillJIT;1.457433;1094;241;1
Square;150;150;150;TillJIT;1.474424;1085;237;1
Square;151;151;151;TillJIT;1.475096;1083;232;1
Square;152;152;152;TillJIT;1.506957;1058;227;1
Square;153;153;153;TillJIT;1.453488;1099;223;1
Square;154;154;154;TillJIT;1.460906;1095;219;1
Square;155;155;155;TillJIT;1.467605;1086;214;1
Square;156;156;156;TillJIT;1.492973;1068;210;1
Square;157;157;157;TillJIT;1.462749;1090;206;1
Square;158;158;158;TillJIT;1.476832;1079;202;1
Square;159;159;159;TillJIT;1.486833;1076;199;1
Square;160;160;160;TillJIT;1.508442;1059;195;1
Square;161;161;161;TillJIT;1.454556;1096;191;1
Square;162;162;162;TillJIT;1.477426;1082;188;1
Square;163;163;163;TillJIT;1.477030;1079;184;1
Square;164;164;164;TillJIT;1.492301;1070;181;1
Square;165;165;165;TillJIT;1.475274;1084;178;1
Square;166;166;166;TillJIT;1.479419;1076;174;1
Square;167;167;167;TillJIT;1.485870;1072;171;1
Square;168;168;168;TillJIT;1.518769;1049;168;1
Square;169;169;169;TillJIT;1.464014;1088;165;1
Square;170;170;170;TillJIT;1.479379;1076;162;1
Square;171;171;171;TillJIT;1.483272;1072;159;1
Square;172;172;172;TillJIT;1.491851;1071;157;1
Square;173;173;173;TillJIT;1.475242;1081;154;1
Square;174;174;174;TillJIT;1.491043;1067;151;1
Square;175;175;175;TillJIT;1.489826;1072;149;1
Square;176;176;176;TillJIT;1.519006;1048;146;1
Square;177;177;177;TillJIT;1.470559;1086;144;1
Square;178;178;178;TillJIT;1.476704;1077;141;1
Square;179;179;179;TillJIT;1.484566;1074;139;1
Square;180;180;180;TillJIT;1.506096;1061;137;1
Square;181;181;181;TillJIT;1.478298;1075;134;1
Square;182;182;182;TillJIT;1.490208;1068;132;1
Square;183;183;183;TillJIT;1.500383;1062;130;1
Square;184;184;184;TillJIT;1.520260;1049;128;1
Square;185;185;185;TillJIT;1.471928;1084;126;1
Square;186;186;186;TillJIT;1.492838;1069;124;1
Square;187;187;187;TillJIT;1.491183;1070;122;1
Square;188;188;188;TillJIT;1.505875;1059;120;1
Square;189;189;189;TillJIT;1.489065;1070;118;1
Square;190;190;190;TillJIT;1.494167;1065;116;1
Square;191;191;191;TillJIT;1.500165;1059;114;1
Square;192;192;192;TillJIT;1.529257;1046;113;1
Square;193;193;193;TillJIT;1.480492;1078;111;1
Square;194;194;194;TillJIT;1.493154;1066;109;1
Square;195;195;195;TillJIT;1.495554;1061;107;1
Square;196;196;196;TillJIT;1.504488;1061;106;1
Square;197;197;197;TillJIT;1.490382;1067;104;1
Square;198;198;198;TillJIT;1.502869;1064;103;1
Square;199;199;199;TillJIT;1.501775;1060;101;1
Square;200;200;200;TillJIT;1.526718;1048;100;1
Square;201;201;201;TillJIT;1.484737;1072;98;1
Square;202;202;202;TillJIT;1.491630;1072;97;1
Square;203;203;203;TillJIT;1.496639;1062;95;1
Square;204;204;204;TillJIT;1.515724;1053;94;1
Square;205;205;205;TillJIT;1.492639;1062;92;1
Square;206;206;206;TillJIT;1.502371;1059;91;1
Square;207;207;207;TillJIT;1.511888;1056;90;1
Square;208;208;208;TillJIT;1.528773;1036;88;1
Square;209;209;209;TillJIT;1.485971;1069;87;1
Square;210;210;210;TillJIT;1.504147;1059;86;1
Square;211;211;211;TillJIT;1.503737;1062;85;1
Square;212;212;212;TillJIT;1.516461;1043;83;1
Square;213;213;213;TillJIT;1.500786;1056;82;1
Square;214;214;214;TillJIT;1.504887;1055;81;1
Square;215;215;215;TillJIT;1.511540;1052;80;1
Square;216;216;216;TillJIT;1.536946;1036;79;1
Square;217;217;217;TillJIT;1.491166;1069;78;1
Square;218;218;218;TillJIT;1.503747;1061;77;1
Square;219;219;219;TillJIT;1.507579;1059;76;1
Square;220;220;220;TillJIT;1.513934;1055;75;1
