Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;1;1;1;CMSIS-DSP;0.004858;4117;10000000;1
Square;1;1;1;TillJIT;0.006542;3057;10000000;1
Square;1;1;1;ReferenceCM;0.002899;690;1000000;1
Square;2;2;2;CMSIS-DSP;0.031664;5053;10000000;1
Square;2;2;2;TillJIT;0.043466;3681;10000000;1
Square;2;2;2;ReferenceCM;0.008791;1820;1000000;1
Square;3;3;3;CMSIS-DSP;0.092072;5865;10000000;1
Square;3;3;3;TillJIT;0.115385;4680;10000000;1
Square;3;3;3;ReferenceCM;0.015122;3571;1000000;1
Square;4;4;4;CMSIS-DSP;0.179977;3556;4999999;1
Square;4;4;4;TillJIT;0.220614;2901;4999999;1
Square;4;4;4;ReferenceCM;0.023013;2781;499999;1
Square;5;5;5;CMSIS-DSP;0.096545;6629;2559999;1
Square;5;5;5;TillJIT;0.218878;2924;2559999;1
Square;5;5;5;ReferenceCM;0.025336;2526;255999;1
Square;6;6;6;CMSIS-DSP;0.126557;5057;1481481;1
Square;6;6;6;TillJIT;0.308880;2072;1481481;1
Square;6;6;6;ReferenceCM;0.026993;2371;148148;1
Square;7;7;7;CMSIS-DSP;0.158651;4034;932944;1
Square;7;7;7;TillJIT;0.370156;1729;932944;1
Square;7;7;7;ReferenceCM;0.029534;2167;93294;1
Square;8;8;8;CMSIS-DSP;0.236774;2703;624999;1
Square;8;8;8;TillJIT;0.471281;1358;624999;1
Square;8;8;8;ReferenceCM;0.038554;1660;62499;1
Square;9;9;9;CMSIS-DSP;0.189798;3372;438957;1
Square;9;9;9;TillJIT;0.343532;1863;438957;1
Square;9;9;9;ReferenceCM;0.037383;1712;43895;1
Square;10;10;10;CMSIS-DSP;0.211710;3023;319999;1
Square;10;10;10;TillJIT;0.371660;1722;319999;1
Square;10;10;10;ReferenceCM;0.037317;1715;31999;1
Square;11;11;11;CMSIS-DSP;0.234432;2730;240420;1
Square;11;11;11;TillJIT;0.428666;1493;240420;1
Square;11;11;11;ReferenceCM;0.038415;1666;24042;1
Square;12;12;12;CMSIS-DSP;0.298925;2141;185185;1
Square;12;12;12;TillJIT;0.493066;1298;185185;1
Square;12;12;12;ReferenceCM;0.047058;1360;18518;1
Square;13;13;13;CMSIS-DSP;0.243068;2633;145653;1
Square;13;13;13;TillJIT;0.421607;1518;145653;1
Square;13;13;13;ReferenceCM;0.044786;1429;14565;1
Square;14;14;14;CMSIS-DSP;0.259529;2466;116618;1
Square;14;14;14;TillJIT;0.461760;1386;116618;1
Square;14;14;14;ReferenceCM;0.044226;1447;11661;1
Square;15;15;15;CMSIS-DSP;0.276456;2315;94814;1
Square;15;15;15;TillJIT;0.514465;1244;94814;1
Square;15;15;15;ReferenceCM;0.044566;1436;9481;1
Square;16;16;16;CMSIS-DSP;0.327865;1952;78124;1
Square;16;16;16;TillJIT;0.544674;1175;78124;1
Square;16;16;16;ReferenceCM;0.052499;1219;7812;1
Square;17;17;17;CMSIS-DSP;0.275149;2326;65133;1
Square;17;17;17;TillJIT;0.442904;1445;65133;1
Square;17;17;17;ReferenceCM;0.049764;1286;6513;1
Square;18;18;18;CMSIS-DSP;0.288285;2220;54869;1
Square;18;18;18;TillJIT;0.495350;1292;54869;1
Square;18;18;18;ReferenceCM;0.048846;1310;5486;1
Square;19;19;19;CMSIS-DSP;0.301887;2120;46654;1
Square;19;19;19;TillJIT;0.511590;1251;46654;1
Square;19;19;19;ReferenceCM;0.048888;1309;4665;1
Square;20;20;20;CMSIS-DSP;0.343893;1861;39999;1
Square;20;20;20;TillJIT;0.548401;1167;39999;1
Square;20;20;20;ReferenceCM;0.056126;1140;3999;1
Square;21;21;21;CMSIS-DSP;0.296018;2162;34553;1
Square;21;21;21;TillJIT;0.507929;1260;34553;1
Square;21;21;21;ReferenceCM;0.053417;1198;3455;1
Square;22;22;22;CMSIS-DSP;0.307243;2083;30052;1
Square;22;22;22;TillJIT;0.523293;1223;30052;1
Square;22;22;22;ReferenceCM;0.052412;1221;3005;1
Square;23;23;23;CMSIS-DSP;0.318559;2009;26300;1
Square;23;23;23;TillJIT;0.549815;1164;26300;1
Square;23;23;23;ReferenceCM;0.052158;1227;2630;1
Square;24;24;24;CMSIS-DSP;0.353589;1810;23148;1
Square;24;24;24;TillJIT;0.589315;1086;23148;1
Square;24;24;24;Intrinsics;0.421883;1517;23148;1
Square;24;24;24;ReferenceCM;0.058749;1089;2314;1
Square;25;25;25;CMSIS-DSP;0.310966;2058;20479;1
Square;25;25;25;TillJIT;0.507107;1262;20479;1
Square;25;25;25;ReferenceCM;0.056064;1141;2047;1
Square;26;26;26;CMSIS-DSP;0.320630;1996;18206;1
Square;26;26;26;TillJIT;0.528470;1211;18206;1
Square;26;26;26;ReferenceCM;0.054963;1164;1820;1
Square;27;27;27;CMSIS-DSP;0.330394;1937;16257;1
Square;27;27;27;TillJIT;0.551226;1161;16257;1
Square;27;27;27;ReferenceCM;0.054769;1168;1625;1
Square;28;28;28;CMSIS-DSP;0.360354;1776;14577;1
Square;28;28;28;TillJIT;0.564364;1134;14577;1
Square;28;28;28;ReferenceCM;0.060748;1053;1457;1
Square;29;29;29;CMSIS-DSP;0.321753;1989;13120;1
Square;29;29;29;TillJIT;0.534196;1198;13120;1
Square;29;29;29;ReferenceCM;0.058126;1101;1312;1
Square;30;30;30;CMSIS-DSP;0.330384;1937;11851;1
Square;30;30;30;TillJIT;0.560871;1141;11851;1
Square;30;30;30;ReferenceCM;0.057134;1120;1185;1
Square;31;31;31;CMSIS-DSP;0.338967;1888;10741;1
Square;31;31;31;TillJIT;0.575513;1112;10741;1
Square;31;31;31;ReferenceCM;0.056780;1127;1074;1
Square;32;32;32;CMSIS-DSP;0.365273;1752;9765;1
Square;32;32;32;TillJIT;0.593104;1079;9765;1
Square;32;32;32;ReferenceCM;0.062342;1026;976;1
Square;33;33;33;CMSIS-DSP;0.330050;1939;8904;1
Square;33;33;33;TillJIT;0.535985;1194;8904;1
Square;33;33;33;ReferenceCM;0.059783;1070;890;1
Square;34;34;34;CMSIS-DSP;0.337882;1894;8141;1
Square;34;34;34;TillJIT;0.545565;1173;8141;1
Square;34;34;34;ReferenceCM;0.058866;1087;814;1
Square;35;35;35;CMSIS-DSP;0.345547;1852;7463;1
Square;35;35;35;TillJIT;0.562348;1138;7463;1
Square;35;35;35;ReferenceCM;0.058420;1095;746;1
Square;36;36;36;CMSIS-DSP;0.368838;1735;6858;1
Square;36;36;36;TillJIT;0.597510;1071;6858;1
Square;36;36;36;ReferenceCM;0.063537;1006;685;1
Square;37;37;37;CMSIS-DSP;0.336816;1900;6317;1
Square;37;37;37;TillJIT;0.556963;1149;6317;1
Square;37;37;37;ReferenceCM;0.061171;1045;631;1
Square;38;38;38;CMSIS-DSP;0.343672;1862;5831;1
Square;38;38;38;TillJIT;0.570336;1122;5831;1
Square;38;38;38;ReferenceCM;0.060246;1062;583;1
Square;39;39;39;CMSIS-DSP;0.350648;1825;5394;1
Square;39;39;39;TillJIT;0.595287;1075;5394;1
Square;39;39;39;ReferenceCM;0.059763;1070;539;1
Square;40;40;40;CMSIS-DSP;0.371587;1722;4999;1
Square;40;40;40;TillJIT;0.605939;1056;4999;1
Square;40;40;40;ReferenceCM;0.064582;989;499;1
Square;41;41;41;CMSIS-DSP;0.342172;1870;4642;1
Square;41;41;41;TillJIT;0.548767;1166;4642;1
Square;41;41;41;ReferenceCM;0.062277;1027;464;1
Square;42;42;42;CMSIS-DSP;0.348569;1836;4319;1
Square;42;42;42;TillJIT;0.576551;1110;4319;1
Square;42;42;42;ReferenceCM;0.061408;1040;431;1
Square;43;43;43;CMSIS-DSP;0.354893;1803;4024;1
Square;43;43;43;TillJIT;0.583293;1097;4024;1
