Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;1;1;1;CMSIS;0.012129;1649;10000000;1
Square;1;1;1;TillJIT;0.016667;1200;10000000;1
Square;1;1;1;Naive;0.007273;275;1000000;1
Square;2;2;2;CMSIS;0.079208;2020;10000000;1
Square;2;2;2;TillJIT;0.108770;1471;10000000;1
Square;2;2;2;Naive;0.022008;727;1000000;1
Square;3;3;3;CMSIS;0.227656;2372;10000000;1
Square;3;3;3;TillJIT;0.288462;1872;10000000;1
Square;3;3;3;Naive;0.037948;1423;1000000;1
Square;4;4;4;CMSIS;0.450229;2843;10000000;1
Square;4;4;4;TillJIT;0.528926;2420;10000000;1
Square;4;4;4;Naive;0.057762;2216;1000000;1
Square;5;5;5;CMSIS;0.236651;6761;6400000;1
Square;5;5;5;TillJIT;0.524075;3053;6400000;1
Square;5;5;5;Naive;0.063517;2519;640000;1
Square;6;6;6;CMSIS;0.316957;5048;3703703;1
Square;6;6;6;TillJIT;0.773694;2068;3703703;1
Square;6;6;6;Naive;0.067710;2363;370370;1
Square;7;7;7;CMSIS;0.379147;4220;2332361;1
Square;7;7;7;TillJIT;0.858830;1863;2332361;1
Square;7;7;7;Naive;0.074074;2160;233236;1
Square;8;8;8;CMSIS;0.583090;2744;1562500;1
Square;8;8;8;TillJIT;1.149425;1392;1562500;1
Square;8;8;8;Naive;0.096560;1657;156250;1
Square;9;9;9;CMSIS;0.455451;3513;1097393;1
Square;9;9;9;TillJIT;0.786240;2035;1097393;1
Square;9;9;9;Naive;0.093731;1707;109739;1
Square;10;10;10;CMSIS;0.526489;3039;800000;1
Square;10;10;10;TillJIT;0.905490;1767;800000;1
Square;10;10;10;Naive;0.093513;1711;80000;1
Square;11;11;11;CMSIS;0.560616;2854;601051;1
Square;11;11;11;TillJIT;0.982800;1628;601051;1
Square;11;11;11;Naive;0.096327;1661;60105;1
Square;12;12;12;CMSIS;0.741426;2158;462962;1
Square;12;12;12;TillJIT;1.182555;1353;462962;1
Square;12;12;12;Naive;0.118080;1355;46296;1
Square;13;13;13;CMSIS;0.587370;2724;364132;1
Square;13;13;13;TillJIT;0.982799;1628;364132;1
Square;13;13;13;Naive;0.112280;1425;36413;1
Square;14;14;14;CMSIS;0.647249;2472;291545;1
Square;14;14;14;TillJIT;1.137979;1406;291545;1
Square;14;14;14;Naive;0.110725;1445;29154;1
Square;15;15;15;CMSIS;0.666389;2401;237037;1
Square;15;15;15;TillJIT;1.183432;1352;237037;1
Square;15;15;15;Naive;0.111651;1433;23703;1
Square;16;16;16;CMSIS;0.810946;1973;195312;1
Square;16;16;16;TillJIT;1.340030;1194;195312;1
Square;16;16;16;Naive;0.131469;1217;19531;1
Square;17;17;17;CMSIS;0.664175;2409;162833;1
Square;17;17;17;TillJIT;1.038285;1541;162833;1
Square;17;17;17;Naive;0.124705;1283;16283;1
Square;18;18;18;CMSIS;0.715883;2235;137174;1
Square;18;18;18;TillJIT;1.209371;1323;137174;1
Square;18;18;18;Naive;0.122414;1307;13717;1
Square;19;19;19;CMSIS;0.726942;2201;116635;1
Square;19;19;19;TillJIT;1.198501;1335;116635;1
Square;19;19;19;Naive;0.122694;1304;11663;1
Square;20;20;20;CMSIS;0.854701;1872;100000;1
Square;20;20;20;TillJIT;1.334445;1199;100000;1
Square;20;20;20;Naive;0.140721;1137;10000;1
Square;21;21;21;CMSIS;0.723648;2211;86383;1
Square;21;21;21;TillJIT;1.194911;1339;86383;1
Square;21;21;21;Naive;0.133662;1197;8638;1
Square;22;22;22;CMSIS;0.765912;2089;75131;1
Square;22;22;22;TillJIT;1.290314;1240;75131;1
Square;22;22;22;Naive;0.131253;1219;7513;1
Square;23;23;23;CMSIS;0.775186;2064;65751;1
Square;23;23;23;TillJIT;1.283067;1247;65751;1
Square;23;23;23;Naive;0.130930;1222;6575;1
Square;24;24;24;CMSIS;0.877669;1823;57870;1
Square;24;24;24;TillJIT;1.457186;1098;57870;1
Square;24;24;24;Intrinsics;1.056099;1515;57870;1
Square;24;24;24;Naive;0.147193;1087;5787;1
Square;25;25;25;CMSIS;0.753651;2123;51200;1
Square;25;25;25;TillJIT;1.194922;1339;51200;1
Square;25;25;25;Naive;0.140474;1139;5120;1
Square;26;26;26;CMSIS;0.796802;2008;45516;1
Square;26;26;26;TillJIT;1.298684;1232;45516;1
Square;26;26;26;Naive;0.137911;1160;4551;1
Square;27;27;27;CMSIS;0.799596;2001;40644;1
Square;27;27;27;TillJIT;1.254895;1275;40644;1
Square;27;27;27;Naive;0.137207;1166;4064;1
Square;28;28;28;CMSIS;0.897360;1783;36443;1
Square;28;28;28;TillJIT;1.336670;1197;36443;1
Square;28;28;28;Naive;0.151934;1053;3644;1
Square;29;29;29;CMSIS;0.788550;2029;32801;1
Square;29;29;29;TillJIT;1.206612;1326;32801;1
Square;29;29;29;Naive;0.145579;1099;3280;1
Square;30;30;30;CMSIS;0.823875;1942;29629;1
Square;30;30;30;TillJIT;1.283052;1247;29629;1
Square;30;30;30;Naive;0.142938;1119;2962;1
Square;31;31;31;CMSIS;0.828563;1931;26853;1
Square;31;31;31;TillJIT;1.251921;1278;26853;1
Square;31;31;31;Naive;0.141824;1128;2685;1
Square;32;32;32;CMSIS;0.908057;1762;24414;1
Square;32;32;32;TillJIT;1.360541;1176;24414;1
Square;32;32;32;Naive;0.155465;1029;2441;1
Square;33;33;33;CMSIS;0.804418;1989;22261;1
Square;33;33;33;TillJIT;1.180802;1355;22261;1
Square;33;33;33;Naive;0.149246;1072;2226;1
Square;34;34;34;CMSIS;0.796806;2008;20354;1
Square;34;34;34;TillJIT;1.162781;1376;20354;1
Square;34;34;34;Naive;0.142701;1121;2035;1
Square;35;35;35;CMSIS;0.772910;2070;18658;1
Square;35;35;35;TillJIT;1.113377;1437;18658;1
Square;35;35;35;Naive;0.135990;1176;1865;1
Square;36;36;36;CMSIS;0.845181;1893;17146;1
Square;36;36;36;TillJIT;1.196655;1337;17146;1
Square;36;36;36;Naive;0.150600;1062;1714;1
Square;37;37;37;CMSIS;0.757541;2112;15793;1
Square;37;37;37;TillJIT;1.030216;1553;15793;1
Square;37;37;37;Naive;0.144893;1104;1579;1
Square;38;38;38;CMSIS;0.784678;2039;14579;1
Square;38;38;38;TillJIT;1.097365;1458;14579;1
Square;38;38;38;Naive;0.142384;1123;1457;1
Square;39;39;39;CMSIS;0.783522;2042;13486;1
Square;39;39;39;TillJIT;1.092863;1464;13486;1
Square;39;39;39;Naive;0.141151;1133;1348;1
Square;40;40;40;CMSIS;0.855158;1871;12500;1
Square;40;40;40;TillJIT;1.215805;1316;12500;1
Square;40;40;40;Naive;0.152818;1047;1250;1
Square;41;41;41;CMSIS;0.762962;2097;11607;1
Square;41;41;41;TillJIT;1.010696;1583;11607;1
Square;41;41;41;Naive;0.146694;1090;1160;1
Square;42;42;42;CMSIS;0.799928;2000;10797;1
Square;42;42;42;TillJIT;1.098802;1456;10797;1
Square;42;42;42;Naive;0.145479;1099;1079;1
Square;43;43;43;CMSIS;0.796416;2009;10062;1
Square;43;43;43;TillJIT;1.065955;1501;10062;1
Square;43;43;43;Naive;0.143469;1115;1006;1
Square;44;44;44;CMSIS;0.874276;1830;9391;1
Square;44;44;44;TillJIT;1.197549;1336;9391;1
Square;44;44;44;Naive;0.155618;1028;939;1
Square;45;45;45;CMSIS;0.792066;2020;8779;1
Square;45;45;45;TillJIT;1.126741;1420;8779;1
Square;45;45;45;Naive;0.148131;1079;877;1
Square;46;46;46;CMSIS;0.824647;1940;8218;1
Square;46;46;46;TillJIT;1.185926;1349;8218;1
Square;46;46;46;Naive;0.149230;1071;821;1
Square;47;47;47;CMSIS;0.825122;1939;7705;1
Square;47;47;47;TillJIT;1.141164;1402;7705;1
Square;47;47;47;Naive;0.148456;1077;770;1
Square;48;48;48;CMSIS;0.890275;1797;7233;1
Square;48;48;48;TillJIT;1.292265;1238;7233;1
Square;48;48;48;Intrinsics;0.996775;1605;7233;1
Square;48;48;48;Naive;0.154658;1034;723;1
Square;49;49;49;CMSIS;0.810021;1975;6799;1
Square;49;49;49;TillJIT;1.091263;1466;6799;1
Square;49;49;49;Naive;0.153181;1043;679;1
Square;50;50;50;CMSIS;0.835509;1915;6400;1
Square;50;50;50;TillJIT;1.108801;1443;6400;1
Square;50;50;50;Naive;0.151659;1055;640;1
Square;51;51;51;CMSIS;0.825475;1938;6030;1
Square;51;51;51;TillJIT;1.055258;1516;6030;1
Square;51;51;51;Naive;0.147173;1087;603;1
Square;52;52;52;CMSIS;0.887320;1803;5689;1
Square;52;52;52;TillJIT;1.101058;1453;5689;1
Square;52;52;52;Naive;0.159094;1004;568;1
Square;53;53;53;CMSIS;0.810452;1974;5373;1
Square;53;53;53;TillJIT;1.007451;1588;5373;1
Square;53;53;53;Naive;0.153892;1039;537;1
Square;54;54;54;CMSIS;0.795146;2012;5080;1
Square;54;54;54;TillJIT;1.040881;1537;5080;1
Square;54;54;54;Naive;0.151213;1058;508;1
Square;55;55;55;CMSIS;0.753941;2122;4808;1
Square;55;55;55;TillJIT;1.001792;1597;4808;1
Square;55;55;55;Naive;0.147207;1085;480;1
Square;56;56;56;CMSIS;0.786946;2033;4555;1
Square;56;56;56;TillJIT;1.092056;1465;4555;1
Square;56;56;56;Naive;0.158072;1011;455;1
Square;57;57;57;CMSIS;0.647389;2471;4319;1
Square;57;57;57;TillJIT;0.863301;1853;4319;1
Square;57;57;57;Naive;0.133364;1197;431;1
Square;58;58;58;CMSIS;0.716809;2232;4100;1
Square;58;58;58;TillJIT;0.890327;1797;4100;1
Square;58;58;58;Naive;0.143234;1117;410;1
Square;59;59;59;CMSIS;0.683135;2342;3895;1
Square;59;59;59;TillJIT;0.851465;1879;3895;1
Square;59;59;59;Naive;0.138702;1152;389;1
Square;60;60;60;CMSIS;0.742318;2155;3703;1
Square;60;60;60;TillJIT;0.904805;1768;3703;1
Square;60;60;60;Naive;0.147182;1086;370;1
Square;61;61;61;CMSIS;0.685416;2334;3524;1
Square;61;61;61;TillJIT;0.806738;1983;3524;1
Square;61;61;61;Naive;0.141411;1130;352;1
Square;62;62;62;CMSIS;0.674676;2371;3356;1
Square;62;62;62;TillJIT;0.827124;1934;3356;1
Square;62;62;62;Naive;0.120422;1326;335;1
Square;63;63;63;CMSIS;0.724547;2208;3199;1
Square;63;63;63;TillJIT;0.861034;1858;3199;1
Square;63;63;63;Naive;0.143850;1109;319;1
Square;64;64;64;CMSIS;0.738847;2165;3051;1
Square;64;64;64;TillJIT;0.928382;1723;3051;1
Square;64;64;64;Naive;0.121051;1321;305;1
Square;65;65;65;CMSIS;0.719409;2224;2913;1
Square;65;65;65;TillJIT;0.814646;1964;2913;1
Square;65;65;65;Naive;0.149236;1071;291;1
