Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Unroll1;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll1;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll1;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll1;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll1;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll2;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll2;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll2;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll2;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll2;24;24;24;TillJIT;1.455860;1099;57870;1
Unroll3;24;24;24;TillJIT;1.459845;1096;57870;1
Unroll3;24;24;24;TillJIT;1.459845;1096;57870;1
Unroll3;24;24;24;TillJIT;1.459845;1096;57870;1
Unroll3;24;24;24;TillJIT;1.459845;1096;57870;1
Unroll3;24;24;24;TillJIT;1.459845;1096;57870;1
Unroll4;24;24;24;TillJIT;1.461178;1095;57870;1
Unroll4;24;24;24;TillJIT;1.461178;1095;57870;1
Unroll4;24;24;24;TillJIT;1.459845;1096;57870;1
Unroll4;24;24;24;TillJIT;1.459845;1096;57870;1
Unroll4;24;24;24;TillJIT;1.459845;1096;57870;1
