OperationalIntensity, GFLOPS
0.250000, 0.517389
0.500000, 0.854817
0.750000, 1.016938
1, 1.123474
2, 1.321734
3, 1.404343
4, 1.442994
5, 1.472719
6, 1.479182
7, 1.500007
8, 1.512369
9, 1.518860
10, 1.527052
11, 1.531107
12, 1.537001
13, 1.539701
14, 1.542024
15, 1.546066
16, 1.549620
17, 1.550968
18, 1.552168
19, 1.554860
20, 1.555751
21, 1.558026
22, 1.558694
23, 1.560650
24, 1.561155
25, 1.561620
26, 1.563244
27, 1.563598
28, 1.563927
29, 1.565307
30, 1.566598
31, 1.566799
32, 1.566988
33, 1.568112
34, 1.568251
35, 1.569277
36, 1.569376
37, 1.570318
38, 1.570384
39, 1.570448
40, 1.571293
41, 1.571331
42, 1.572115
43, 1.572133
44, 1.572149
45, 1.572864
46, 1.573548
47, 1.573534
48, 1.573520
49, 1.574149
50, 1.574754
51, 1.574099
52, 1.574681
53, 1.574647
54, 1.575198
55, 1.575155
56, 1.575678
57, 1.575628
58, 1.576125
59, 1.576069
60, 1.576543
61, 1.576482
62, 1.576934
63, 1.576869
64, 1.576806
65, 1.577232
66, 1.577165
67, 1.577573
68, 1.577504
69, 1.577436
70, 1.577823
71, 1.577753
72, 1.578124
73, 1.578052
74, 1.578410
75, 1.578336
76, 1.578680
77, 1.578604
78, 1.578937
79, 1.578860
80, 1.579181
81, 1.579103
82, 1.579026
83, 1.579334
84, 1.579256
85, 1.579554
86, 1.579476
87, 1.579399
88, 1.579685
89, 1.579965
90, 1.579886
91, 1.579808
92, 1.579732
93, 1.579999
94, 1.579923
95, 1.580183
96, 1.580106
97, 1.580359
98, 1.580606
99, 1.580848
100, 1.581086
101, 1.581633
102, 1.581859
103, 1.582080
104, 1.582297
105, 1.582510
106, 1.583019
107, 1.582626
108, 1.583125
109, 1.583615
110, 1.583517
111, 1.583133
112, 1.583041
113, 1.583232
114, 1.583420
115, 1.583882
116, 1.583512
117, 1.583965
118, 1.583871
119, 1.584045
