OperationalIntensity, GFLOPS
0.250000, 0.655360
0.500000, 0.936229
0.750000, 1.072407
1, 1.173779
2, 1.355917
3, 1.429876
4, 1.469966
5, 1.495118
6, 1.512369
7, 1.524937
8, 1.534502
9, 1.542024
10, 1.548095
11, 1.553097
12, 1.557291
13, 1.560857
14, 1.563927
15, 1.566598
16, 1.568942
17, 1.571016
18, 1.572864
19, 1.574521
20, 1.576016
21, 1.577371
22, 1.578604
23, 1.579732
24, 1.580768
25, 1.581722
26, 1.582603
27, 1.583420
28, 1.584180
29, 1.584887
30, 1.585548
31, 1.586167
32, 1.586748
33, 1.587294
34, 1.587808
35, 1.588293
36, 1.588751
37, 1.588318
38, 1.588751
39, 1.589163
40, 1.589554
41, 1.589927
42, 1.590281
43, 1.590620
44, 1.590943
45, 1.591252
46, 1.591547
47, 1.591830
48, 1.592102
49, 1.592362
50, 1.592612
51, 1.592853
52, 1.593084
53, 1.593306
54, 1.593521
55, 1.593727
56, 1.593927
57, 1.594119
58, 1.594305
59, 1.594484
60, 1.594658
61, 1.594826
62, 1.594988
63, 1.595145
64, 1.595298
65, 1.595446
66, 1.595589
67, 1.595728
68, 1.595863
69, 1.595994
70, 1.596122
71, 1.596246
72, 1.596366
73, 1.596483
74, 1.596597
75, 1.596708
76, 1.596816
77, 1.596921
78, 1.597024
79, 1.597124
80, 1.596816
81, 1.597317
82, 1.597409
83, 1.597500
84, 1.597589
85, 1.597675
86, 1.597759
87, 1.597842
88, 1.597922
89, 1.597636
90, 1.598078
91, 1.598153
92, 1.598227
93, 1.598299
94, 1.598370
95, 1.598097
96, 1.598168
97, 1.598238
98, 1.598306
99, 1.598373
100, 1.598439
101, 1.598503
102, 1.598566
103, 1.598628
104, 1.598689
105, 1.599058
106, 1.599114
107, 1.599168
108, 1.598920
109, 1.598976
110, 1.599030
111, 1.599376
112, 1.599136
113, 1.599187
114, 1.599523
115, 1.599287
116, 1.599616
117, 1.599384
118, 1.599431
119, 1.599477
