Test;Size;Time (µs);GB/s
Read SRAM0;512;537457;2.976982
Scalar Read SRAM0;512;1041739;1.535893
Read TCM;512;537469;2.976916
Scalar Read TCM;512;1041735;1.535899
Write SRAM0;512;900792;1.776215
Scalar Write SRAM0;512;1045657;1.530138
Write TCM;512;537557;2.976429
Scalar Write TCM;512;1041931;1.535610
Read SRAM0;536;535803;2.986172
Scalar Read SRAM0;536;1039896;1.538615
Read TCM;536;535805;2.986161
Scalar Read TCM;536;1039900;1.538609
Write SRAM0;536;899852;1.778070
Scalar Write SRAM0;536;1043825;1.532824
Write TCM;536;535896;2.985654
Scalar Write TCM;536;1040089;1.538330
Read SRAM0;560;534284;2.994662
Scalar Read SRAM0;560;1038211;1.541113
Read TCM;560;534284;2.994662
Scalar Read TCM;560;1038215;1.541107
Write SRAM0;560;898947;1.779860
Scalar Write SRAM0;560;1042149;1.535289
Write TCM;560;534372;2.994169
Scalar Write TCM;560;1038412;1.540814
Read SRAM0;588;532668;3.003747
Scalar Read SRAM0;588;1036429;1.543762
Read TCM;588;532670;3.003736
Scalar Read TCM;588;1036427;1.543765
Write SRAM0;588;900542;1.776708
Scalar Write SRAM0;588;1040324;1.537982
Write TCM;588;532758;3.003240
Scalar Write TCM;588;1036620;1.543478
Read SRAM0;616;531199;3.012054
Scalar Read SRAM0;616;1034803;1.546188
Read TCM;616;531200;3.012048
Scalar Read TCM;616;1034802;1.546190
Write SRAM0;616;897175;1.783376
Scalar Write SRAM0;616;1038688;1.540405
Write TCM;616;531290;3.011538
Scalar Write TCM;616;1035003;1.545889
Read SRAM0;644;529858;3.019677
Scalar Read SRAM0;644;1033322;1.548404
Read TCM;644;529861;3.019660
Scalar Read TCM;644;1033324;1.548401
Write SRAM0;644;898717;1.780316
Scalar Write SRAM0;644;1037200;1.542615
Write TCM;644;529950;3.019153
Scalar Write TCM;644;1033518;1.548110
Read SRAM0;672;528629;3.026697
Scalar Read SRAM0;672;1031962;1.550445
Read TCM;672;528629;3.026697
Scalar Read TCM;672;1031962;1.550445
Write SRAM0;672;895678;1.786356
Scalar Write SRAM0;672;1035875;1.544588
Write TCM;672;528722;3.026165
Scalar Write TCM;672;1032160;1.550147
Read SRAM0;704;527343;3.034078
Scalar Read SRAM0;704;1030541;1.552583
Read TCM;704;527345;3.034067
Scalar Read TCM;704;1030542;1.552581
Write SRAM0;704;894923;1.787863
Scalar Write SRAM0;704;1034456;1.546707
Write TCM;704;527438;3.033532
Scalar Write TCM;704;1030740;1.552283
Read SRAM0;740;526028;3.041663
Scalar Read SRAM0;740;1029089;1.554773
Read TCM;740;526032;3.041640
Scalar Read TCM;740;1029088;1.554775
Write SRAM0;740;896195;1.785326
Scalar Write SRAM0;740;1032994;1.548896
Write TCM;740;526122;3.041120
Scalar Write TCM;740;1029287;1.554474
Read SRAM0;772;524964;3.047828
Scalar Read SRAM0;772;1027913;1.556552
Read TCM;772;524968;3.047805
Scalar Read TCM;772;1027911;1.556555
Write SRAM0;772;895479;1.786753
Scalar Write SRAM0;772;1031849;1.550614
Write TCM;772;525059;3.047276
Scalar Write TCM;772;1028108;1.556257
Read SRAM0;808;523871;3.054187
Scalar Read SRAM0;808;1026702;1.558388
Read TCM;808;523867;3.054210
Scalar Read TCM;808;1026701;1.558389
Write SRAM0;808;892930;1.791854
Scalar Write SRAM0;808;1030614;1.552473
Write TCM;808;523965;3.053639
Scalar Write TCM;808;1026900;1.558087
Read SRAM0;848;522759;3.060684
Scalar Read SRAM0;848;1025475;1.560253
Read TCM;848;522762;3.060666
Scalar Read TCM;848;1025476;1.560251
Write SRAM0;848;892272;1.793175
Scalar Write SRAM0;848;1029347;1.554384
Write TCM;848;522852;3.060139
Scalar Write TCM;848;1025673;1.559951
Read SRAM0;888;521752;3.066591
Scalar Read SRAM0;888;1024355;1.561958
Read TCM;888;521752;3.066591
Scalar Read TCM;888;1024358;1.561954
Write SRAM0;888;891685;1.794356
Scalar Write SRAM0;888;1028223;1.556083
Write TCM;888;521844;3.066050
Scalar Write TCM;888;1024556;1.561652
Read SRAM0;928;520827;3.072037
Scalar Read SRAM0;928;1023339;1.563509
Read TCM;928;520829;3.072026
Scalar Read TCM;928;1023338;1.563511
Write SRAM0;928;891164;1.795405
Scalar Write SRAM0;928;1027191;1.557646
Write TCM;928;520921;3.071483
Scalar Write TCM;928;1023538;1.563205
Read SRAM0;972;519899;3.077521
Scalar Read SRAM0;972;1022318;1.565071
Read TCM;972;519899;3.077521
Scalar Read TCM;972;1022315;1.565075
Write SRAM0;972;892191;1.793338
Scalar Write SRAM0;972;1026179;1.559182
Write TCM;972;519997;3.076941
Scalar Write TCM;972;1022524;1.564755
Read SRAM0;1020;518981;3.082965
Scalar Read SRAM0;1020;1021301;1.566629
Read TCM;1020;518985;3.082941
Scalar Read TCM;1020;1021304;1.566625
Write SRAM0;1020;891624;1.794478
Scalar Write SRAM0;1020;1025207;1.560660
Write TCM;1020;519079;3.082382
Scalar Write TCM;1020;1021506;1.566315
Read SRAM0;1068;518147;3.087927
Scalar Read SRAM0;1068;1020378;1.568046
Read TCM;1068;518147;3.087927
Scalar Read TCM;1068;1020376;1.568049
Write SRAM0;1068;891051;1.795632
Scalar Write SRAM0;1068;1024294;1.562052
Write TCM;1068;518242;3.087361
Scalar Write TCM;1068;1020582;1.567733
Read SRAM0;1116;517381;3.092499
Scalar Read SRAM0;1116;1019527;1.569355
Read TCM;1116;517381;3.092499
Scalar Read TCM;1116;1019526;1.569357
Write SRAM0;1116;890520;1.796703
Scalar Write SRAM0;1116;1023408;1.563404
Write TCM;1116;517474;3.091943
Scalar Write TCM;1116;1019727;1.569047
Read SRAM0;1168;516621;3.097048
Scalar Read SRAM0;1168;1018688;1.570648
Read TCM;1168;516622;3.097042
Scalar Read TCM;1168;1018689;1.570646
Write SRAM0;1168;888709;1.800364
Scalar Write SRAM0;1168;1022584;1.564664
Write TCM;1168;516718;3.096467
Scalar Write TCM;1168;1018887;1.570341
Read SRAM0;1224;515878;3.101508
Scalar Read SRAM0;1224;1017871;1.571908
Read TCM;1224;515877;3.101515
Scalar Read TCM;1224;1017872;1.571907
Write SRAM0;1224;888297;1.801199
Scalar Write SRAM0;1224;1021764;1.565919
Write TCM;1224;515970;3.100955
Scalar Write TCM;1224;1018070;1.571601
Read SRAM0;1280;515196;3.105614
Scalar Read SRAM0;1280;1017114;1.573078
Read TCM;1280;515198;3.105602
Scalar Read TCM;1280;1017113;1.573080
Write SRAM0;1280;887884;1.802037
Scalar Write SRAM0;1280;1020999;1.567093
