Test;Size;Time (µs);GB/s
Read SRAM;480;539937;2.963309
Scalar Read SRAM;480;1044466;1.531883
Read TCM;480;539941;2.963287
Scalar Read TCM;480;1044473;1.531873
Write SRAM;480;902256;1.773333
Scalar Write SRAM;480;1048408;1.526123
Write TCM;480;540028;2.962809
Scalar Write TCM;480;1044666;1.531590
Read SRAM;544;535283;2.989073
Scalar Read SRAM;544;1039318;1.539471
Read TCM;544;535284;2.989068
Scalar Read TCM;544;1039318;1.539471
Write SRAM;544;899546;1.778675
Scalar Write SRAM;544;1043244;1.533678
Write TCM;544;535373;2.988571
Scalar Write TCM;544;1039514;1.539181
Read SRAM;608;531605;3.009753
Scalar Read SRAM;608;1035253;1.545516
Read TCM;608;531605;3.009753
Scalar Read TCM;608;1035252;1.545517
Write SRAM;608;897399;1.782930
Scalar Write SRAM;608;1039149;1.539721
Write TCM;608;531694;3.009250
Scalar Write TCM;608;1035451;1.545220
Read SRAM;672;528630;3.026691
Scalar Read SRAM;672;1031963;1.550443
Read TCM;672;528630;3.026691
Scalar Read TCM;672;1031963;1.550443
Write SRAM;672;895665;1.786382
Scalar Write SRAM;672;1035867;1.544600
Write TCM;672;528719;3.026182
Scalar Write TCM;672;1032161;1.550146
Read SRAM;736;526170;3.040842
Scalar Read SRAM;736;1029243;1.554541
Read TCM;736;526170;3.040842
Scalar Read TCM;736;1029244;1.554539
Write SRAM;736;894250;1.789209
Scalar Write SRAM;736;1033157;1.548651
Write TCM;736;526261;3.040317
Scalar Write TCM;736;1029442;1.554240
Read SRAM;800;524104;3.052829
Scalar Read SRAM;800;1026961;1.557995
Read TCM;800;524104;3.052829
Scalar Read TCM;800;1026961;1.557995
Write SRAM;800;893054;1.791605
Scalar Write SRAM;800;1030861;1.552101
Write TCM;800;524197;3.052288
Scalar Write TCM;800;1027159;1.557695
Read SRAM;864;522345;3.063110
Scalar Read SRAM;864;1025013;1.560956
Read TCM;864;522344;3.063116
Scalar Read TCM;864;1025013;1.560956
Write SRAM;864;892030;1.793662
Scalar Write SRAM;864;1028852;1.555131
Write TCM;864;522440;3.062553
Scalar Write TCM;864;1025211;1.560654
Read SRAM;960;520144;3.076071
Scalar Read SRAM;960;1022582;1.564667
Read TCM;960;520144;3.076071
Scalar Read TCM;960;1022581;1.564668
Write SRAM;960;890798;1.796142
Scalar Write SRAM;960;1026454;1.558764
Write TCM;960;520237;3.075521
Scalar Write TCM;960;1022780;1.564364
Read SRAM;1056;518344;3.086753
Scalar Read SRAM;1056;1020591;1.567719
Read TCM;1056;518344;3.086753
Scalar Read TCM;1056;1020592;1.567718
Write SRAM;1056;889707;1.798345
Scalar Write SRAM;1056;1024453;1.561809
