Test;Size;Time (µs);GB/s
Read Throughput SRAM 0;512;537682;1.190295
Scalar Read Throughput SRAM 0;512;1042448;0.613940
Read Throughput;512;537666;1.190330
Scalar Read Throughput;512;1042498;0.613910
Write Throughput SRAM 0;512;903200;0.708592
Scalar Write Throughput SRAM 0;512;1042473;0.613925
Write Throughput;512;537880;1.189857
Scalar Write Throughput;512;1042474;0.613924
Read Throughput SRAM 0;536;536019;1.193987
Scalar Read Throughput SRAM 0;536;1040643;0.615004
Read Throughput;536;536007;1.194014
Scalar Read Throughput;536;1040641;0.615006
Write Throughput SRAM 0;536;902253;0.709335
Scalar Write Throughput SRAM 0;536;1040636;0.615008
Write Throughput;536;536252;1.193469
Scalar Write Throughput;536;1040642;0.615005
Read Throughput SRAM 0;560;534496;1.197390
Scalar Read Throughput SRAM 0;560;1038959;0.616001
Read Throughput;560;534495;1.197392
Scalar Read Throughput;560;1038959;0.616001
Write Throughput SRAM 0;560;901377;0.710025
Scalar Write Throughput SRAM 0;560;1038957;0.616002
Write Throughput;560;534720;1.196888
Scalar Write Throughput;560;1038960;0.616001
Read Throughput SRAM 0;588;532878;1.201025
Scalar Read Throughput SRAM 0;588;1037169;0.617064
Read Throughput;588;532874;1.201034
Scalar Read Throughput;588;1037169;0.617064
Write Throughput SRAM 0;588;902898;0.708829
Scalar Write Throughput SRAM 0;588;1037173;0.617062
Write Throughput;588;533107;1.200509
Scalar Write Throughput;588;1037178;0.617059
Read Throughput SRAM 0;616;531403;1.204359
Scalar Read Throughput SRAM 0;616;1035542;0.618034
Read Throughput;616;531403;1.204359
Scalar Read Throughput;616;1035547;0.618031
Write Throughput SRAM 0;616;899575;0.711447
Scalar Write Throughput SRAM 0;616;1035542;0.618034
Write Throughput;616;531623;1.203861
Scalar Write Throughput;616;1035542;0.618034
Read Throughput SRAM 0;644;530066;1.207397
Scalar Read Throughput SRAM 0;644;1034068;0.618915
Read Throughput;644;530064;1.207401
Scalar Read Throughput;644;1034065;0.618917
Write Throughput SRAM 0;644;901088;0.710253
Scalar Write Throughput SRAM 0;644;1034061;0.618919
Write Throughput;644;530297;1.206871
Scalar Write Throughput;644;1034064;0.618917
Read Throughput SRAM 0;672;528836;1.210205
Scalar Read Throughput SRAM 0;672;1032702;0.619733
Read Throughput;672;528834;1.210210
Scalar Read Throughput;672;1032703;0.619733
Write Throughput SRAM 0;672;898101;0.712615
Scalar Write Throughput SRAM 0;672;1032704;0.619732
Write Throughput;672;529061;1.209690
Scalar Write Throughput;672;1032705;0.619732
Read Throughput SRAM 0;704;527554;1.213146
Scalar Read Throughput SRAM 0;704;1031282;0.620587
Read Throughput;704;527551;1.213153
Scalar Read Throughput;704;1031280;0.620588
Write Throughput SRAM 0;704;897373;0.713193
Scalar Write Throughput SRAM 0;704;1031277;0.620590
Write Throughput;704;527801;1.212578
Scalar Write Throughput;704;1031277;0.620590
Read Throughput SRAM 0;740;526234;1.216189
Scalar Read Throughput SRAM 0;740;1029823;0.621466
Read Throughput;740;526236;1.216184
Scalar Read Throughput;740;1029826;0.621464
Write Throughput SRAM 0;740;898554;0.712255
Scalar Write Throughput SRAM 0;740;1029823;0.621466
Write Throughput;740;526465;1.215655
Scalar Write Throughput;740;1029831;0.621461
Read Throughput SRAM 0;772;525167;1.218660
Scalar Read Throughput SRAM 0;772;1028643;0.622179
Read Throughput;772;525166;1.218662
Scalar Read Throughput;772;1028642;0.622180
Write Throughput SRAM 0;772;897860;0.712806
Scalar Write Throughput SRAM 0;772;1028644;0.622178
Write Throughput;772;525394;1.218133
Scalar Write Throughput;772;1028642;0.622180
Read Throughput SRAM 0;808;524072;1.221206
Scalar Read Throughput SRAM 0;808;1027430;0.622913
Read Throughput;808;524070;1.221211
Scalar Read Throughput;808;1027431;0.622913
Write Throughput SRAM 0;808;895330;0.714820
Scalar Write Throughput SRAM 0;808;1027428;0.622915
Write Throughput;808;524296;1.220685
Scalar Write Throughput;808;1027431;0.622913
Read Throughput SRAM 0;848;522962;1.223798
Scalar Read Throughput SRAM 0;848;1026206;0.623656
Read Throughput;848;522964;1.223794
Scalar Read Throughput;848;1026208;0.623655
Write Throughput SRAM 0;848;894692;0.715330
Scalar Write Throughput SRAM 0;848;1026206;0.623656
Write Throughput;848;523195;1.223253
Scalar Write Throughput;848;1026208;0.623655
Read Throughput SRAM 0;888;521953;1.226164
Scalar Read Throughput SRAM 0;888;1025088;0.624337
Read Throughput;888;521951;1.226169
Scalar Read Throughput;888;1025090;0.624335
Write Throughput SRAM 0;888;894085;0.715816
Scalar Write Throughput SRAM 0;888;1025091;0.624335
Write Throughput;888;522186;1.225617
